"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Malena Galmarini por el Frente de Todos",0.313,0.277,0.346,0.292,0.337,0.297,0.298,0.307,0.351,0.257,0.288,0.341,0.323,0.568,0.14,0.281
"A Segundo Cernadas por Cambiemos",0.355,0.333,0.375,0.305,0.307,0.423,0.458,0.414,0.317,0.352,0.347,0.289,0.389,0.12,0.62,0.151
"Al candidato de los liberales libertarios",0.102,0.177,0.034,0.207,0.081,0.076,0.061,0.094,0.071,0.163,0.104,0.12,0.093,0.055,0.101,0.115
"A Paula Akerfeld por el Frente de Izquierda",0.042,0.043,0.041,0.047,0.044,0.045,0.022,0.035,0.041,0.052,0.03,0.061,0.045,0.059,0.016,0
"No sabe",0.188,0.17,0.204,0.149,0.231,0.159,0.161,0.15,0.22,0.176,0.231,0.189,0.15,0.198,0.123,0.453
