"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.268,0.454,0.425,0.359,0.377,0.556,0.447,0.238,0.392
"P07","Al candidato de Juntos por el Cambio",0.365,0.28,0.402,0.336,0.321,0.16,0.21,0.08,0.309
"P07","Al candidato de los liberales - libertarios",0.159,0.137,0.1,0.132,0.092,0.145,0.028,0.351,0.132
"P07","Al candidato de la Izquierda",0.082,0,0.02,0.037,0.016,0.04,0.048,0.055,0.053
"P07","A otro candidato",0.075,0.113,0.016,0.05,0.062,0.029,0.135,0.183,0.074
"P07","No sabe",0.051,0.016,0.037,0.086,0.132,0.07,0.132,0.093,0.04
"P08","A Julio Zamora por el Frente de Todos",0.18,0.387,0.363,0.375,0.344,0.308,0.271,0.36,0.34
"P08","A Malena Galmarini por el Frente de Todos",0.106,0.161,0.073,0.109,0.11,0.188,0.102,0.107,0.099
"P08","A Segundo Cernadas por Cambiemos",0.26,0.177,0.263,0.239,0.271,0.345,0.397,0.119,0.247
"P08","A Nicolás Massot por Cambiemos",0.065,0.061,0.203,0.076,0.081,0.059,0.025,0.192,0.145
"P08","Al candidato de los liberales libertarios",0.183,0.09,0.05,0.101,0.078,0.016,0.095,0.121,0.016
"P08","A Paula Akerfeld por el Frente de Izquierda",0.075,0,0.019,0.026,0.034,0.021,0.05,0.055,0.01
"P08","No sabe",0.131,0.124,0.029,0.074,0.082,0.063,0.06,0.046,0.143
"P10","A Julio Zamora por el Frente de Todos",0.234,0.513,0.473,0.43,0.398,0.439,0.281,0.32,0.474
"P10","A Segundo Cernadas por Cambiemos",0.356,0.242,0.312,0.298,0.276,0.216,0.338,0.14,0.19
"P10","Al candidato de los liberales libertarios",0.133,0.122,0.082,0.112,0.117,0.037,0.049,0.31,0.095
"P10","A Paula Akerfeld por el Frente de Izquierda",0.105,0,0.059,0.044,0.047,0.168,0.042,0.082,0.084
"P10","No sabe",0.172,0.123,0.074,0.116,0.162,0.14,0.29,0.148,0.157
"P12","A Malena Galmarini por el Frente de Todos",0.294,0.366,0.384,0.348,0.304,0.346,0.24,0.215,0.329
"P12","A Segundo Cernadas por Cambiemos",0.355,0.322,0.463,0.36,0.328,0.356,0.345,0.179,0.306
"P12","Al candidato de los liberales libertarios",0.158,0.094,0.1,0.084,0.11,0.017,0.068,0.214,0.084
"P12","A Paula Akerfeld por el Frente de Izquierda",0.079,0.025,0.017,0.07,0.018,0.04,0.065,0.055,0.036
"P12","No sabe",0.114,0.193,0.036,0.138,0.24,0.241,0.282,0.337,0.245
"P14","Muy buena",0.148,0.284,0.132,0.102,0.108,0.137,0.138,0,0.098
"P14","Buena",0.142,0.098,0.13,0.187,0.165,0.259,0.13,0.111,0.099
"P14","Ni buena ni mala",0.166,0.165,0.25,0.222,0.16,0.133,0.301,0.205,0.208
"P14","Mala",0.112,0.136,0.203,0.196,0.22,0.137,0.182,0.26,0.168
"P14","Muy mala",0.317,0.29,0.261,0.223,0.312,0.312,0.227,0.314,0.271
"P14","No sabe",0.115,0.027,0.024,0.07,0.035,0.022,0.022,0.11,0.156
"P15","Muy buena",0.143,0.285,0.229,0.127,0.199,0.21,0.205,0.178,0.214
"P15","Buena",0.18,0.259,0.155,0.231,0.198,0.272,0.108,0.154,0.163
"P15","Ni buena ni mala",0.161,0.141,0.301,0.246,0.258,0.244,0.315,0.104,0.278
"P15","Mala",0.212,0.171,0.118,0.118,0.147,0.167,0.111,0.213,0.157
"P15","Muy mala",0.264,0.095,0.154,0.217,0.191,0.085,0.217,0.285,0.182
"P15","No sabe",0.04,0.049,0.043,0.061,0.007,0.022,0.044,0.066,0.006
"P16","Muy buena",0.233,0.195,0.269,0.183,0.167,0.103,0.154,0.118,0.08
"P16","Buena",0.13,0.172,0.12,0.198,0.215,0.119,0.126,0.179,0.139
"P16","Ni buena ni mala",0.226,0.263,0.331,0.26,0.168,0.157,0.414,0.414,0.363
"P16","Mala",0.108,0.162,0.103,0.136,0.148,0.21,0.073,0.056,0.094
"P16","Muy mala",0.196,0.142,0.13,0.123,0.22,0.367,0.128,0.099,0.149
"P16","No sabe",0.107,0.066,0.047,0.1,0.082,0.044,0.105,0.134,0.175
"P17","Muy buena",0.116,0.082,0.127,0,0.041,0.072,0.054,0,0.01
"P17","Buena",0.078,0.067,0.002,0.028,0.021,0,0.019,0.069,0.007
"P17","Ni buena ni mala",0.263,0.294,0.404,0.307,0.318,0.427,0.383,0.203,0.364
"P17","Mala",0.121,0.058,0.131,0.084,0.087,0.175,0.024,0,0.041
"P17","Muy mala",0.157,0.046,0.012,0.12,0.049,0.033,0.023,0.116,0.111
"P17","No sabe",0.265,0.453,0.324,0.461,0.484,0.293,0.497,0.612,0.467
"P18","Muy buena",0.116,0.05,0.124,0.063,0.159,0,0.066,0.019,0.044
"P18","Buena",0.102,0.083,0.053,0.095,0.072,0.143,0.039,0.213,0.07
"P18","Ni buena ni mala",0.268,0.286,0.336,0.337,0.29,0.342,0.482,0.231,0.415
"P18","Mala",0.146,0.2,0.158,0.108,0.125,0.147,0.079,0.064,0.086
"P18","Muy mala",0.165,0.083,0.096,0.128,0.109,0.248,0.088,0.131,0.176
"P18","No sabe",0.203,0.298,0.233,0.269,0.245,0.12,0.246,0.342,0.209
"P19","La seguridad",0.283,0.22,0.307,0.357,0.227,0.29,0.353,0.232,0.193
"P19","El tránsito",0.049,0.088,0.052,0.079,0.042,0,0,0,0.037
"P19","El arreglo de las calles",0.122,0.077,0.235,0.141,0.109,0.036,0.085,0,0.046
"P19","El estado de las escuelas y la educación",0.036,0.066,0.024,0.106,0.009,0.043,0,0,0.043
"P19","El sistema de salud",0.076,0.121,0.076,0.061,0.249,0.024,0.123,0,0.041
"P19","El deporte y la cultura",0.107,0.126,0.065,0.062,0.119,0.561,0.05,0.055,0.063
"P19","La obra pública",0.043,0.136,0.034,0.012,0.046,0,0.192,0.119,0.038
"P19","La luminaria",0.076,0.034,0.099,0.094,0.05,0.019,0.082,0.527,0.017
"P19","No sabe",0.208,0.132,0.108,0.088,0.149,0.027,0.115,0.067,0.522
"P21","Agua corriente y cloacas",0.635,0.434,0.344,0.315,0.425,0.435,0.737,0.662,0.587
"P21","Energía eléctrica",0.12,0.285,0.065,0.1,0.07,0.021,0.072,0.071,0.049
"P21","Red de gas natural",0.047,0.083,0.197,0.086,0.061,0.238,0.015,0.069,0.027
"P21","Recolección de residuos",0.104,0.047,0.211,0.265,0.119,0.078,0.1,0.053,0.098
"P21","Ninguno",0.094,0.151,0.183,0.234,0.325,0.228,0.076,0.145,0.239
"P22","Los robos",0.405,0.273,0.25,0.206,0.137,0.344,0.388,0.4,0.284
"P22","El narcotráfico",0.255,0.41,0.358,0.338,0.353,0.234,0.215,0.06,0.087
"P22","La ausencia de patrulleros y personal policial",0.235,0.071,0.186,0.176,0.132,0.189,0.054,0.196,0.065
"P22","Otro",0.091,0.07,0.105,0.169,0.238,0.167,0.253,0.241,0.281
"P22","Ninguno",0.014,0.176,0.101,0.111,0.14,0.066,0.09,0.103,0.283
"P23","Frente de Todos y el peronismo",0.218,0.453,0.265,0.288,0.323,0.444,0.201,0.114,0.29
"P23","Cambiemos",0.291,0.238,0.435,0.337,0.248,0.234,0.514,0.09,0.312
"P23","Liberales Libertarios",0.266,0.127,0.205,0.199,0.155,0.143,0.125,0.409,0.06
"P23","Izquierda",0.062,0.032,0.037,0.029,0.061,0.074,0.057,0.103,0.023
"P23","No sabe",0.163,0.15,0.058,0.147,0.213,0.105,0.103,0.284,0.315
"P25","A Alberto Fernández",0.466,0.104,0.129,0.322,0.129,0.579,0.144,0,0.184
"P25","A Sergio Massa",0.382,0.165,0.478,0.146,0.402,0.017,0.433,0.556,0.135
