"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P23","No sabe",0.077,0.014,0.014,0.068,0.349
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.251,0.062,0.034,0.147
"P24","Mauricio Macri por Juntos por el Cambio",0.007,0.601,0.061,0.011,0.045
"P24","Alberto Fernández por el Frente de Todos",0.251,0.042,0.025,0.108,0.159
"P24","Sergio Massa por el Frente de Todos",0.576,0.019,0.015,0.1,0.061
"P24","Javier Milei por los liberales libertarios",0.009,0.02,0.797,0.069,0.073
"P24","Al candidato del Frente de Izquierda",0.031,0.027,0.008,0.62,0.023
"P24","No sabe",0.093,0.04,0.032,0.058,0.492
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.236,0.047,0.023,0.146
"P25","Patricia Bullrich por Juntos por el Cambio",0.014,0.648,0.169,0.07,0.115
"P25","Alberto Fernández por el Frente de Todos",0.268,0.014,0.017,0.092,0.15
"P25","Sergio Massa por el Frente de Todos",0.619,0.024,0.007,0.084,0.064
"P25","Javier Milei por los liberales libertarios",0.002,0.039,0.744,0.066,0.062
"P25","Al candidato del Frente de Izquierda",0.006,0.008,0.003,0.608,0.041
"P25","No sabe",0.061,0.031,0.013,0.057,0.422
"P27","Alberto Fernández por el Frente de Todos",0.78,0.02,0.018,0.096,0.181
"P27","Mauricio Macri por Juntos por el Cambio",0.022,0.942,0.05,0.027,0.069
"P27","Javier Milei por los liberales libertarios",0.016,0.012,0.919,0.005,0.026
"P27","Al candidato del Frente de Izquierda",0.03,0.001,0.008,0.84,0.011
"P27","No sabe",0.152,0.025,0.005,0.032,0.713
"P28","Alberto Fernández por el Frente de Todos",0.754,0.028,0.017,0.118,0.2
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.747,0.082,0.017,0.181
"P28","Javier Milei por los liberales libertarios",0.022,0.105,0.872,0.035,0.035
