"var","categoria","Mauricio Macri por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.418,0.465,0.417,0.502,0.541,0.312,0.539,0.419,0.463,0.469
"P04","Realizo changas o trabajos de vez en cuando",0.14,0.129,0.197,0.169,0.183,0.252,0.124,0.284,0.238,0.187
"P04","No tengo trabajo",0.172,0.164,0.139,0.126,0.1,0.228,0.132,0.212,0.18,0.139
"P04","Soy jubilado o pensionado",0.27,0.242,0.247,0.203,0.176,0.208,0.205,0.085,0.119,0.205
"P05","1",0.439,0.284,0.353,0.26,0.184,0.284,0.211,0.393,0.086,0.226
"P05","2",0.084,0.057,0.076,0.043,0.055,0.07,0.059,0.101,0.052,0.06
"P05","3",0.065,0.07,0.099,0.076,0.021,0.011,0.021,0.068,0.033,0.032
"P05","4",0.057,0.155,0.111,0.125,0.155,0.059,0.05,0.078,0.029,0.063
"P05","5",0.196,0.221,0.198,0.319,0.293,0.157,0.161,0.208,0.076,0.236
"P05","6",0.033,0.036,0.025,0.07,0.091,0.027,0.1,0.007,0.072,0.044
"P05","7",0.016,0.034,0.031,0.05,0.091,0.093,0.147,0.024,0.191,0.08
"P05","8",0.021,0.021,0.028,0.011,0.055,0.053,0.081,0.02,0.088,0.055
"P05","9",0.089,0.122,0.079,0.046,0.055,0.246,0.17,0.101,0.373,0.204
"P06","1",0.154,0.182,0.115,0.131,0.148,0.461,0.363,0.141,0.32,0.339
"P06","2",0.055,0.026,0.034,0.057,0.057,0.053,0.09,0.021,0.11,0.068
"P06","3",0.022,0.024,0.025,0.076,0.041,0.039,0.081,0.015,0.066,0.062
"P06","4",0.014,0.084,0.028,0.06,0.106,0.037,0.092,0.023,0.017,0.065
"P06","5",0.194,0.212,0.175,0.283,0.3,0.163,0.208,0.175,0.279,0.192
"P06","6",0.025,0.098,0.052,0.063,0.067,0.021,0.032,0.027,0.003,0.059
"P06","7",0.075,0.109,0.101,0.052,0.066,0.028,0.031,0.077,0.041,0.026
"P06","8",0.084,0.034,0.106,0.076,0.059,0.009,0.029,0.075,0.019,0.05
"P06","9",0.377,0.231,0.364,0.202,0.156,0.189,0.074,0.446,0.145,0.139
"P07","1",0.248,0.268,0.205,0.266,0.292,0.525,0.595,0.173,0.749,0.447
"P07","2",0.021,0.09,0.042,0.037,0.052,0.03,0.041,0.025,0.027,0.03
"P07","3",0.021,0.045,0.037,0.03,0.084,0.014,0.057,0.029,0.011,0.03
"P07","4",0.014,0.015,0.035,0.012,0.049,0.003,0.027,0.026,0.006,0.013
"P07","5",0.128,0.126,0.115,0.154,0.171,0.093,0.077,0.113,0.05,0.127
"P07","6",0.025,0.03,0.029,0.028,0.046,0.01,0.004,0.054,0,0.013
"P07","7",0.037,0.036,0.056,0.037,0.077,0.013,0.027,0.063,0.013,0.013
"P07","8",0.041,0.055,0.047,0.058,0.05,0.003,0.01,0.057,0.005,0.018
"P07","9",0.465,0.335,0.434,0.378,0.179,0.309,0.162,0.46,0.139,0.309
"P09","Del Frente de Todos y el peronismo",0.042,0.076,0.053,0.034,0.114,0.822,0.821,0.015,0.396,0.418
"P09","De juntos por el cambio",0.809,0.751,0.673,0.595,0.384,0.044,0.035,0.033,0.018,0.047
"P09","De los Liberales libertarios",0.098,0.045,0.188,0.175,0.113,0.029,0.035,0.809,0.029,0.022
"P09","De la Izquierda",0.01,0.008,0.01,0.047,0.076,0.009,0.011,0.019,0.488,0.024
"P09","No sabe",0.041,0.12,0.076,0.149,0.313,0.096,0.098,0.124,0.069,0.489
"P10","A Alberto Fernández",0.078,0.2,0.085,0.062,0.105,0.417,0.07,0.191,0.012,0.122
