"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.497,0.433,0.428
"P04","Realizo changas o trabajos de vez en cuando",0.149,0.181,0.206
"P04","No tengo trabajo",0.141,0.148,0.195
"P04","Soy jubilado o pensionado",0.213,0.238,0.171
"P05","1",0.18,0.367,0.27
"P05","2",0.059,0.086,0.058
"P05","3",0.018,0.083,0.048
"P05","4",0.05,0.107,0.075
"P05","5",0.15,0.208,0.291
"P05","6",0.078,0.035,0.046
"P05","7",0.148,0.026,0.051
"P05","8",0.098,0.019,0.027
"P05","9",0.219,0.069,0.134
"P06","1",0.39,0.124,0.224
"P06","2",0.064,0.03,0.072
"P06","3",0.089,0.02,0.037
"P06","4",0.076,0.043,0.04
"P06","5",0.175,0.194,0.258
"P06","6",0.032,0.053,0.043
"P06","7",0.038,0.112,0.035
"P06","8",0.031,0.099,0.056
"P06","9",0.105,0.325,0.235
"P07","1",0.63,0.199,0.286
"P07","2",0.025,0.044,0.038
"P07","3",0.05,0.035,0.038
"P07","4",0.014,0.028,0.022
"P07","5",0.08,0.143,0.134
"P07","6",0.014,0.038,0.045
"P07","7",0.023,0.054,0.045
"P07","8",0.011,0.047,0.039
"P07","9",0.153,0.412,0.353
"P09","Del Frente de Todos y el peronismo",0.824,0.043,0.204
"P09","De juntos por el cambio",0.027,0.633,0.14
"P09","De los Liberales libertarios",0.02,0.253,0.309
"P09","De la Izquierda",0.044,0.01,0.047
"P09","No sabe",0.085,0.061,0.3
"P10","A Alberto Fernández",0.187,0.109,0.133
"P10","A Sergio Massa",0.252,0.212,0.191
"P10","A algún candidato del peronismo",0.078,0.572,0.306
"P10","A algún candidato del kirchnerismo",0.483,0.107,0.37
"P11","A Alberto Fernández",0.103,0.11,0.114
"P11","A Sergio Massa",0.165,0.252,0.183
"P11","A algún candidato del peronismo",0.06,0.547,0.221
"P11","A Cristina Fernández de Kirchner",0.672,0.091,0.482
"P12","A Horacio Rodriguez Larreta",0.26,0.199,0.324
"P12","A Mauricio Macri",0.072,0.363,0.109
"P12","A Patricia Bullrich",0.136,0.379,0.308
"P12","A Facundo Manes",0.338,0.027,0.135
"P12","A Gerardo Morales",0.194,0.032,0.124
"P13","Seguro lo votaria",0.082,0.131,0.152
"P13","Quizás lo votaría",0.052,0.338,0.266
"P13","Nunca lo votaría",0.866,0.531,0.582
"P14","Lo votaría",0.014,0.454,0.039
"P14","Puede que lo vote",0.036,0.365,0.114
"P14","Nunca lo votaría",0.852,0.144,0.706
"P14","No sabe",0.098,0.037,0.141
"P15","Lo votaría",0.309,0.082,0.087
"P15","Puede que lo vote",0.413,0.055,0.112
"P15","Nunca lo votaría",0.192,0.837,0.685
"P15","No sabe",0.086,0.026,0.116
"P16","Lo votaría",0.246,0.014,0.025
"P16","Puede que lo vote",0.522,0.029,0.076
"P16","Nunca lo votaría",0.123,0.947,0.816
"P16","No sabe",0.109,0.01,0.083
"P17","La votaría",0.776,0.017,0.138
"P17","Puede que la vote",0.11,0.016,0.091
"P17","Nunca la votaría",0.087,0.962,0.719
"P17","No sabe",0.027,0.005,0.052
"P18","Lo votaría",0.094,0.234,0.055
"P18","Puede que lo vote",0.046,0.43,0.183
"P18","Nunca lo votaría",0.812,0.305,0.648
"P18","No sabe",0.048,0.031,0.114
"P19","Lo votaría",0.027,0.11,0.083
"P19","Puede que lo vote",0.159,0.331,0.192
"P19","Nunca lo votaría",0.695,0.474,0.551
"P19","No sabe",0.119,0.085,0.174
"P20","La votaría",0.014,0.536,0.118
"P20","Puede que la vote",0.052,0.307,0.227
"P20","Nunca la votaría",0.897,0.128,0.556
"P20","No sabe",0.037,0.029,0.099
"P21","Lo votaría",0.029,0.294,0.277
"P21","Puede que lo vote",0.038,0.294,0.133
"P21","Nunca lo votaría",0.899,0.366,0.486
"P21","No sabe",0.034,0.046,0.104
"P22","La votaría",0.023,0.23,0.089
"P22","Puede que la vote",0.027,0.398,0.114
"P22","Nunca la votaría",0.891,0.306,0.652
"P22","No sabe",0.059,0.066,0.145
"P23","Mauricio Macri por Juntos por el Cambio",0.003,0.231,0.03
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.107,0.069
"P23","Patricia Bullrich por Juntos por el Cambio",0.01,0.36,0.12
"P23","María Eugenia Vidal por Juntos por el Cambio",0.001,0.057,0.021
"P23","Facundo Manes por Juntos por el Cambio",0.019,0.041,0.081
"P23","Alberto Fernández por el Frente de Todos",0.305,0.009,0.039
"P23","Sergio Massa por el Frente de Todos",0.431,0.013,0.1
"P23","Javier Milei por los liberales libertarios",0.024,0.165,0.289
"P23","Al candidato del Frente de Izquierda",0.071,0.002,0.054
"P23","No sabe",0.131,0.015,0.197
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.211,0.103
"P24","Mauricio Macri por Juntos por el Cambio",0.008,0.434,0.029
"P24","Alberto Fernández por el Frente de Todos",0.28,0.032,0.058
"P24","Sergio Massa por el Frente de Todos",0.457,0.022,0.123
"P24","Javier Milei por los liberales libertarios",0.031,0.242,0.337
"P24","Al candidato del Frente de Izquierda",0.083,0.016,0.052
"P24","No sabe",0.135,0.043,0.298
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.193,0.103
"P25","Patricia Bullrich por Juntos por el Cambio",0.012,0.519,0.112
"P25","Alberto Fernández por el Frente de Todos",0.291,0.012,0.034
"P25","Sergio Massa por el Frente de Todos",0.487,0.019,0.134
"P25","Javier Milei por los liberales libertarios",0.026,0.227,0.314
"P25","Al candidato del Frente de Izquierda",0.067,0.004,0.05
"P25","No sabe",0.108,0.026,0.253
"P26","Sergio Massa por el Frente de Todos",0.699,0.029,0.148
"P26","Mauricio Macri por Juntos por el Cambio",0.023,0.623,0.041
"P26","Javier Milei por los liberales libertarios",0.042,0.278,0.375
"P26","Al candidato del Frente de Izquierda",0.083,0.006,0.053
"P26","No sabe",0.153,0.064,0.383
"P27","Alberto Fernández por el Frente de Todos",0.751,0.011,0.049
"P27","Mauricio Macri por Juntos por el Cambio",0.008,0.655,0.041
"P27","Javier Milei por los liberales libertarios",0.033,0.273,0.365
"P27","Al candidato del Frente de Izquierda",0.081,0.003,0.09
"P27","No sabe",0.127,0.058,0.455
"P28","Alberto Fernández por el Frente de Todos",0.753,0.011,0.03
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.568,0.139
"P28","Javier Milei por los liberales libertarios",0.03,0.33,0.335
"P28","Al candidato del Frente de Izquierda",0.08,0.005,0.075
"P28","No sabe",0.12,0.086,0.421
"P29","Sergio Massa por el Frente de Todos",0.752,0.02,0.12
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.567,0.129
"P29","Javier Milei por los liberales libertarios",0.034,0.331,0.323
"P29","Al candidato del Frente de Izquierda",0.072,0.003,0.071
"P29","No sabe",0.128,0.079,0.357
"P30","Sergio Massa por el Frente de Todos",0.695,0.053,0.131
"P30","Patricia Bullrich por Juntos por el Cambio",0.062,0.644,0.156
"P30","Javier Milei por los liberales libertarios",0.036,0.243,0.312
"P30","Al candidato del Frente de Izquierda",0.077,0.002,0.057
"P30","No sabe",0.13,0.058,0.344
"P32","Alberto Fernández por el Frente de Todos",0.72,0.073,0.037
"P32","Patricia Bullrich por Juntos por el Cambio",0.055,0.611,0.165
"P32","Javier Milei por los liberales libertarios",0.031,0.247,0.326
"P32","Al candidato del Frente de Izquierda",0.091,0.008,0.083
"P32","No sabe",0.103,0.061,0.389
"P34","Sergio Massa por el Frente de Todos",0.871,0.037,0.18
"P34","Mauricio Macri por Juntos por el Cambio",0.027,0.904,0.08
"P34","No sabe",0.102,0.059,0.74
"P35","Sergio Massa",0.881,0.035,0.175
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.823,0.15
"P35","No sabe",0.094,0.142,0.675
"P37","Alberto Fernández",0.942,0.015,0.042
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.839,0.178
"P37","No sabe",0.032,0.146,0.78
"P38","Sergio Massa por el Frente de Todos",0.897,0.035,0.172
"P38","Patricia Bullrich por Juntos por el Cambio",0.027,0.898,0.255
"P38","No sabe",0.076,0.067,0.573
"P39","Alberto Fernández por el Frente de Todos",0.949,0.016,0.07
"P39","Patricia Bullrich por Juntos por el Cambio",0.016,0.932,0.288
"P39","No sabe",0.035,0.052,0.642
"P40","Mauricio Macri por Juntos por el Cambio",0.116,0.608,0.053
"P40","Javier Milei por los liberales libertarios",0.062,0.351,0.372
"P40","No sabe",0.822,0.041,0.575
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.101,0.596,0.146
"P41","Javier Milei por los liberales libertarios",0.059,0.333,0.38
"P41","No sabe",0.84,0.071,0.474
"P42","Patricia Bullrich por Juntos por el Cambio",0.032,0.684,0.143
"P42","Javier Milei por los liberales libertarios",0.086,0.265,0.36
"P42","No sabe",0.882,0.051,0.497
"P43","Muy buena",0.121,0.084,0.042
"P43","Buena",0.358,0.033,0.09
