"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.245,0.482,0.567,0.545
"P04","Realizo changas o trabajos de vez en cuando",0.307,0.177,0.152,0.133
"P04","No tengo trabajo",0.264,0.142,0.13,0.097
"P04","Soy jubilado o pensionado",0.184,0.199,0.151,0.225
"P05","1",0.287,0.301,0.277,0.118
"P05","2",0.109,0.068,0.084,0.051
"P05","3",0.029,0.016,0.05,0.013
"P05","4",0.056,0.061,0.107,0.031
"P05","5",0.174,0.177,0.15,0.115
"P05","6",0.027,0.052,0.047,0.091
"P05","7",0.045,0.101,0.102,0.187
"P05","8",0.014,0.064,0.028,0.114
"P05","9",0.259,0.16,0.155,0.28
"P06","1",0.495,0.293,0.315,0.488
"P06","2",0.058,0.077,0.052,0.059
"P06","3",0.023,0.073,0.07,0.069
"P06","4",0.042,0.076,0.097,0.05
"P06","5",0.136,0.218,0.178,0.17
"P06","6",0.018,0.037,0.039,0.026
"P06","7",0.026,0.046,0.023,0.028
"P06","8",0.073,0.036,0.02,0.019
"P06","9",0.129,0.144,0.206,0.091
"P07","1",0.496,0.53,0.372,0.683
"P07","2",0.039,0.05,0.042,0.037
"P07","3",0.024,0.047,0.06,0.046
"P07","4",0.009,0.011,0.031,0.017
"P07","5",0.08,0.094,0.076,0.08
"P07","6",0,0.016,0.008,0.011
"P07","7",0.015,0.035,0.03,0.01
"P07","8",0.028,0.013,0.023,0.017
"P07","9",0.309,0.204,0.358,0.099
"P11","A Alberto Fernández",0.654,0.035,0.049,0.01
"P11","A Sergio Massa",0.018,0.588,0.064,0.018
"P11","A algún candidato del peronismo",0.056,0.044,0.622,0.024
"P11","A Cristina Fernández de Kirchner",0.272,0.333,0.265,0.948
"P14","Lo votaría",0.106,0.023,0.104,0.011
"P14","Puede que lo vote",0.077,0.152,0.09,0.007
"P14","Nunca lo votaría",0.721,0.761,0.733,0.925
"P14","No sabe",0.096,0.064,0.073,0.057
"P15","Lo votaría",0.314,0.641,0.166,0.153
"P15","Puede que lo vote",0.227,0.207,0.399,0.529
"P15","Nunca lo votaría",0.301,0.116,0.315,0.225
"P15","No sabe",0.158,0.036,0.12,0.093
"P16","Lo votaría",0.649,0.263,0.109,0.137
"P16","Puede que lo vote",0.246,0.503,0.392,0.519
"P16","Nunca lo votaría",0.071,0.137,0.405,0.215
"P16","No sabe",0.034,0.097,0.094,0.129
"P17","La votaría",0.779,0.65,0.456,0.92
"P17","Puede que la vote",0.138,0.201,0.128,0.028
"P17","Nunca la votaría",0.083,0.124,0.373,0.041
"P17","No sabe",0,0.025,0.043,0.011
"P18","Lo votaría",0.119,0.106,0.081,0.071
"P18","Puede que lo vote",0.058,0.128,0.126,0.02
"P18","Nunca lo votaría",0.714,0.72,0.735,0.903
"P18","No sabe",0.109,0.046,0.058,0.006
"P19","Lo votaría",0.074,0.04,0.065,0.01
"P19","Puede que lo vote",0.131,0.214,0.19,0.106
"P19","Nunca lo votaría",0.66,0.627,0.544,0.775
"P19","No sabe",0.135,0.119,0.201,0.109
"P20","La votaría",0.082,0.033,0.091,0.008
"P20","Puede que la vote",0.064,0.059,0.122,0.018
"P20","Nunca la votaría",0.75,0.88,0.7,0.955
"P20","No sabe",0.104,0.028,0.087,0.019
"P21","Lo votaría",0.042,0.04,0.061,0.004
"P21","Puede que lo vote",0.115,0.081,0.115,0.001
"P21","Nunca lo votaría",0.76,0.857,0.727,0.973
"P21","No sabe",0.083,0.022,0.097,0.022
"P22","La votaría",0.058,0.023,0.031,0.004
"P22","Puede que la vote",0.031,0.082,0.123,0.016
"P22","Nunca la votaría",0.813,0.824,0.788,0.933
"P22","No sabe",0.098,0.071,0.058,0.047
"P23","Mauricio Macri por Juntos por el Cambio",0.007,0.016,0.066,0.002
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.024,0.045,0.003
"P23","Patricia Bullrich por Juntos por el Cambio",0.014,0.001,0.134,0.015
"P23","María Eugenia Vidal por Juntos por el Cambio",0.001,0.004,0.006,0.003
"P23","Facundo Manes por Juntos por el Cambio",0.009,0.012,0.021,0.019
"P23","Alberto Fernández por el Frente de Todos",0.681,0.182,0.169,0.25
"P23","Sergio Massa por el Frente de Todos",0.158,0.73,0.286,0.397
"P23","Javier Milei por los liberales libertarios",0.01,0.001,0.036,0.003
"P23","Al candidato del Frente de Izquierda",0.003,0.006,0.027,0.097
"P23","No sabe",0.097,0.024,0.21,0.211
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.03,0.102,0.004
"P24","Mauricio Macri por Juntos por el Cambio",0.021,0.002,0.097,0.002
"P24","Alberto Fernández por el Frente de Todos",0.632,0.15,0.191,0.253
"P24","Sergio Massa por el Frente de Todos",0.114,0.766,0.387,0.401
"P24","Javier Milei por los liberales libertarios",0.022,0.012,0.051,0.002
"P24","Al candidato del Frente de Izquierda",0.049,0.01,0.028,0.105
"P24","No sabe",0.15,0.03,0.144,0.233
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.005,0.068,0.003
"P25","Patricia Bullrich por Juntos por el Cambio",0.058,0.003,0.161,0.009
"P25","Alberto Fernández por el Frente de Todos",0.651,0.139,0.158,0.27
"P25","Sergio Massa por el Frente de Todos",0.157,0.813,0.355,0.437
"P25","Javier Milei por los liberales libertarios",0.006,0.028,0.054,0.002
"P25","Al candidato del Frente de Izquierda",0.02,0.002,0.017,0.088
"P25","No sabe",0.102,0.01,0.187,0.191
"P26","Sergio Massa por el Frente de Todos",0.549,0.866,0.489,0.656
"P26","Mauricio Macri por Juntos por el Cambio",0.068,0.046,0.215,0.012
"P26","Javier Milei por los liberales libertarios",0.054,0.032,0.066,0.004
"P26","Al candidato del Frente de Izquierda",0.012,0.008,0.038,0.096
"P26","No sabe",0.317,0.048,0.192,0.232
"P27","Alberto Fernández por el Frente de Todos",0.773,0.727,0.368,0.696
"P27","Mauricio Macri por Juntos por el Cambio",0.023,0.039,0.223,0.012
"P27","Javier Milei por los liberales libertarios",0.052,0.05,0.054,0.004
"P27","Al candidato del Frente de Izquierda",0.017,0.036,0.045,0.097
"P27","No sabe",0.135,0.148,0.31,0.191
"P28","Alberto Fernández por el Frente de Todos",0.785,0.727,0.359,0.698
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.054,0.225,0.004
"P28","Javier Milei por los liberales libertarios",0.013,0.051,0.095,0.004
"P28","Al candidato del Frente de Izquierda",0.005,0.036,0.036,0.099
"P28","No sabe",0.162,0.132,0.285,0.195
"P29","Sergio Massa por el Frente de Todos",0.588,0.871,0.451,0.725
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.068,0.039,0.222,0.003
"P29","Javier Milei por los liberales libertarios",0.017,0.045,0.088,0.004
"P29","Al candidato del Frente de Izquierda",0.033,0,0.03,0.077
"P29","No sabe",0.294,0.045,0.209,0.191
"P30","Sergio Massa por el Frente de Todos",0.542,0.834,0.401,0.693
"P30","Patricia Bullrich por Juntos por el Cambio",0.118,0.096,0.241,0.021
"P30","Javier Milei por los liberales libertarios",0.009,0.027,0.052,0.016
"P30","Al candidato del Frente de Izquierda",0.01,0.02,0.033,0.097
"P30","No sabe",0.321,0.023,0.273,0.173
"P32","Alberto Fernández por el Frente de Todos",0.766,0.69,0.341,0.669
"P32","Patricia Bullrich por Juntos por el Cambio",0.095,0.093,0.253,0.031
"P32","Javier Milei por los liberales libertarios",0.012,0.05,0.06,0.004
"P32","Al candidato del Frente de Izquierda",0.005,0.048,0.03,0.101
"P32","No sabe",0.122,0.119,0.316,0.195
"P34","Sergio Massa por el Frente de Todos",0.628,0.953,0.534,0.877
"P34","Mauricio Macri por Juntos por el Cambio",0.074,0.014,0.305,0.005
"P34","No sabe",0.298,0.033,0.161,0.118
"P35","Sergio Massa",0.608,0.951,0.541,0.878
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.076,0.038,0.265,0.006
"P35","No sabe",0.316,0.011,0.194,0.116
"P36","Alberto Fernández por el Frente de Todos",0.85,0.827,0.427,0.866
"P36","Mauricio Macri por Juntos por el Cambio",0.044,0.062,0.278,0.017
"P36","No sabe",0.106,0.111,0.295,0.117
"P37","Alberto Fernández",0.796,0.83,0.393,0.871
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.068,0.318,0.019
"P37","No sabe",0.165,0.102,0.289,0.11
"P38","Sergio Massa por el Frente de Todos",0.667,0.965,0.522,0.885
"P38","Patricia Bullrich por Juntos por el Cambio",0.08,0.028,0.257,0.016
"P38","No sabe",0.253,0.007,0.221,0.099
"P39","Alberto Fernández por el Frente de Todos",0.858,0.867,0.457,0.886
"P39","Patricia Bullrich por Juntos por el Cambio",0.051,0.02,0.306,0.015
"P39","No sabe",0.091,0.113,0.237,0.099
"P40","Mauricio Macri por Juntos por el Cambio",0.172,0.152,0.174,0.086
"P40","Javier Milei por los liberales libertarios",0.054,0.105,0.248,0.02
"P40","No sabe",0.774,0.743,0.578,0.894
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.118,0.137,0.325,0.047
"P41","Javier Milei por los liberales libertarios",0.07,0.094,0.139,0.024
"P41","No sabe",0.812,0.769,0.536,0.929
"P42","Patricia Bullrich por Juntos por el Cambio",0.078,0.032,0.307,0.023
"P42","Javier Milei por los liberales libertarios",0.053,0.116,0.109,0.04
"P42","No sabe",0.869,0.852,0.584,0.937
"P43","Muy buena",0.222,0.106,0.111,0.115
"P43","Buena",0.303,0.333,0.166,0.379
"P43","Ni buena ni mala",0.324,0.452,0.336,0.395
"P43","Mala",0.083,0.088,0.126,0.099
"P43","Muy mala",0.065,0.021,0.254,0.011
"P43","No sabe",0.003,0,0.007,0.001
"P44","Muy buena",0.29,0.153,0.058,0.074
"P44","Buena",0.345,0.32,0.184,0.366
"P44","Ni buena ni mala",0.224,0.356,0.284,0.357
"P44","Mala",0.102,0.139,0.122,0.165
"P44","Muy mala",0.039,0.024,0.348,0.038
"P44","No sabe",0,0.008,0.004,0
"P45","Muy buena",0.472,0.533,0.29,0.841
"P45","Buena",0.271,0.187,0.17,0.112
"P45","Ni buena ni mala",0.147,0.131,0.133,0.014
"P45","Mala",0.027,0.092,0.106,0.005
"P45","Muy mala",0.083,0.056,0.294,0.028
"P45","No sabe",0,0.001,0.007,0
"P46","Muy buena",0.12,0.082,0.115,0.069
"P46","Buena",0.033,0.036,0.053,0.034
"P46","Ni buena ni mala",0.098,0.077,0.085,0.004
"P46","Mala",0.168,0.237,0.151,0.072
"P46","Muy mala",0.542,0.557,0.596,0.82
"P46","No sabe",0.039,0.011,0,0.001
"P47","Muy buena",0.058,0.012,0.13,0.004
"P47","Buena",0.015,0.089,0.172,0.004
"P47","Ni buena ni mala",0.322,0.107,0.126,0.042
"P47","Mala",0.183,0.345,0.195,0.178
"P47","Muy mala",0.369,0.41,0.377,0.771
"P47","No sabe",0.053,0.037,0,0.001
"P48","Muy buena",0.163,0.424,0.066,0.102
"P48","Buena",0.232,0.358,0.349,0.344
"P48","Ni buena ni mala",0.279,0.056,0.267,0.341
"P48","Mala",0.043,0.087,0.102,0.109
"P48","Muy mala",0.133,0.074,0.213,0.101
"P48","No sabe",0.15,0.001,0.003,0.003
"P49","Muy buena",0.083,0.033,0.125,0.005
"P49","Buena",0.059,0.11,0.064,0.03
"P49","Ni buena ni mala",0.204,0.043,0.217,0.024
"P49","Mala",0.092,0.18,0.058,0.064
"P49","Muy mala",0.479,0.603,0.536,0.875
"P49","No sabe",0.083,0.031,0,0.002
"P50","Muy buena",0.042,0.007,0.041,0.004
"P50","Buena",0.009,0.042,0.077,0.006
"P50","Ni buena ni mala",0.182,0.104,0.238,0.021
"P50","Mala",0.25,0.21,0.146,0.067
"P50","Muy mala",0.393,0.61,0.491,0.894
"P50","No sabe",0.124,0.027,0.007,0.008
"P51","Muy buena",0.047,0.005,0.053,0.006
"P51","Buena",0.004,0.032,0.163,0.016
"P51","Ni buena ni mala",0.146,0.102,0.145,0.017
"P51","Mala",0.181,0.219,0.098,0.08
"P51","Muy mala",0.465,0.615,0.527,0.873
"P51","No sabe",0.157,0.027,0.014,0.008
"P52","Muy buena",0.087,0.051,0.046,0.01
"P52","Buena",0.033,0.129,0.215,0.041
"P52","Ni buena ni mala",0.356,0.42,0.337,0.387
"P52","Mala",0.127,0.091,0.15,0.216
"P52","Muy mala",0.248,0.25,0.2,0.332
"P52","No sabe",0.149,0.059,0.052,0.014
"P53","Siempre",0.411,0.277,0.339,0.374
"P53","Casi siempre",0.233,0.462,0.443,0.425
"P53","Casi nunca",0.195,0.186,0.187,0.133
