"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.499,0.46,0.387,0.481,0.58
"P04","Realizo changas o trabajos de vez en cuando",0.194,0.137,0.166,0.185,0.126
"P04","No tengo trabajo",0.145,0.144,0.153,0.079,0.093
"P04","Soy jubilado o pensionado",0.162,0.259,0.294,0.255,0.201
"P05","1",0.372,0.406,0.37,0.196,0.336
"P05","2",0.049,0.079,0.097,0.01,0.017
"P05","3",0.071,0.08,0.106,0.07,0.058
"P05","4",0.133,0.083,0.112,0.1,0.056
"P05","5",0.197,0.173,0.176,0.257,0.244
"P05","6",0.021,0.028,0.036,0.097,0.16
"P05","7",0.033,0.018,0.033,0.051,0.048
"P05","8",0.02,0.02,0.022,0.05,0
"P05","9",0.104,0.113,0.048,0.169,0.081
"P06","1",0.15,0.164,0.113,0.166,0.14
"P06","2",0.032,0.034,0.038,0.093,0.058
"P06","3",0.024,0.028,0.035,0.021,0.026
"P06","4",0.047,0.019,0.033,0.096,0.072
"P06","5",0.209,0.173,0.163,0.244,0.306
"P06","6",0.068,0.047,0.054,0.044,0.096
"P06","7",0.108,0.084,0.133,0.079,0.102
"P06","8",0.069,0.098,0.107,0.109,0.035
"P06","9",0.293,0.353,0.324,0.148,0.165
"P07","1",0.29,0.244,0.204,0.29,0.284
"P07","2",0.033,0.049,0.034,0.068,0.094
"P07","3",0.038,0.014,0.053,0.064,0.022
"P07","4",0.026,0.015,0.033,0.004,0.018
"P07","5",0.11,0.126,0.118,0.201,0.067
"P07","6",0.032,0.021,0.036,0.012,0.041
"P07","7",0.074,0.045,0.043,0.052,0.058
"P07","8",0.051,0.045,0.038,0.037,0.023
"P07","9",0.346,0.441,0.441,0.272,0.393
"P13","Seguro lo votaria",0.254,0.175,0.114,0.177,0.123
"P13","Quizás lo votaría",0.31,0.344,0.333,0.156,0.279
