"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.495,0.423,0.451,0.414,0.462
"P04","Realizo changas o trabajos de vez en cuando",0.155,0.148,0.262,0.238,0.163
"P04","No tengo trabajo",0.138,0.133,0.185,0.221,0.17
"P04","Soy jubilado o pensionado",0.212,0.296,0.102,0.127,0.205
"P05","1",0.222,0.372,0.375,0.179,0.233
"P05","2",0.055,0.069,0.102,0.064,0.058
"P05","3",0.024,0.088,0.067,0.011,0.021
"P05","4",0.043,0.11,0.091,0.032,0.086
"P05","5",0.156,0.207,0.224,0.118,0.249
"P05","6",0.066,0.033,0.012,0.084,0.075
"P05","7",0.129,0.03,0.023,0.121,0.093
"P05","8",0.079,0.022,0.021,0.115,0.041
"P05","9",0.226,0.069,0.085,0.276,0.144
"P06","1",0.431,0.134,0.119,0.287,0.289
"P06","2",0.06,0.036,0.022,0.134,0.067
"P06","3",0.072,0.028,0.016,0.093,0.047
"P06","4",0.062,0.043,0.024,0.074,0.057
"P06","5",0.178,0.191,0.202,0.205,0.249
"P06","6",0.032,0.049,0.045,0.004,0.044
"P06","7",0.029,0.102,0.073,0.036,0.042
"P06","8",0.029,0.094,0.079,0.025,0.039
"P06","9",0.107,0.323,0.42,0.142,0.166
"P07","1",0.59,0.214,0.199,0.609,0.391
"P07","2",0.026,0.045,0.027,0.055,0.041
"P07","3",0.038,0.038,0.029,0.037,0.05
"P07","4",0.02,0.021,0.026,0.015,0.028
"P07","5",0.089,0.125,0.143,0.041,0.114
"P07","6",0.006,0.033,0.044,0.034,0.024
"P07","7",0.02,0.049,0.052,0.052,0.034
"P07","8",0.012,0.049,0.047,0.005,0.034
"P07","9",0.199,0.426,0.433,0.152,0.284
"P09","Del Frente de Todos y el peronismo",0.853,0.052,0.036,0.405,0.346
"P09","De juntos por el cambio",0.04,0.84,0.11,0.058,0.192
"P09","De los Liberales libertarios",0.021,0.057,0.744,0.017,0.064
"P09","De la Izquierda",0.015,0.004,0.019,0.389,0.041
"P09","No sabe",0.071,0.047,0.091,0.131,0.357
"P10","A Alberto Fernández",0.216,0.079,0.307,0.052,0.133
"P10","A Sergio Massa",0.258,0.173,0.372,0.142,0.185
"P10","A algún candidato del peronismo",0.087,0.653,0.264,0.119,0.257
"P10","A algún candidato del kirchnerismo",0.439,0.095,0.057,0.687,0.425
"P11","A Alberto Fernández",0.165,0.086,0.237,0.044,0.044
"P11","A Sergio Massa",0.167,0.202,0.248,0.192,0.112
"P11","A algún candidato del peronismo",0.063,0.621,0.236,0.058,0.223
"P11","A Cristina Fernández de Kirchner",0.605,0.091,0.279,0.706,0.621
"P12","A Horacio Rodriguez Larreta",0.238,0.188,0.272,0.288,0.358
"P12","A Mauricio Macri",0.151,0.415,0.053,0.111,0.12
"P12","A Patricia Bullrich",0.16,0.347,0.582,0.102,0.301
"P12","A Facundo Manes",0.252,0.018,0.079,0.499,0.115
"P12","A Gerardo Morales",0.199,0.032,0.014,0,0.106
"P13","Seguro lo votaria",0.139,0.135,0.375,0.022,0.121
"P13","Quizás lo votaría",0.197,0.334,0.376,0.088,0.271
"P13","Nunca lo votaría",0.664,0.531,0.249,0.89,0.608
"P14","Lo votaría",0.023,0.603,0.098,0.007,0.073
"P14","Puede que lo vote",0.049,0.288,0.366,0.052,0.121
"P14","Nunca lo votaría",0.849,0.077,0.459,0.858,0.633
"P14","No sabe",0.079,0.032,0.077,0.083,0.173
"P15","Lo votaría",0.333,0.093,0.041,0.111,0.129
"P15","Puede que lo vote",0.392,0.05,0.058,0.315,0.219
"P15","Nunca lo votaría",0.186,0.834,0.863,0.472,0.48
"P15","No sabe",0.089,0.023,0.038,0.102,0.172
"P16","Lo votaría",0.318,0.014,0.015,0.018,0.048
"P16","Puede que lo vote",0.503,0.024,0.036,0.338,0.149
"P16","Nunca lo votaría",0.099,0.952,0.934,0.571,0.655
"P16","No sabe",0.08,0.01,0.015,0.073,0.148
"P17","La votaría",0.789,0.016,0.028,0.429,0.286
"P17","Puede que la vote",0.118,0.014,0.024,0.195,0.074
"P17","Nunca la votaría",0.083,0.962,0.939,0.354,0.558
"P17","No sabe",0.01,0.008,0.009,0.022,0.082
"P18","Lo votaría",0.098,0.279,0.06,0.041,0.099
"P18","Puede que lo vote",0.048,0.456,0.275,0.139,0.185
"P18","Nunca lo votaría",0.795,0.237,0.638,0.805,0.578
"P18","No sabe",0.059,0.028,0.027,0.015,0.138
"P19","Lo votaría",0.03,0.108,0.052,0.085,0.11
"P19","Puede que lo vote",0.134,0.338,0.239,0.207,0.21
"P19","Nunca lo votaría",0.698,0.456,0.626,0.586,0.499
"P19","No sabe",0.138,0.098,0.083,0.122,0.181
"P20","La votaría",0.026,0.598,0.259,0.06,0.102
"P20","Puede que la vote",0.041,0.258,0.405,0.08,0.172
"P20","Nunca la votaría",0.889,0.115,0.3,0.827,0.586
"P20","No sabe",0.044,0.029,0.036,0.033,0.14
"P21","Lo votaría",0.017,0.13,0.726,0.062,0.042
"P21","Puede que lo vote",0.064,0.324,0.2,0.019,0.109
"P21","Nunca lo votaría",0.885,0.479,0.06,0.903,0.713
"P21","No sabe",0.034,0.067,0.014,0.016,0.136
"P22","La votaría",0.024,0.262,0.164,0.004,0.051
"P22","Puede que la vote",0.031,0.419,0.246,0.069,0.143
"P22","Nunca la votaría",0.869,0.246,0.537,0.864,0.651
"P22","No sabe",0.076,0.073,0.053,0.063,0.155
"P23","Mauricio Macri por Juntos por el Cambio",0.004,0.329,0.03,0.036,0.035
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.128,0.036,0.009,0.081
"P23","Patricia Bullrich por Juntos por el Cambio",0.01,0.396,0.177,0.017,0.139
"P23","María Eugenia Vidal por Juntos por el Cambio",0.004,0.07,0.018,0.003,0.031
"P23","Facundo Manes por Juntos por el Cambio",0.013,0.039,0.029,0.093,0.101
"P23","Alberto Fernández por el Frente de Todos",0.388,0.004,0.004,0.06,0.053
"P23","Sergio Massa por el Frente de Todos",0.452,0.012,0.029,0.128,0.175
"P23","Javier Milei por los liberales libertarios",0.003,0.007,0.661,0.038,0.024
"P23","Al candidato del Frente de Izquierda",0.016,0.002,0.004,0.549,0.02
"P23","No sabe",0.095,0.013,0.012,0.067,0.341
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.259,0.068,0.016,0.146
"P24","Mauricio Macri por Juntos por el Cambio",0.005,0.598,0.044,0.009,0.039
"P24","Alberto Fernández por el Frente de Todos",0.363,0.034,0.018,0.071,0.05
"P24","Sergio Massa por el Frente de Todos",0.465,0.017,0.028,0.149,0.206
"P24","Javier Milei por los liberales libertarios",0.009,0.023,0.81,0.122,0.059
"P24","Al candidato del Frente de Izquierda",0.036,0.025,0.009,0.563,0.025
"P24","No sabe",0.107,0.044,0.023,0.07,0.475
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.244,0.054,0.029,0.145
"P25","Patricia Bullrich por Juntos por el Cambio",0.018,0.649,0.144,0.042,0.113
"P25","Alberto Fernández por el Frente de Todos",0.384,0.008,0.013,0.033,0.039
"P25","Sergio Massa por el Frente de Todos",0.494,0.015,0.017,0.209,0.218
"P25","Javier Milei por los liberales libertarios",0.007,0.045,0.757,0.072,0.035
"P25","Al candidato del Frente de Izquierda",0.011,0.007,0.002,0.559,0.041
"P25","No sabe",0.078,0.032,0.013,0.056,0.409
"P26","Sergio Massa por el Frente de Todos",0.813,0.017,0.018,0.163,0.225
"P26","Mauricio Macri por Juntos por el Cambio",0.025,0.906,0.016,0.004,0.045
"P26","Javier Milei por los liberales libertarios",0.017,0.036,0.945,0.039,0.007
"P26","Al candidato del Frente de Izquierda",0.017,0.004,0.001,0.754,0.008
"P26","No sabe",0.128,0.037,0.02,0.04,0.715
"P28","Alberto Fernández por el Frente de Todos",0.899,0.011,0.005,0.063,0.085
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.755,0.067,0.043,0.172
