"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Javier Milei","Positiva",0.305,0.381,0.237,0.425,0.318,0.266,0.231,0.322,0.336,0.254,0.326,0.356,0.252,0.273,0.102,0.402,0.347
"Javier Milei","Neutra",0.212,0.211,0.213,0.132,0.173,0.25,0.306,0.23,0.212,0.197,0.206,0.233,0.211,0.208,0.114,0.295,0.305
"Javier Milei","Negativa",0.453,0.389,0.511,0.443,0.463,0.47,0.417,0.391,0.425,0.538,0.439,0.358,0.514,0.498,0.752,0.281,0.335
"Javier Milei","No sabe",0.03,0.019,0.039,0,0.046,0.014,0.046,0.057,0.027,0.011,0.029,0.053,0.023,0.021,0.032,0.022,0.013
"Facundo Manes","Positiva",0.211,0.219,0.205,0.141,0.204,0.246,0.241,0.214,0.207,0.216,0.201,0.251,0.195,0.206,0.125,0.292,0.289
"Facundo Manes","Neutra",0.368,0.362,0.374,0.323,0.355,0.371,0.429,0.373,0.37,0.362,0.371,0.35,0.411,0.368,0.38,0.368,0.393
"Facundo Manes","Negativa",0.352,0.36,0.344,0.474,0.344,0.341,0.275,0.302,0.356,0.386,0.358,0.269,0.324,0.385,0.432,0.289,0.237
"Facundo Manes","No sabe",0.069,0.059,0.077,0.062,0.097,0.042,0.055,0.111,0.067,0.036,0.07,0.13,0.07,0.041,0.063,0.051,0.081
"CFK","Positiva",0.297,0.275,0.317,0.249,0.302,0.304,0.32,0.299,0.287,0.306,0.264,0.268,0.272,0.342,0.704,0.054,0.072
"CFK","Neutra",0.055,0.056,0.054,0.05,0.064,0.052,0.044,0.074,0.055,0.039,0.072,0.048,0.039,0.045,0.083,0.014,0.098
"CFK","Negativa",0.641,0.665,0.619,0.701,0.63,0.636,0.616,0.614,0.652,0.651,0.663,0.678,0.674,0.601,0.207,0.927,0.821
"CFK","No sabe",0.007,0.004,0.01,0,0.004,0.008,0.02,0.013,0.006,0.004,0.001,0.006,0.015,0.012,0.006,0.005,0.009
"Sergio Massa","Positiva",0.24,0.224,0.255,0.197,0.229,0.246,0.294,0.27,0.237,0.219,0.211,0.242,0.294,0.257,0.441,0.124,0.292
"Sergio Massa","Neutra",0.163,0.158,0.169,0.14,0.188,0.149,0.155,0.145,0.177,0.162,0.163,0.17,0.118,0.167,0.245,0.096,0.148
"Sergio Massa","Negativa",0.576,0.606,0.548,0.643,0.55,0.596,0.539,0.537,0.571,0.614,0.601,0.568,0.565,0.559,0.283,0.771,0.547
"Sergio Massa","No sabe",0.021,0.012,0.028,0.02,0.033,0.009,0.012,0.048,0.015,0.005,0.025,0.02,0.023,0.017,0.031,0.009,0.013
"Alberto Fernandez","Positiva",0.172,0.146,0.196,0.101,0.158,0.192,0.236,0.217,0.151,0.16,0.163,0.146,0.173,0.191,0.395,0.041,0.061
"Alberto Fernandez","Neutra",0.157,0.158,0.157,0.155,0.193,0.129,0.127,0.154,0.166,0.149,0.143,0.189,0.101,0.164,0.313,0.031,0.113
"Alberto Fernandez","Negativa",0.665,0.689,0.642,0.733,0.647,0.672,0.629,0.615,0.679,0.689,0.692,0.665,0.675,0.64,0.29,0.923,0.819
"Alberto Fernandez","No sabe",0.006,0.007,0.005,0.011,0.002,0.007,0.008,0.014,0.004,0.002,0.002,0,0.051,0.005,0.002,0.005,0.007
