"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.474,0.428,0.46,0.447,0.44
"P04","Realizo changas o trabajos de vez en cuando",0.159,0.15,0.237,0.246,0.166
"P04","No tengo trabajo",0.151,0.144,0.193,0.169,0.163
"P04","Soy jubilado o pensionado",0.216,0.278,0.11,0.138,0.231
"P05","1",0.196,0.34,0.387,0.161,0.271
"P05","2",0.056,0.07,0.095,0.029,0.066
"P05","3",0.022,0.078,0.077,0.018,0.033
"P05","4",0.05,0.119,0.074,0.046,0.073
"P05","5",0.172,0.226,0.213,0.089,0.256
"P05","6",0.068,0.047,0.011,0.08,0.055
"P05","7",0.134,0.029,0.028,0.151,0.079
"P05","8",0.086,0.024,0.02,0.114,0.03
"P05","9",0.216,0.067,0.095,0.312,0.137
"P06","1",0.44,0.148,0.109,0.282,0.25
"P06","2",0.07,0.041,0.028,0.081,0.054
"P06","3",0.071,0.026,0.017,0.093,0.064
"P06","4",0.067,0.052,0.021,0.07,0.044
"P06","5",0.175,0.203,0.189,0.213,0.251
"P06","6",0.029,0.057,0.037,0.007,0.046
"P06","7",0.028,0.1,0.096,0.04,0.026
"P06","8",0.023,0.091,0.087,0.023,0.045
"P06","9",0.097,0.282,0.416,0.191,0.22
"P07","1",0.613,0.219,0.188,0.622,0.35
"P07","2",0.032,0.058,0.031,0.024,0.02
"P07","3",0.038,0.046,0.025,0.034,0.039
"P07","4",0.016,0.025,0.021,0.011,0.028
"P07","5",0.086,0.117,0.14,0.04,0.148
"P07","6",0.007,0.032,0.048,0,0.031
"P07","7",0.02,0.05,0.056,0.068,0.029
"P07","8",0.009,0.047,0.05,0.002,0.034
"P07","9",0.179,0.406,0.441,0.199,0.321
"P09","Del Frente de Todos y el peronismo",0.86,0.055,0.036,0.392,0.329
"P09","De juntos por el cambio",0.036,0.815,0.168,0.054,0.242
"P09","De los Liberales libertarios",0.03,0.035,0.695,0.025,0.079
"P09","De la Izquierda",0.013,0.009,0.01,0.393,0.031
"P09","No sabe",0.061,0.086,0.091,0.136,0.319
"P10","A Alberto Fernández",0.209,0.111,0.074,0.014,0.153
"P10","A Sergio Massa",0.255,0.225,0.385,0.146,0.163
"P10","A algún candidato del peronismo",0.085,0.635,0.483,0.099,0.239
"P10","A algún candidato del kirchnerismo",0.451,0.029,0.058,0.741,0.445
"P11","A Alberto Fernández",0.146,0.104,0.042,0,0.092
"P11","A Sergio Massa",0.176,0.215,0.247,0.12,0.103
"P11","A algún candidato del peronismo",0.054,0.626,0.399,0.071,0.205
"P11","A Cristina Fernández de Kirchner",0.624,0.055,0.312,0.809,0.6
"P12","A Horacio Rodriguez Larreta",0.173,0.262,0.065,0.037,0.114
"P12","A Mauricio Macri",0.242,0.342,0.281,0.102,0.449
"P12","A Patricia Bullrich",0.082,0.324,0.606,0.337,0.348
"P12","A Facundo Manes",0.286,0.032,0.04,0.468,0.036
"P12","A Gerardo Morales",0.217,0.04,0.008,0.056,0.053
