"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.482,0.439,0.436
"P04","Realizo changas o trabajos de vez en cuando",0.154,0.182,0.192
"P04","No tengo trabajo",0.146,0.139,0.212
"P04","Soy jubilado o pensionado",0.218,0.24,0.16
"P05","1",0.185,0.365,0.255
"P05","2",0.067,0.085,0.039
"P05","3",0.017,0.086,0.035
"P05","4",0.052,0.111,0.073
"P05","5",0.147,0.209,0.291
"P05","6",0.079,0.032,0.055
"P05","7",0.144,0.027,0.049
"P05","8",0.092,0.018,0.035
"P05","9",0.217,0.067,0.168
"P06","1",0.394,0.121,0.22
"P06","2",0.065,0.034,0.048
"P06","3",0.085,0.022,0.035
"P06","4",0.073,0.037,0.059
"P06","5",0.186,0.195,0.268
"P06","6",0.033,0.053,0.036
"P06","7",0.038,0.105,0.05
"P06","8",0.033,0.096,0.056
"P06","9",0.093,0.337,0.228
"P07","1",0.624,0.187,0.35
"P07","2",0.032,0.04,0.03
"P07","3",0.048,0.036,0.04
"P07","4",0.017,0.028,0.021
"P07","5",0.074,0.145,0.135
"P07","6",0.009,0.052,0.023
"P07","7",0.025,0.055,0.043
"P07","8",0.013,0.041,0.045
"P07","9",0.158,0.416,0.313
"P09","Del Frente de Todos y el peronismo",0.839,0.037,0.227
"P09","De juntos por el cambio",0.027,0.621,0.116
"P09","De los Liberales libertarios",0.017,0.269,0.25
"P09","De la Izquierda",0.042,0.009,0.057
"P09","No sabe",0.075,0.064,0.35
"P10","A Alberto Fernández",0.174,0.13,0.124
"P10","A Sergio Massa",0.257,0.073,0.225
"P10","A algún candidato del peronismo",0.082,0.696,0.285
"P10","A algún candidato del kirchnerismo",0.487,0.101,0.366
"P11","A Alberto Fernández",0.096,0.12,0.115
"P11","A Sergio Massa",0.177,0.124,0.166
"P11","A algún candidato del peronismo",0.068,0.67,0.182
"P11","A Cristina Fernández de Kirchner",0.659,0.086,0.537
