"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Mauricio Macri por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.478,0.39,0.358,0.543,0.465,0.518,0.455
"P04","Realizo changas o trabajos de vez en cuando",0.125,0.177,0.218,0.118,0.252,0.167,0.198
"P04","No tengo trabajo",0.146,0.14,0.227,0.112,0.194,0.193,0.149
"P04","Soy jubilado o pensionado",0.251,0.293,0.197,0.227,0.089,0.122,0.198
"P05","1",0.322,0.369,0.291,0.214,0.374,0.174,0.219
"P05","2",0.074,0.079,0.062,0.05,0.091,0.033,0.075
"P05","3",0.067,0.085,0.037,0.022,0.068,0.062,0.026
"P05","4",0.145,0.096,0.069,0.051,0.083,0.046,0.062
"P05","5",0.194,0.211,0.147,0.183,0.221,0.092,0.272
"P05","6",0.058,0.029,0.015,0.102,0.015,0.046,0.052
"P05","7",0.029,0.031,0.086,0.15,0.02,0.175,0.08
"P05","8",0.013,0.028,0.061,0.079,0.026,0.081,0.041
"P05","9",0.098,0.072,0.232,0.149,0.102,0.291,0.173
"P06","1",0.136,0.135,0.44,0.344,0.113,0.269,0.302
"P06","2",0.031,0.035,0.069,0.09,0.025,0.091,0.06
"P06","3",0.021,0.031,0.04,0.088,0.017,0.08,0.045
"P06","4",0.065,0.03,0.035,0.094,0.027,0.046,0.053
"P06","5",0.253,0.187,0.164,0.193,0.186,0.189,0.232
"P06","6",0.07,0.038,0.023,0.041,0.044,0.015,0.047
"P06","7",0.095,0.098,0.033,0.035,0.072,0.061,0.03
"P06","8",0.045,0.116,0.022,0.034,0.088,0.034,0.039
"P06","9",0.284,0.33,0.174,0.081,0.428,0.215,0.192
"P07","1",0.295,0.169,0.503,0.574,0.199,0.611,0.384
"P07","2",0.083,0.022,0.036,0.033,0.028,0.029,0.037
"P07","3",0.048,0.036,0.026,0.058,0.027,0.014,0.025
"P07","4",0.017,0.024,0.008,0.025,0.031,0.004,0.022
"P07","5",0.099,0.141,0.09,0.081,0.142,0.07,0.128
"P07","6",0.026,0.039,0.013,0.011,0.047,0,0.016
"P07","7",0.038,0.053,0.011,0.029,0.048,0.058,0.04
"P07","8",0.041,0.048,0.004,0.019,0.062,0.006,0.025
"P07","9",0.353,0.468,0.309,0.17,0.416,0.208,0.323
"P09","Del Frente de Todos y el peronismo",0.062,0.033,0.745,0.808,0.024,0.359,0.342
"P09","De juntos por el cambio",0.759,0.834,0.107,0.041,0.089,0.165,0.147
"P09","De los Liberales libertarios",0.077,0.081,0.053,0.048,0.718,0.069,0.065
"P09","De la Izquierda",0.007,0.002,0.027,0.016,0.028,0.321,0.023
"P09","No sabe",0.095,0.05,0.068,0.087,0.141,0.086,0.423
"P10","A Alberto Fernández",0.079,0.189,0.4,0.048,0.256,0.147,0.175
"P10","A Sergio Massa",0.257,0.019,0.122,0.415,0.177,0.04,0.046
"P10","A algún candidato del peronismo",0.599,0.745,0.105,0.142,0.505,0.074,0.145
"P10","A algún candidato del kirchnerismo",0.065,0.047,0.373,0.395,0.062,0.739,0.634
"P11","A Alberto Fernández",0.046,0.206,0.331,0.016,0.254,0.117,0.062
"P11","A Sergio Massa",0.201,0.145,0.082,0.28,0.047,0,0.034
"P11","A algún candidato del peronismo",0.649,0.602,0.083,0.101,0.395,0.066,0.147
"P11","A Cristina Fernández de Kirchner",0.104,0.047,0.504,0.603,0.304,0.817,0.757
"P12","A Horacio Rodriguez Larreta",0.479,0.096,0.148,0.271,0.149,0.217,0.246
"P12","A Mauricio Macri",0.176,0.479,0.312,0.14,0.06,0.69,0.117
"P12","A Patricia Bullrich",0.223,0.396,0.443,0.233,0.582,0.018,0.397
"P12","A Facundo Manes",0.058,0.01,0.052,0.29,0.171,0.075,0.091
"P12","A Gerardo Morales",0.064,0.019,0.045,0.066,0.038,0,0.149
"P13","Seguro lo votaria",0.16,0.123,0.185,0.181,0.429,0.141,0.146
"P13","Quizás lo votaría",0.261,0.348,0.303,0.323,0.346,0.553,0.308
"P13","Nunca lo votaría",0.579,0.529,0.512,0.496,0.225,0.306,0.546
"P14","Lo votaría",0.315,0.684,0.07,0.019,0.085,0.139,0.071
"P14","Puede que lo vote",0.361,0.222,0.097,0.064,0.378,0.094,0.106
"P14","Nunca lo votaría",0.238,0.077,0.764,0.842,0.433,0.658,0.634
"P14","No sabe",0.086,0.017,0.069,0.075,0.104,0.109,0.189
"P15","Lo votaría",0.049,0.083,0.199,0.467,0.022,0.156,0.062
"P15","Puede que lo vote",0.083,0.057,0.307,0.405,0.063,0.229,0.235
"P15","Nunca lo votaría",0.826,0.84,0.372,0.081,0.856,0.504,0.49
"P15","No sabe",0.042,0.02,0.122,0.047,0.059,0.111,0.213
"P16","Lo votaría",0.017,0.018,0.411,0.16,0.015,0.045,0.066
"P16","Puede que lo vote",0.036,0.021,0.336,0.52,0.036,0.26,0.194
"P16","Nunca lo votaría",0.923,0.949,0.198,0.213,0.92,0.629,0.603
"P16","No sabe",0.024,0.012,0.055,0.107,0.029,0.066,0.137
"P17","La votaría",0.02,0.005,0.711,0.668,0.027,0.406,0.348
"P17","Puede que la vote",0.014,0.012,0.075,0.143,0.035,0.098,0.079
"P17","Nunca la votaría",0.945,0.972,0.188,0.159,0.918,0.467,0.508
"P17","No sabe",0.021,0.011,0.026,0.03,0.02,0.029,0.065
"P18","Lo votaría",0.47,0.208,0.094,0.086,0.027,0.063,0.062
"P18","Puede que lo vote",0.388,0.484,0.089,0.08,0.278,0.145,0.162
"P18","Nunca lo votaría",0.112,0.272,0.758,0.784,0.646,0.731,0.613
"P18","No sabe",0.03,0.036,0.059,0.05,0.049,0.061,0.163
"P19","Lo votaría",0.199,0.083,0.023,0.044,0.044,0.07,0.074
"P19","Puede que lo vote",0.349,0.287,0.131,0.175,0.244,0.193,0.182
"P19","Nunca lo votaría",0.321,0.53,0.729,0.644,0.61,0.591,0.507
"P19","No sabe",0.131,0.1,0.117,0.137,0.102,0.146,0.237
"P20","La votaría",0.37,0.637,0.081,0.036,0.25,0.138,0.112
"P20","Puede que la vote",0.336,0.237,0.078,0.044,0.385,0.088,0.14
"P20","Nunca la votaría",0.227,0.095,0.781,0.879,0.304,0.732,0.598
"P20","No sabe",0.067,0.031,0.06,0.041,0.061,0.042,0.15
"P21","Lo votaría",0.103,0.156,0.05,0.037,0.721,0.077,0.051
"P21","Puede que lo vote",0.292,0.324,0.091,0.046,0.196,0.134,0.112
"P21","Nunca lo votaría",0.508,0.459,0.808,0.878,0.072,0.731,0.676
"P21","No sabe",0.097,0.061,0.051,0.039,0.011,0.058,0.161
"P22","La votaría",0.266,0.24,0.042,0.041,0.135,0.039,0.058
"P22","Puede que la vote",0.412,0.408,0.082,0.036,0.242,0.113,0.098
"P22","Nunca la votaría",0.228,0.272,0.806,0.854,0.55,0.76,0.652
"P22","No sabe",0.094,0.08,0.07,0.069,0.073,0.088,0.192
"P23","Mauricio Macri por Juntos por el Cambio",0.151,0.406,0.025,0.003,0.017,0.173,0.009
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.419,0.037,0.005,0.001,0.001,0,0.039
"P23","Patricia Bullrich por Juntos por el Cambio",0.241,0.445,0.121,0.014,0.152,0.051,0.136
"P23","María Eugenia Vidal por Juntos por el Cambio",0.077,0.049,0.004,0.018,0.021,0.009,0.026
"P23","Facundo Manes por Juntos por el Cambio",0.064,0.029,0.018,0.019,0.046,0.07,0.078
"P23","Alberto Fernández por el Frente de Todos",0.001,0.004,0.673,0.091,0.009,0.088,0.054
"P23","Sergio Massa por el Frente de Todos",0.009,0.002,0.086,0.779,0.011,0.056,0.072
"P23","Javier Milei por los liberales libertarios",0.021,0.012,0,0.007,0.711,0.016,0.023
"P23","Al candidato del Frente de Izquierda",0.001,0.002,0.012,0.016,0.008,0.498,0.018
"P23","No sabe",0.016,0.014,0.056,0.052,0.024,0.039,0.545
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.639,0.127,0.005,0.003,0.009,0.037,0.042
"P25","Patricia Bullrich por Juntos por el Cambio",0.283,0.782,0.1,0.019,0.116,0.074,0.143
"P25","Alberto Fernández por el Frente de Todos",0.015,0.003,0.754,0.058,0.004,0.109,0.035
"P25","Sergio Massa por el Frente de Todos",0.02,0.004,0.083,0.877,0.007,0.052,0.098
"P25","Javier Milei por los liberales libertarios",0.036,0.036,0.024,0.017,0.835,0.057,0.02
"P25","Al candidato del Frente de Izquierda",0.003,0.003,0.003,0.001,0.013,0.637,0.016
"P25","No sabe",0.004,0.045,0.031,0.025,0.016,0.034,0.646
"P26","Sergio Massa por el Frente de Todos",0.067,0.009,0.555,0.856,0.011,0.161,0.179
"P26","Mauricio Macri por Juntos por el Cambio",0.601,0.882,0.11,0.035,0.029,0.169,0.091
"P26","Javier Milei por los liberales libertarios",0.115,0.069,0.05,0.021,0.884,0.039,0.057
"P26","Al candidato del Frente de Izquierda",0.012,0.002,0.041,0.025,0.014,0.548,0.019
"P26","No sabe",0.205,0.038,0.244,0.063,0.062,0.083,0.654
"P27","Alberto Fernández por el Frente de Todos",0.029,0.005,0.765,0.677,0.011,0.176,0.199
"P27","Mauricio Macri por Juntos por el Cambio",0.647,0.913,0.095,0.032,0.036,0.163,0.107
"P27","Javier Milei por los liberales libertarios",0.121,0.048,0.036,0.037,0.877,0.039,0.04
"P27","Al candidato del Frente de Izquierda",0.006,0.002,0.029,0.041,0.027,0.533,0.025
"P27","No sabe",0.197,0.032,0.075,0.213,0.049,0.089,0.629
"P28","Alberto Fernández por el Frente de Todos",0.011,0.009,0.766,0.687,0.013,0.155,0.174
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.842,0.673,0.077,0.05,0.038,0.104,0.126
"P28","Javier Milei por los liberales libertarios",0.077,0.159,0.043,0.048,0.867,0.073,0.038
"P28","Al candidato del Frente de Izquierda",0.002,0.007,0.019,0.035,0.026,0.577,0.023
"P28","No sabe",0.068,0.152,0.095,0.18,0.056,0.091,0.639
"P29","Sergio Massa por el Frente de Todos",0.015,0.012,0.576,0.866,0.016,0.192,0.21
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.874,0.679,0.111,0.016,0.037,0.119,0.119
"P29","Javier Milei por los liberales libertarios",0.051,0.168,0.043,0.039,0.878,0.076,0.03
"P29","Al candidato del Frente de Izquierda",0,0.005,0.042,0.005,0.033,0.524,0.013
"P29","No sabe",0.06,0.136,0.228,0.074,0.036,0.089,0.628
"P30","Sergio Massa por el Frente de Todos",0.118,0.036,0.498,0.843,0.009,0.15,0.199
"P30","Patricia Bullrich por Juntos por el Cambio",0.603,0.843,0.166,0.072,0.161,0.189,0.203
"P30","Javier Milei por los liberales libertarios",0.115,0.056,0.045,0.031,0.767,0.032,0.027
"P30","Al candidato del Frente de Izquierda",0.002,0.001,0.041,0.009,0.021,0.547,0.016
"P30","No sabe",0.162,0.064,0.25,0.045,0.042,0.082,0.555
"P32","Alberto Fernández por el Frente de Todos",0.095,0.083,0.704,0.654,0.027,0.187,0.201
"P32","Patricia Bullrich por Juntos por el Cambio",0.561,0.802,0.154,0.09,0.151,0.156,0.198
"P32","Javier Milei por los liberales libertarios",0.138,0.054,0.022,0.045,0.771,0.034,0.029
"P32","Al candidato del Frente de Izquierda",0.013,0.002,0.032,0.049,0.013,0.593,0.031
"P32","No sabe",0.193,0.059,0.088,0.162,0.038,0.03,0.541
"P34","Sergio Massa por el Frente de Todos",0.055,0.016,0.64,0.937,0.054,0.526,0.324
"P34","Mauricio Macri por Juntos por el Cambio",0.768,0.959,0.149,0.028,0.523,0.18,0.163
"P34","No sabe",0.177,0.025,0.211,0.035,0.423,0.294,0.513
"P35","Sergio Massa",0.012,0.028,0.627,0.946,0.077,0.55,0.31
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.926,0.843,0.128,0.026,0.422,0.179,0.196
"P35","No sabe",0.062,0.129,0.245,0.028,0.501,0.271,0.494
"P36","Alberto Fernández por el Frente de Todos",0.016,0.011,0.756,0.792,0.048,0.57,0.329
"P36","Mauricio Macri por Juntos por el Cambio",0.81,0.961,0.135,0.059,0.59,0.178,0.166
"P36","No sabe",0.174,0.028,0.109,0.149,0.362,0.252,0.505
"P37","Alberto Fernández",0.008,0.027,0.75,0.789,0.056,0.59,0.287
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.927,0.857,0.125,0.064,0.456,0.177,0.194
"P37","No sabe",0.065,0.116,0.125,0.147,0.488,0.233,0.519
"P38","Sergio Massa por el Frente de Todos",0.048,0.021,0.639,0.938,0.046,0.636,0.335
"P38","Patricia Bullrich por Juntos por el Cambio",0.803,0.92,0.185,0.037,0.659,0.156,0.232
"P38","No sabe",0.149,0.059,0.176,0.025,0.295,0.208,0.433
"P39","Alberto Fernández por el Frente de Todos",0.029,0.014,0.773,0.823,0.028,0.597,0.326
"P39","Patricia Bullrich por Juntos por el Cambio",0.831,0.963,0.171,0.043,0.695,0.192,0.24
"P39","No sabe",0.14,0.023,0.056,0.134,0.277,0.211,0.434
"P40","Mauricio Macri por Juntos por el Cambio",0.633,0.839,0.135,0.116,0.049,0.164,0.186
"P40","Javier Milei por los liberales libertarios",0.225,0.134,0.109,0.093,0.859,0.114,0.085
"P40","No sabe",0.142,0.027,0.756,0.791,0.092,0.722,0.729
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.851,0.749,0.151,0.096,0.06,0.204,0.204
"P41","Javier Milei por los liberales libertarios",0.084,0.158,0.072,0.096,0.889,0.104,0.085
"P41","No sabe",0.065,0.093,0.777,0.808,0.051,0.692,0.711
"P42","Patricia Bullrich por Juntos por el Cambio",0.684,0.898,0.156,0.043,0.144,0.185,0.241
"P42","Javier Milei por los liberales libertarios",0.164,0.067,0.043,0.124,0.79,0.058,0.08
"P42","No sabe",0.152,0.035,0.801,0.833,0.066,0.757,0.679
"P43","Muy buena",0.092,0.104,0.208,0.077,0.015,0.114,0.059
"P43","Buena",0.043,0.019,0.342,0.343,0.085,0.059,0.125
"P43","Ni buena ni mala",0.027,0.011,0.288,0.415,0.042,0.387,0.312
"P43","Mala",0.135,0.059,0.059,0.119,0.098,0.24,0.135
"P43","Muy mala",0.689,0.806,0.096,0.045,0.752,0.2,0.36
"P43","No sabe",0.014,0.001,0.007,0.001,0.008,0,0.009
"P44","Muy buena",0.014,0.012,0.249,0.083,0.002,0.017,0.026
"P44","Buena",0.025,0.01,0.362,0.321,0.007,0.11,0.11
"P44","Ni buena ni mala",0.024,0.011,0.161,0.4,0.072,0.251,0.316
"P44","Mala",0.128,0.068,0.051,0.135,0.112,0.363,0.159
"P44","Muy mala",0.793,0.898,0.17,0.058,0.805,0.259,0.374
"P44","No sabe",0.016,0.001,0.007,0.003,0.002,0,0.015
"P45","Muy buena",0.026,0.004,0.563,0.589,0.019,0.386,0.322
"P45","Buena",0.003,0.001,0.143,0.181,0.029,0.137,0.055
"P45","Ni buena ni mala",0.024,0.021,0.048,0.104,0.016,0.071,0.14
"P45","Mala",0.065,0.031,0.03,0.066,0.056,0.118,0.06
"P45","Muy mala",0.878,0.934,0.206,0.06,0.878,0.288,0.397
"P45","No sabe",0.004,0.009,0.01,0,0.002,0,0.026
"P46","Muy buena",0.168,0.468,0.077,0.085,0.035,0.084,0.042
"P46","Buena",0.272,0.343,0.052,0.054,0.186,0.04,0.044
"P46","Ni buena ni mala",0.353,0.094,0.098,0.041,0.277,0.036,0.206
"P46","Mala",0.084,0.015,0.193,0.132,0.219,0.064,0.178
"P46","Muy mala",0.12,0.078,0.577,0.675,0.271,0.776,0.489
"P46","No sabe",0.003,0.002,0.003,0.013,0.012,0,0.041
"P47","Muy buena",0.39,0.225,0.036,0.025,0.034,0.043,0.018
"P47","Buena",0.486,0.413,0.084,0.045,0.186,0.098,0.106
"P47","Ni buena ni mala",0.091,0.253,0.159,0.114,0.266,0.131,0.276
"P47","Mala",0.02,0.059,0.252,0.244,0.194,0.22,0.147
"P47","Muy mala",0.013,0.035,0.443,0.554,0.3,0.508,0.39
