"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.609,0.474,0.617,0.305
"P05","Bastante",0.293,0.39,0.145,0.44
"P05","Poco",0.07,0.085,0.135,0.225
"P05","Nada",0.014,0.046,0.083,0.03
"P05","No sabe",0.014,0.005,0.02,0
"P06","Siempre",0.304,0.247,0.275,0.259
"P06","Casi siempre",0.416,0.502,0.272,0.304
"P06","Casi nunca",0.227,0.183,0.424,0.437
"P06","Nunca, pero esta es una excepción",0.053,0.068,0.029,0
"P08","Unión por la Patria",0.715,0.132,0.158,0.156
"P08","Juntos por el Cambio ",0.187,0.653,0.242,0.252
"P08","Liberales",0.016,0.16,0.375,0.152
"P08","Izquierda",0.036,0.012,0.122,0.109
"P08","Otro",0.011,0.021,0.05,0.073
"P08","No sabe",0.035,0.022,0.053,0.258
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.54,0.012,0.162,0.016
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.244,0.007,0.079,0.161
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.06,0.557,0.135,0.134
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.074,0.216,0.089,0.169
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.021,0.179,0.325,0.223
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.052,0.009,0.103,0.075
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.006,0.025,0
"P09","Otros",0.002,0.011,0.039,0.011
"P09","En blanco",0,0,0.043,0
"P09","No sabe",0.007,0.003,0,0.211
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.597,0.057,0.187,0.116
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.084,0.5,0.062,0.108
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.158,0.255,0.104,0.4
"P12","Ramiro Marra por la Libertad Avanza",0.044,0.136,0.455,0.095
"P12","Vanina Biasi por el Frente de Izquierda",0.074,0.031,0.092,0.092
"P12","Otros",0.033,0.01,0.06,0.052
"P12","En blanco",0.004,0.008,0.04,0
"P12","No sabe",0.006,0.003,0,0.137
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.426,0.058,0.074,0.05
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.233,0.028,0.119,0.185
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.088,0.482,0.13,0.057
