"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.599,0.513,0.487,0.381
"P05","Bastante",0.304,0.326,0.336,0.365
"P05","Poco",0.062,0.092,0.121,0.189
"P05","Nada",0.023,0.069,0.013,0.055
"P05","No sabe",0.012,0,0.043,0.01
"P06","Siempre",0.282,0.253,0.272,0.241
"P06","Casi siempre",0.419,0.436,0.482,0.428
"P06","Casi nunca",0.235,0.239,0.231,0.266
"P06","Nunca, pero esta es una excepción",0.064,0.072,0.015,0.065
"P08","Unión por la Patria",0.666,0.102,0.138,0.172
"P08","Juntos por el Cambio ",0.219,0.442,0.699,0.648
"P08","Liberales",0.018,0.375,0.048,0.01
"P08","Izquierda",0.036,0.031,0.057,0.024
"P08","Otro",0.023,0.021,0.026,0.04
"P08","No sabe",0.038,0.029,0.032,0.106
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.514,0.016,0.042,0.025
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.215,0.012,0.079,0.043
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.058,0.49,0.495,0.49
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.109,0.083,0.221,0.293
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.029,0.369,0.031,0.047
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.056,0,0.05,0.022
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.01,0.018,0
"P09","Otros",0.017,0.013,0.034,0.004
"P09","En blanco",0,0.005,0.03,0
"P09","No sabe",0.002,0.002,0,0.076
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.586,0.033,0.076,0.008
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.088,0.427,0.371,0.45
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.156,0.187,0.264,0.36
"P12","Ramiro Marra por la Libertad Avanza",0.052,0.308,0.09,0.03
"P12","Vanina Biasi por el Frente de Izquierda",0.06,0.029,0.114,0.033
"P12","Otros",0.056,0.016,0.051,0.036
"P12","En blanco",0,0,0.022,0.031
"P12","No sabe",0.002,0,0.012,0.052
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.406,0.042,0.079,0.058
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.226,0.041,0.061,0.041
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.076,0.453,0.318,0.426
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.121,0.158,0.305,0.222
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.054,0.26,0.089,0.076
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.008,0.057,0.007
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.015,0.004,0.01,0.014
"P18","Otros",0.032,0,0.034,0.048
"P18","En blanco",0.013,0.032,0.03,0.032
"P18","No sabe",0.013,0.002,0.017,0.076
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.373,0.035,0.156,0.031
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.109,0.343,0.386,0.42
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.136,0.226,0.207,0.352
"P21","Ramiro Marra por la Libertad Avanza",0.065,0.294,0.055,0.034
"P21","Vanina Biasi por el Frente de Izquierda",0.143,0.011,0.045,0.019
"P21","Otros",0.098,0.032,0.07,0.022
"P21","En blanco",0.034,0.034,0.072,0.071
"P21","No sabe",0.042,0.025,0.009,0.051
"P25","Totalmente seguro",0.681,0.68,0.702,0.558
"P25","Bastante seguro",0.206,0.153,0.191,0.197
"P25","Algo seguro",0.091,0.094,0.025,0.116
"P25","Para nada seguro",0.022,0.073,0.082,0.129
"P26","Tiene Decidido que va a ir a votar",0.904,0.895,0.888,0.851
"P26","Tiene dudas sobre si va a ir a  votar",0.06,0.078,0.074,0.036
"P26","Tiene Decidido que no va a ir a votar",0.036,0.027,0.038,0.113
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.76,0.025,0.106,0.041
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.077,0.522,0.636,0.647
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.426,0.06,0.06
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.072,0,0.081,0.029
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.01,0.031,0.019
"P27","Otros",0.029,0.007,0.039,0.105
"P27","En blanco",0.001,0,0.039,0.01
"P27","No sabe",0.003,0.01,0.008,0.089
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.723,0.039,0.095,0.025
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.153,0.364,0.579,0.584
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.041,0.548,0.051,0.062
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.058,0,0.086,0.017
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.01,0.049,0.007
"P28","Otros",0.015,0.011,0.028,0.113
"P28","En blanco",0,0.013,0.109,0.061
"P28","No sabe",0.001,0.015,0.003,0.131
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.692,0.03,0.146,0.053
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.173,0.544,0.55,0.586
"P29","Ramiro Marra por la Libertad Avanza",0.037,0.365,0.055,0.056
"P29","Vanina Biasi por el Frente de Izquierda",0.052,0,0.072,0.063
