"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.611,0.483,0.562,0.318
"P05","Bastante",0.287,0.379,0.241,0.457
"P05","Poco",0.082,0.088,0.146,0.147
"P05","Nada",0.013,0.036,0.047,0.078
"P05","No sabe",0.007,0.014,0.004,0
"P06","Siempre",0.304,0.26,0.184,0.221
"P06","Casi siempre",0.388,0.491,0.42,0.538
"P06","Casi nunca",0.252,0.195,0.308,0.199
"P06","Nunca, pero esta es una excepción",0.056,0.054,0.088,0.042
"P08","Unión por la Patria",0.754,0.125,0.164,0.096
"P08","Juntos por el Cambio ",0.154,0.705,0.276,0.474
"P08","Liberales",0.016,0.102,0.406,0.157
"P08","Izquierda",0.037,0.012,0.097,0.02
"P08","Otro",0.007,0.021,0.03,0.039
"P08","No sabe",0.032,0.035,0.027,0.214
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.574,0.014,0.076,0.064
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.255,0.011,0.027,0.077
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.039,0.529,0.281,0.535
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.028,0.319,0.008,0.042
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.024,0.092,0.437,0.145
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.054,0.007,0.1,0.031
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.01,0.011,0
"P09","Otros",0.02,0.012,0.016,0.008
"P09","En blanco",0,0,0.038,0
"P09","No sabe",0.006,0.006,0.006,0.098
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.656,0.051,0.061,0.009
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.032,0.494,0.237,0.373
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.13,0.322,0.048,0.237
"P12","Ramiro Marra por la Libertad Avanza",0.06,0.062,0.489,0.104
"P12","Vanina Biasi por el Frente de Izquierda",0.079,0.048,0.061,0.023
"P12","Otros",0.038,0.02,0.06,0.125
"P12","En blanco",0,0,0.027,0.056
"P12","No sabe",0.005,0.003,0.017,0.073
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.467,0.072,0.02,0.091
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.241,0.026,0.077,0.106
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.037,0.421,0.378,0.374
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.071,0.335,0.062,0.008
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.045,0.1,0.289,0.193
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.073,0.001,0.033,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.013,0.003,0.028
"P18","Otros",0.036,0.007,0.036,0.084
"P18","En blanco",0.014,0.004,0.085,0.047
"P18","No sabe",0.008,0.021,0.017,0.069
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.416,0.074,0.092,0
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.083,0.424,0.235,0.265
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.123,0.303,0.093,0.179
"P21","Ramiro Marra por la Libertad Avanza",0.051,0.13,0.28,0.213
"P21","Vanina Biasi por el Frente de Izquierda",0.158,0.016,0.041,0.023
"P21","Otros",0.105,0.011,0.092,0.125
"P21","En blanco",0.035,0.024,0.108,0.101
"P21","No sabe",0.029,0.018,0.059,0.094
"P25","Totalmente seguro",0.716,0.65,0.724,0.479
"P25","Bastante seguro",0.193,0.203,0.105,0.203
"P25","Algo seguro",0.072,0.104,0.067,0.113
"P25","Para nada seguro",0.019,0.043,0.104,0.205
"P26","Tiene Decidido que va a ir a votar",0.931,0.901,0.892,0.693
"P26","Tiene dudas sobre si va a ir a  votar",0.057,0.061,0.066,0.178
"P26","Tiene Decidido que no va a ir a votar",0.012,0.038,0.042,0.129
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.792,0.076,0.107,0.105
