"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.478,0.557,0.592,0.554
"P05","Bastante",0.372,0.313,0.325,0.325
"P05","Poco",0.107,0.099,0.053,0.06
"P05","Nada",0.035,0.031,0.016,0.038
"P05","No sabe",0.008,0,0.014,0.023
"P06","Siempre",0.268,0.284,0.25,0.217
"P06","Casi siempre",0.472,0.398,0.429,0.48
"P06","Casi nunca",0.211,0.2,0.271,0.272
"P06","Nunca, pero esta es una excepción",0.049,0.118,0.05,0.031
"P08","Unión por la Patria",0.166,0.207,0.678,0.558
"P08","Juntos por el Cambio ",0.726,0.182,0.191,0.187
"P08","Liberales",0.045,0.544,0.008,0.03
"P08","Izquierda",0.021,0.02,0.072,0.032
"P08","Otro",0.012,0.033,0.014,0.049
"P08","No sabe",0.03,0.014,0.037,0.144
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.039,0.037,0.552,0.502
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.02,0.04,0.278,0.181
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.632,0.165,0.01,0.015
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.209,0.119,0.046,0.145
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.038,0.599,0.004,0.021
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.037,0,0.065,0.023
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.004,0.007,0
"P09","Otros",0.013,0.026,0.017,0.016
"P09","En blanco",0,0.01,0.012,0.008
"P09","No sabe",0.005,0,0.009,0.089
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.041,0.162,0.694,0.436
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.52,0.209,0.007,0.042
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.253,0.187,0.114,0.357
"P12","Ramiro Marra por la Libertad Avanza",0.095,0.361,0.038,0.016
"P12","Vanina Biasi por el Frente de Izquierda",0.047,0.035,0.084,0.017
"P12","Otros",0.029,0.046,0.049,0.035
"P12","En blanco",0.01,0,0.011,0
"P12","No sabe",0.005,0,0.003,0.097
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.112,0.102,0.369,0.375
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.032,0.06,0.271,0.199
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.417,0.459,0.033,0.021
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.251,0.117,0.093,0.081
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.123,0.245,0.051,0.098
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.003,0.091,0.006
