"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.619,0.467,0.541,0.627,0.356,0.409,0.479
"P05","Bastante",0.319,0.383,0.325,0.105,0.4,0.398,0.247
"P05","Poco",0.061,0.103,0.041,0.115,0.134,0.16,0.195
"P05","Nada",0.001,0.044,0.093,0,0,0.033,0.06
"P05","No sabe",0,0.003,0,0.153,0.11,0,0.019
"P06","Siempre",0.308,0.23,0.305,0.181,0.349,0.168,0.195
"P06","Casi siempre",0.407,0.483,0.289,0.509,0.42,0.424,0.513
"P06","Casi nunca",0.222,0.229,0.296,0.31,0.231,0.339,0.256
"P06","Nunca, pero esta es una excepción",0.063,0.058,0.11,0,0,0.069,0.036
"P08","Unión por la Patria",0.761,0.177,0.098,0.181,0.102,0.069,0.1
"P08","Juntos por el Cambio ",0.148,0.682,0.225,0.128,0.493,0.408,0.529
"P08","Liberales",0.01,0.076,0.596,0,0.198,0.042,0.031
"P08","Izquierda",0.028,0.013,0.029,0.551,0,0,0.098
"P08","Otro",0.023,0.007,0.024,0,0.066,0.238,0
"P08","No sabe",0.03,0.045,0.028,0.14,0.141,0.243,0.242
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.634,0.066,0.009,0.103,0.096,0.047,0.098
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.263,0.014,0.005,0.17,0.145,0.129,0.067
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.016,0.494,0.29,0.127,0.316,0.494,0.448
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.015,0.312,0.038,0,0.191,0.145,0.146
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.035,0.052,0.599,0,0.218,0,0
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.025,0.044,0.574,0,0,0.098
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.004,0.015,0,0,0,0
"P09","Otros",0.012,0.01,0,0,0.034,0.016,0
"P09","En blanco",0.003,0,0,0.026,0,0.136,0
"P09","No sabe",0.007,0.023,0,0,0,0.033,0.143
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.781,0.057,0.009,0.115,0.094,0.022,0.036
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.033,0.441,0.295,0,0.21,0.362,0.423
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.051,0.421,0.014,0.073,0.243,0.186,0.086
"P12","Ramiro Marra por la Libertad Avanza",0.051,0.035,0.591,0,0.041,0.066,0
"P12","Vanina Biasi por el Frente de Izquierda",0.04,0.031,0.07,0.709,0.11,0.129,0
"P12","Otros",0.025,0.012,0.021,0.103,0.284,0.118,0.228
"P12","En blanco",0.008,0.001,0,0,0,0.063,0.072
"P12","No sabe",0.011,0.002,0,0,0.018,0.054,0.155
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.428,0.111,0.067,0.162,0.307,0.022,0.162
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.277,0.033,0.042,0.322,0,0.151,0.129
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.057,0.394,0.374,0,0.124,0.334,0.274
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.062,0.311,0.107,0.127,0.066,0.084,0.073
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.059,0.075,0.342,0.036,0.455,0.171,0.141
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.048,0.026,0.004,0.241,0.034,0,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.019,0,0,0,0,0
"P18","Otros",0.038,0.009,0,0.086,0,0.081,0
"P18","En blanco",0.017,0.003,0.059,0,0,0.117,0.036
"P18","No sabe",0.004,0.019,0.005,0.026,0.014,0.04,0.185
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.477,0.072,0.031,0.233,0.135,0.022,0.098
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.065,0.424,0.281,0.047,0.172,0.193,0.41
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.089,0.329,0.09,0.048,0.228,0.169,0.062
"P21","Ramiro Marra por la Libertad Avanza",0.047,0.079,0.505,0,0.026,0,0.049
"P21","Vanina Biasi por el Frente de Izquierda",0.145,0.027,0.01,0.543,0.15,0.017,0.031
"P21","Otros",0.1,0.027,0.022,0.103,0.114,0.238,0.129
"P21","En blanco",0.037,0.022,0.043,0,0.077,0.361,0.036
"P21","No sabe",0.04,0.02,0.018,0.026,0.098,0,0.185
"P25","Totalmente seguro",0.723,0.62,0.715,0.63,0.578,0.598,0.508
"P25","Bastante seguro",0.205,0.211,0.139,0.045,0.152,0.146,0.313
"P25","Algo seguro",0.043,0.112,0.082,0.198,0.174,0.047,0
"P25","Para nada seguro",0.029,0.057,0.064,0.127,0.096,0.209,0.179
"P26","Tiene Decidido que va a ir a votar",0.965,0.926,0.932,0.865,0.786,0.838,0.732
"P26","Tiene dudas sobre si va a ir a  votar",0.031,0.058,0.033,0.135,0.121,0.088,0.196
"P26","Tiene Decidido que no va a ir a votar",0.004,0.016,0.035,0,0.093,0.074,0.072
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.837,0.133,0.013,0.217,0.184,0,0.129
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.018,0.661,0.223,0.127,0.318,0.454,0.479
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.04,0.071,0.725,0,0.187,0.114,0.013
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.057,0.035,0.014,0.547,0,0,0.098
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.031,0.015,0,0.11,0.022,0
"P27","Otros",0.027,0.032,0.01,0.047,0.145,0.274,0.055
"P27","En blanco",0.003,0.005,0,0.062,0,0.096,0.095
"P27","No sabe",0.018,0.032,0,0,0.056,0.04,0.131
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.863,0.073,0.013,0.264,0.177,0,0.129
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.027,0.722,0.092,0.128,0.206,0.1,0.236
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.103,0.841,0,0.246,0.171,0.025
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.048,0.013,0.014,0.532,0.033,0,0.098
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.025,0.015,0,0.11,0.065,0.019
"P28","Otros",0.013,0.023,0.01,0,0.196,0.298,0.042
"P28","En blanco",0.003,0.016,0.005,0.026,0.032,0.366,0.127
"P28","No sabe",0.015,0.025,0.01,0.05,0,0,0.324
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.95,0.07,0,0.095,0.097,0,0.098
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.015,0.734,0.255,0,0.305,0.343,0.436
"P29","Ramiro Marra por la Libertad Avanza",0.02,0.053,0.712,0,0,0.025,0
"P29","Vanina Biasi por el Frente de Izquierda",0.004,0.027,0.01,0.869,0,0,0
"P29","Otros",0.011,0.049,0.018,0.036,0.526,0.047,0
"P29","En blanco",0,0.031,0,0,0.054,0.49,0
"P29","No sabe",0,0.036,0.005,0,0.018,0.095,0.466
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.896,0.203,0.118,0.518,0.073,0,0.047
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.047,0.729,0.585,0,0.485,0.718,0.691
"P33","En blanco",0.037,0.038,0.263,0.367,0.223,0.221,0.064
"P33","No sabe",0.02,0.03,0.034,0.115,0.219,0.061,0.198
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.732,0.387,0.22,0.536,0.593,0.691
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.139,0.565,0,0.132,0.145,0.056
"P34","En blanco",0.73,0.089,0.029,0.695,0.095,0.205,0.042
"P34","No sabe",0.14,0.04,0.019,0.085,0.237,0.057,0.211
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.936,0.131,0.094,0.489,0.065,0.066,0.053
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.021,0.766,0.275,0.14,0.563,0.218,0.403
"P35","En blanco",0.037,0.049,0.564,0.321,0.077,0.598,0.133
"P35","No sabe",0.006,0.054,0.067,0.05,0.295,0.118,0.411
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.182,0.713,0.161,0.174,0.196,0.246,0.396
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.035,0.192,0.725,0,0.369,0.059,0.046
"P36","En blanco",0.676,0.042,0.105,0.765,0.17,0.453,0.108
"P36","No sabe",0.107,0.053,0.009,0.061,0.265,0.242,0.45
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.903,0.285,0.053,0.558,0.116,0.031,0.188
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.027,0.322,0.855,0,0.313,0.252,0.15
"P37","En blanco",0.062,0.184,0.065,0.357,0.195,0.548,0.177
"P37","No sabe",0.008,0.209,0.027,0.085,0.376,0.169,0.485
"P38","Lo votaría",0.824,0.119,0.094,0.221,0.111,0,0.175
"P38","Puede que lo vote",0.132,0.242,0.087,0.475,0.045,0.068,0.093
"P38","Nunca lo votaría",0.032,0.595,0.772,0.246,0.522,0.814,0.596
"P38","No sabe",0.012,0.044,0.047,0.058,0.322,0.118,0.136
"P39","Lo votaría",0.574,0.019,0.052,0.192,0.231,0.037,0.176
"P39","Puede que lo vote",0.285,0.104,0.108,0.442,0.179,0.038,0
"P39","Nunca lo votaría",0.115,0.834,0.814,0.366,0.531,0.845,0.733
"P39","No sabe",0.026,0.043,0.026,0,0.059,0.08,0.091
"P40","Lo votaría",0.13,0.579,0.392,0,0.532,0.705,0.722
"P40","Puede que lo vote",0.056,0.146,0.325,0.17,0.146,0.046,0.024
"P40","Nunca lo votaría",0.802,0.238,0.257,0.83,0.261,0.169,0.187
"P40","No sabe",0.012,0.037,0.026,0,0.061,0.08,0.067
"P41","Lo votaría",0.038,0.606,0.181,0,0.164,0.036,0.368
"P41","Puede que lo vote",0.138,0.279,0.303,0.176,0.45,0.447,0.276
"P41","Nunca lo votaría",0.803,0.098,0.471,0.747,0.327,0.328,0.166
"P41","No sabe",0.021,0.017,0.045,0.077,0.059,0.189,0.19
"P42","Lo votaría",0.04,0.171,0.765,0,0,0.132,0.182
"P42","Puede que lo vote",0.034,0.287,0.151,0,0.403,0.083,0.252
"P42","Nunca lo votaría",0.917,0.494,0.051,1,0.444,0.449,0.542
"P42","No sabe",0.009,0.048,0.033,0,0.153,0.336,0.024
"P43","Lo votaría",0.105,0.029,0.256,0.43,0.055,0.038,0
"P43","Puede que lo vote",0.448,0.099,0.052,0.248,0.127,0.038,0.049
"P43","Nunca lo votaría",0.388,0.852,0.692,0.322,0.759,0.773,0.797
"P43","No sabe",0.059,0.02,0,0,0.059,0.151,0.154
"P44","Lo votaría",0.049,0.031,0.079,0,0.096,0.072,0
"P44","Puede que lo vote",0.197,0.191,0.046,0.096,0.054,0,0.201
"P44","Nunca lo votaría",0.668,0.71,0.824,0.586,0.791,0.842,0.617
"P44","No sabe",0.086,0.068,0.051,0.318,0.059,0.086,0.182
"P52","Si",0.527,0.483,0.495,0.289,0.644,0.467,0.342
"P52","No",0.473,0.517,0.505,0.711,0.356,0.533,0.658
