"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.457,0.536,0.647,0.444
"P05","Bastante",0.385,0.324,0.25,0.393
"P05","Poco",0.102,0.08,0.078,0.11
"P05","Nada",0.047,0.06,0.008,0.037
"P05","No sabe",0.009,0,0.017,0.016
"P06","Siempre",0.305,0.261,0.231,0.208
"P06","Casi siempre",0.438,0.422,0.427,0.482
"P06","Casi nunca",0.202,0.25,0.294,0.243
"P06","Nunca, pero esta es una excepción",0.055,0.067,0.048,0.067
"P08","Unión por la Patria",0.218,0.149,0.683,0.449
"P08","Juntos por el Cambio ",0.685,0.325,0.149,0.283
"P08","Liberales",0.015,0.475,0.041,0.024
"P08","Izquierda",0.03,0.007,0.079,0.031
"P08","Otro",0.021,0.022,0.013,0.053
"P08","No sabe",0.031,0.022,0.035,0.16
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.116,0.045,0.494,0.324
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.025,0.008,0.289,0.195
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.438,0.405,0.061,0.26
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.312,0.064,0.012,0.055
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.047,0.446,0.036,0.012
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.048,0,0.074,0.024
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.011,0.007,0
"P09","Otros",0.005,0.019,0.012,0.021
"P09","En blanco",0,0,0.015,0
"P09","No sabe",0.007,0.002,0,0.109
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.126,0.108,0.659,0.308
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.436,0.295,0.041,0.176
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.298,0.192,0.074,0.314
"P12","Ramiro Marra por la Libertad Avanza",0.065,0.351,0.07,0.012
"P12","Vanina Biasi por el Frente de Izquierda",0.054,0.026,0.097,0.017
"P12","Otros",0.016,0.028,0.039,0.039
"P12","En blanco",0,0,0.011,0.047
"P12","No sabe",0.005,0,0.009,0.087
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.148,0.072,0.366,0.235
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.034,0.058,0.256,0.215
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.384,0.39,0.069,0.136
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.318,0.155,0.044,0.041
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.061,0.305,0.086,0.095
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.002,0.078,0.006
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0,0.021,0.008
"P18","Otros",0.009,0.004,0.045,0.131
"P18","En blanco",0.012,0.01,0.024,0.036
"P18","No sabe",0.018,0.004,0.011,0.097
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.107,0.065,0.39,0.25
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.4,0.36,0.067,0.132
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.294,0.131,0.119,0.214
"P21","Ramiro Marra por la Libertad Avanza",0.098,0.318,0.052,0.079
"P21","Vanina Biasi por el Frente de Izquierda",0.041,0.025,0.167,0.071
"P21","Otros",0.022,0.04,0.099,0.091
"P21","En blanco",0.012,0.026,0.072,0.09
"P21","No sabe",0.026,0.035,0.034,0.073
"P25","Totalmente seguro",0.65,0.654,0.767,0.535
"P25","Bastante seguro",0.219,0.138,0.175,0.181
"P25","Algo seguro",0.095,0.128,0.031,0.066
"P25","Para nada seguro",0.036,0.08,0.027,0.218
"P26","Tiene Decidido que va a ir a votar",0.903,0.888,0.934,0.793
"P26","Tiene dudas sobre si va a ir a  votar",0.047,0.095,0.044,0.103
"P26","Tiene Decidido que no va a ir a votar",0.05,0.017,0.022,0.104
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.203,0.048,0.73,0.484
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.607,0.389,0.056,0.242
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.086,0.525,0.046,0.014
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.04,0.019,0.094,0.039
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.011,0.004,0
"P27","Otros",0.027,0.002,0.045,0.11
"P27","En blanco",0.004,0,0.015,0.016
"P27","No sabe",0.013,0.006,0.01,0.095
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.149,0.066,0.733,0.473
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.669,0.171,0.041,0.177
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.08,0.699,0.044,0.006
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.031,0,0.095,0.054
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.03,0.008,0
"P28","Otros",0.022,0.01,0.025,0.087
"P28","En blanco",0.021,0.006,0.048,0.047
"P28","No sabe",0.014,0.018,0.006,0.156
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.154,0.035,0.793,0.468
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.662,0.421,0.054,0.198
"P29","Ramiro Marra por la Libertad Avanza",0.067,0.439,0.04,0.015
"P29","Vanina Biasi por el Frente de Izquierda",0.038,0.01,0.057,0.016
"P29","Otros",0.035,0.064,0.028,0.114
"P29","En blanco",0.028,0.028,0.013,0.017
"P29","No sabe",0.016,0.003,0.015,0.172
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.139,0.052,0.755,0.393
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.737,0.39,0.063,0.261
"P30","Ramiro Marra por la Libertad Avanza",0.056,0.497,0.053,0.014
"P30","Vanina Biasi por el Frente de Izquierda",0.01,0,0.066,0.017
"P30","Otros",0.013,0.048,0.016,0.085
"P30","En blanco",0.013,0.006,0.034,0.059
"P30","No sabe",0.032,0.007,0.013,0.171
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.274,0.065,0.781,0.505
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.665,0.772,0.046,0.235
"P33","En blanco",0.039,0.133,0.163,0.029
"P33","No sabe",0.022,0.03,0.01,0.231
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.738,0.426,0.103,0.188
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.096,0.556,0.023,0.084
"P34","En blanco",0.136,0.004,0.816,0.147
"P34","No sabe",0.03,0.014,0.058,0.581
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.233,0.067,0.751,0.524
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.711,0.509,0.022,0.072
"P35","En blanco",0.03,0.362,0.208,0.025
"P35","No sabe",0.026,0.062,0.019,0.379
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.361,0.094,0.749,0.479
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.232,0.841,0.045,0.081
"P37","En blanco",0.216,0.01,0.186,0.037
"P37","No sabe",0.191,0.055,0.02,0.403
"P38","Lo votaría",0.224,0.09,0.688,0.498
"P38","Puede que lo vote",0.191,0.156,0.137,0.145
"P38","Nunca lo votaría",0.542,0.727,0.14,0.221
"P38","No sabe",0.043,0.027,0.035,0.136
"P39","Lo votaría",0.132,0.018,0.525,0.257
"P39","Puede que lo vote",0.079,0.138,0.225,0.301
"P39","Nunca lo votaría",0.758,0.839,0.217,0.3
"P39","No sabe",0.031,0.005,0.033,0.142
"P40","Lo votaría",0.581,0.451,0.155,0.268
