"var","categoria","Totalmente de acuerdo","Bastante de acuerdo","Poco de acuerdo","Nada de acuerdo","No sabe"
"P09","Toloza Paz",0.788,0.594,0.102,0.052,0.122
"P09","Diego Santilli",0.053,0.107,0.337,0.465,0.337
"P09","Facundo Manes",0.025,0.026,0.175,0.155,0.091
"P09","Florencio Randazzo",0.021,0.037,0.081,0.022,0.041
"P09","A los candidatos de la izquierda",0.02,0.026,0.032,0.029,0.019
"P09","Jose Luis Espert",0.013,0.035,0.096,0.156,0.235
"P09","Otros candidatos",0.049,0.085,0.084,0.052,0.06
"P09","Votaría en blanco o anularía",0.031,0.09,0.093,0.069,0.095
