"","Si","Puede ser","No"
"Toloza Paz",0.39,0.171,0.061
"Diego Santilli",0.253,0.295,0.145
"Facundo Manes",0.085,0.104,0.18
"Florencio Randazzo",0.052,0.027,0.032
"A los candidatos de la izquierda",0.025,0.062,0.028
"Jose Luis Espert",0.08,0.047,0.028
"Otros candidatos",0.064,0.129,0.037
"Votaría en blanco o anularía",0.051,0.165,0.489
