"var","categoria","Mejor","Igual","Peor","No sabe"
"P09","Toloza Paz",0.859,0.427,0.09,0.437
"P09","Diego Santilli",0.022,0.151,0.405,0.133
"P09","Facundo Manes",0.024,0.08,0.146,0.048
"P09","Florencio Randazzo",0.017,0.057,0.053,0.069
"P09","A los candidatos de la izquierda",0.019,0.058,0.027,0.014
"P09","Jose Luis Espert",0.012,0.045,0.128,0.035
"P09","Otros candidatos",0.033,0.062,0.062,0.172
"P09","Votaría en blanco o anularía",0.014,0.12,0.089,0.092
