"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.929,0.82,0.717,0.882,0.683,0.894,0.747,0.408
"Puede ser",0.056,0.131,0.122,0.062,0.237,0.073,0.207,0.182
"No",0.015,0.049,0.161,0.056,0.08,0.033,0.046,0.41
