"var","categoria","Si, hay mucha información en los medios y comprendo las medidas preventivas","Si, hay mucha información, aunque muchas veces es contradictoria","Mas o menos. Es difícil creerle a los que informan","No, la información es escasa y difícil de entender","No, la información no es confiable y es imposible de entender","No sabe"
"P09","Toloza Paz",0.457,0.269,0.238,0.366,0.21,0.127
"P09","Diego Santilli",0.218,0.315,0.309,0.214,0.43,0.025
"P09","Facundo Manes",0.078,0.112,0.148,0.239,0.1,0.184
"P09","Florencio Randazzo",0.036,0.04,0.026,0,0.032,0.104
"P09","A los candidatos de la izquierda",0.019,0.04,0.022,0.072,0.018,0.058
"P09","Jose Luis Espert",0.087,0.087,0.123,0.046,0.066,0.147
"P09","Otros candidatos",0.055,0.065,0.039,0.05,0.013,0.26
"P09","Votaría en blanco o anularía",0.05,0.072,0.095,0.013,0.131,0.095
