"var","categoria","La Pfizer, fabricada en Estados Unidos","La Sputnik, fabricada en Rusia","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México","La vacuna de Oxford, fabricada por AstraZeneca en India","La vacuna China fabricada en China","Me resultan todas confiables","No sabe"
"P09","Toloza Paz",0.103,0.611,0.45,0.216,0.238,0.468,0.083
"P09","Diego Santilli",0.501,0.087,0.163,0.196,0.061,0.188,0.338
"P09","Facundo Manes",0.151,0.033,0.058,0.033,0.162,0.103,0.174
"P09","Florencio Randazzo",0.025,0.057,0.023,0.107,0.149,0.011,0.018
"P09","A los candidatos de la izquierda",0.015,0.028,0.038,0.091,0.047,0.034,0.046
"P09","Jose Luis Espert",0.131,0.053,0.159,0.199,0.02,0.062,0.144
"P09","Otros candidatos",0.043,0.063,0.079,0.025,0.254,0.072,0.057
"P09","Votaría en blanco o anularía",0.031,0.068,0.03,0.133,0.069,0.062,0.14
