"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.812,0.729,0.778,0.547,0.559,0.345,0.314
"P26","Bastante seguro",0.067,0.126,0.093,0.156,0.164,0.074,0.087
"P26","Algo seguro",0.059,0.058,0.081,0.062,0.161,0.268,0.038
"P26","Para nada seguro",0.062,0.087,0.048,0.235,0.116,0.313,0.561
"P27","Tiene Decidido que va a ir a votar",0.93,0.934,0.906,0.923,0.834,0.757,0.667
"P27","Tiene dudas sobre si va a ir a  votar",0.055,0.053,0.074,0.029,0.047,0.205,0.184
"P27","Tiene Decidido que no va a ir a votar",0.015,0.013,0.02,0.048,0.119,0.038,0.149
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.859,0.171,0.137,0.232,0.151,0.204,0.402
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.069,0.744,0.346,0.204,0.449,0.221,0.013
"P28","En blanco",0.036,0.037,0.322,0.239,0.144,0.108,0.39
"P28","No sabe",0.036,0.048,0.195,0.325,0.256,0.467,0.195
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.197,0.734,0.16,0.242,0.376,0.26,0.289
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.08,0.123,0.734,0.212,0.348,0.096,0.013
"P29","En blanco",0.486,0.052,0.04,0.329,0.161,0.283,0.471
"P29","No sabe",0.237,0.091,0.066,0.217,0.115,0.361,0.227
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.859,0.237,0.13,0.44,0.428,0.289,0.318
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.27,0.799,0.194,0.264,0.193,0.089
"P30","En blanco",0.046,0.253,0.05,0.323,0.178,0.142,0.401
"P30","No sabe",0.042,0.24,0.021,0.043,0.13,0.376,0.192
"P38","Inflación",0.398,0.311,0.275,0.289,0.391,0.054,0.242
"P38","Desempleo",0.086,0.047,0.058,0.032,0.01,0.224,0.106
"P38","Corrupción",0.117,0.446,0.48,0.305,0.445,0.357,0.396
"P38","Inseguridad",0.139,0.12,0.095,0.148,0.078,0.184,0.098
"P38","Precio del dólar",0.053,0.016,0.017,0.043,0,0.17,0.101
"P38","Pobreza",0.078,0.027,0.016,0.105,0.076,0,0.057
"P38","Narcotráfico",0.031,0.001,0.003,0.026,0,0,0
"P38","Tarifas",0.009,0.004,0.002,0,0,0,0
"P38","Otro",0.067,0.026,0.044,0.052,0,0,0
"P38","No sabe",0.022,0.002,0.01,0,0,0.011,0
