"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.385,0.366,0.402,0.345,0.393,0.435,0.354,0.355,0.388,0.418,0.65,0.14,0.227,0.421,0.314,0.725,0.511,0.036,0.115,0.128
"Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.268,0.26,0.276,0.229,0.238,0.29,0.367,0.292,0.235,0.295,0.124,0.513,0.393,0.251,0.304,0.13,0.211,0.759,0.469,0.126
"Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.197,0.252,0.148,0.258,0.226,0.129,0.139,0.167,0.24,0.165,0.13,0.242,0.221,0.175,0.241,0.075,0.161,0.12,0.174,0.614
"Gobernador y vicegobernador de la izquierda",0.033,0.038,0.029,0.036,0.031,0.033,0.032,0.045,0.026,0.029,0.022,0.019,0.058,0.035,0.03,0.017,0.036,0.01,0.051,0.018
"En blanco",0.073,0.056,0.087,0.101,0.063,0.06,0.071,0.077,0.076,0.061,0.055,0.058,0.061,0.075,0.067,0.039,0.073,0.052,0.107,0.084
"No sabe",0.044,0.028,0.058,0.031,0.049,0.053,0.037,0.064,0.035,0.032,0.019,0.028,0.04,0.043,0.044,0.014,0.008,0.023,0.084,0.03
