"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P26","Totalmente seguro",0.789,0.741,0.738,0.506,0.469,0.553
"P26","Bastante seguro",0.079,0.113,0.101,0.112,0.169,0.121
"P26","Algo seguro",0.048,0.073,0.07,0.181,0.233,0.052
"P26","Para nada seguro",0.084,0.073,0.091,0.201,0.129,0.274
"P27","Tiene Decidido que va a ir a votar",0.928,0.94,0.919,0.935,0.708,0.63
"P27","Tiene dudas sobre si va a ir a  votar",0.06,0.045,0.06,0.012,0.278,0.21
"P27","Tiene Decidido que no va a ir a votar",0.012,0.015,0.021,0.053,0.014,0.16
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.883,0.109,0.093,0.208,0.295,0.04
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.048,0.782,0.359,0.274,0.332,0.077
"P28","En blanco",0.026,0.034,0.359,0.186,0.063,0.633
"P28","No sabe",0.043,0.075,0.189,0.332,0.31,0.25
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.223,0.766,0.103,0.224,0.279,0.066
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.146,0.778,0.148,0.326,0.255
"P29","En blanco",0.471,0.026,0.06,0.407,0.175,0.515
"P29","No sabe",0.257,0.062,0.059,0.221,0.22,0.164
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.883,0.186,0.074,0.367,0.357,0.028
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.034,0.274,0.871,0.249,0.288,0.21
"P30","En blanco",0.052,0.271,0.019,0.34,0.135,0.588
"P30","No sabe",0.031,0.269,0.036,0.044,0.22,0.174
"P38","Inflación",0.391,0.292,0.311,0.139,0.169,0.245
"P38","Desempleo",0.093,0.026,0.071,0.026,0.208,0
"P38","Corrupción",0.129,0.49,0.46,0.368,0.295,0.401
"P38","Inseguridad",0.156,0.099,0.102,0.133,0.079,0.014
"P38","Precio del dólar",0.053,0.013,0.008,0.051,0.133,0.26
"P38","Pobreza",0.067,0.027,0.01,0.111,0.081,0.08
"P38","Narcotráfico",0.024,0.011,0,0.014,0.035,0
"P38","Tarifas",0.008,0.005,0.001,0,0,0
"P38","Otro",0.06,0.025,0.035,0.158,0,0
"P38","No sabe",0.019,0.012,0.002,0,0,0
