"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.771,0.078,0.124,0.075
"P10","Juntos por el Cambio",0.101,0.618,0.085,0.059
"P10","De los liberales libertarios",0.067,0.227,0.609,0.398
"P10","De la Izquierda",0.016,0.02,0.065,0.1
"P10","Hacemos por nuestro país",0.006,0.025,0.023,0.028
"P10","Otro",0.012,0.019,0.026,0.121
"P10","En blanco",0.015,0.001,0.059,0.031
"P10","No sabe",0.012,0.012,0.009,0.188
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.848,0.057,0.103,0.084
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.066,0.648,0.08,0.127
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.042,0.222,0.655,0.365
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.012,0.022,0.044,0.087
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.016,0.025,0.014,0.077
"P20","En blanco",0.001,0.004,0.09,0.011
"P20","No sabe",0.015,0.022,0.014,0.249
"P26","Totalmente seguro",0.828,0.727,0.766,0.481
"P26","Bastante seguro",0.077,0.12,0.078,0.062
"P26","Algo seguro",0.049,0.088,0.022,0.144
"P26","Para nada seguro",0.046,0.065,0.134,0.313
"P27","Tiene Decidido que va a ir a votar",0.953,0.922,0.888,0.768
"P27","Tiene dudas sobre si va a ir a  votar",0.034,0.062,0.084,0.18
"P27","Tiene Decidido que no va a ir a votar",0.013,0.016,0.028,0.052
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.242,0.651,0.071,0.114
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.322,0.65,0.406
"P29","En blanco",0.471,0.006,0.255,0.05
"P29","No sabe",0.239,0.021,0.024,0.43
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.927,0.117,0.074,0.146
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.027,0.451,0.72,0.489
"P30","En blanco",0.034,0.226,0.18,0.09
"P30","No sabe",0.012,0.206,0.026,0.275
"P38","Inflación",0.388,0.294,0.351,0.184
"P38","Desempleo",0.093,0.04,0.078,0.05
"P38","Corrupción",0.127,0.475,0.41,0.46
"P38","Inseguridad",0.15,0.096,0.083,0.159
"P38","Precio del dólar",0.047,0.021,0.042,0.035
"P38","Pobreza",0.084,0.022,0.01,0.033
"P38","Narcotráfico",0.022,0.004,0.01,0.021
"P38","Tarifas",0.008,0.004,0,0
"P38","Otro",0.063,0.034,0.016,0.051
"P38","No sabe",0.018,0.01,0,0.007
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.758,0.073,0.161,0.108
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.108,0.612,0.071,0.117
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.063,0.214,0.593,0.318
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.018,0.028,0.05,0.087
"GOBERNADOR","En blanco",0.038,0.051,0.11,0.122
"GOBERNADOR","No sabe",0.015,0.022,0.015,0.248
"CORTA_GOBERNADOR","Si",0.114,0.199,0.13,0.174
"CORTA_GOBERNADOR","No",0.886,0.801,0.87,0.826
"P10_imputada","Unión por la Patria",0.776,0.084,0.125,0.144
"P10_imputada","Juntos por el Cambio",0.105,0.621,0.088,0.13
"P10_imputada","De los liberales libertarios",0.068,0.231,0.613,0.418
"P10_imputada","De la Izquierda",0.016,0.019,0.065,0.1
"P10_imputada","Hacemos por nuestro país",0.006,0.025,0.023,0.046
"P10_imputada","Otro",0.013,0.019,0.027,0.129
"P10_imputada","En blanco",0.016,0.001,0.059,0.033
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.86,0.063,0.103,0.191
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.067,0.661,0.085,0.21
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.043,0.225,0.664,0.393
