"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.332,0.331,0.333,0.299,0.364,0.326,0.312,0.306,0.332,0.362,0.403,0.293,0.208,0.335,0.326,0.392,0.369,0.255,0.34,0.343
"Desempleo",0.069,0.048,0.087,0.061,0.084,0.068,0.046,0.075,0.078,0.045,0.091,0.03,0.032,0.061,0.084,0.09,0.134,0.016,0.039,0.048
"Corrupción",0.314,0.345,0.286,0.347,0.28,0.295,0.369,0.284,0.353,0.289,0.142,0.48,0.472,0.293,0.355,0.151,0.19,0.513,0.369,0.465
"Inseguridad",0.123,0.144,0.105,0.112,0.121,0.137,0.127,0.183,0.101,0.088,0.154,0.091,0.196,0.128,0.115,0.137,0.12,0.131,0.076,0.082
"Precio del dólar",0.036,0.029,0.043,0.045,0.023,0.047,0.039,0.036,0.039,0.031,0.046,0.023,0,0.044,0.02,0.054,0.028,0.017,0.074,0.009
"Pobreza",0.049,0.034,0.062,0.051,0.064,0.033,0.033,0.037,0.029,0.095,0.064,0.032,0.028,0.047,0.051,0.067,0.078,0.027,0.035,0.009
"Narcotráfico",0.014,0.008,0.019,0.004,0.002,0.023,0.042,0.031,0.005,0.009,0.019,0.007,0.042,0.018,0.008,0.019,0.029,0.007,0.015,0.002
"Tarifas",0.005,0.007,0.004,0,0.003,0.013,0.006,0.006,0.004,0.005,0.008,0.004,0,0.006,0.003,0.009,0.004,0.006,0,0.001
"Otro",0.046,0.037,0.054,0.069,0.047,0.042,0.02,0.019,0.053,0.067,0.057,0.029,0.022,0.052,0.034,0.065,0.047,0.026,0.052,0.025
"No sabe",0.012,0.017,0.007,0.012,0.012,0.016,0.006,0.023,0.006,0.009,0.016,0.011,0,0.016,0.004,0.016,0.001,0.002,0,0.016
