"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.774,0.151,0.141,0.119,0.192,0.098
"P10","Juntos por el Cambio",0.107,0.693,0.115,0.076,0.16,0.099
"P10","De los liberales libertarios",0.074,0.106,0.683,0.124,0.19,0.038
"P10","De la Izquierda",0.008,0.019,0.01,0.537,0.01,0.028
"P10","Hacemos por nuestro país",0.003,0.007,0.013,0.024,0.148,0.01
"P10","Otro",0.012,0.006,0.008,0.116,0.131,0.156
"P10","En blanco",0.009,0.005,0.004,0.004,0.115,0.16
"P10","No sabe",0.013,0.013,0.026,0,0.054,0.411
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.916,0.101,0.105,0.051,0.177,0
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.032,0.806,0.1,0.071,0.091,0
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.052,0.093,0.795,0.04,0.062,0
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0,0,0,0.838,0,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0,0,0,0.399,0
"P20","En blanco",0,0,0,0,0.271,0
"P20","No sabe",0,0,0,0,0,1
"P26","Totalmente seguro",0.838,0.766,0.775,0.578,0.502,0.082
"P26","Bastante seguro",0.075,0.117,0.091,0.112,0.129,0.15
"P26","Algo seguro",0.04,0.064,0.088,0.158,0.135,0.087
"P26","Para nada seguro",0.047,0.053,0.046,0.152,0.234,0.681
"P27","Tiene Decidido que va a ir a votar",0.956,0.939,0.921,0.949,0.735,0.667
"P27","Tiene dudas sobre si va a ir a  votar",0.037,0.051,0.05,0.01,0.207,0.267
"P27","Tiene Decidido que no va a ir a votar",0.007,0.01,0.029,0.041,0.058,0.066
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.868,0.183,0.147,0.256,0.296,0.165
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.06,0.743,0.355,0.29,0.287,0.18
"P28","En blanco",0.045,0.03,0.336,0.177,0.208,0.04
"P28","No sabe",0.027,0.044,0.162,0.277,0.209,0.615
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.184,0.735,0.209,0.243,0.247,0.265
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.175,0.702,0.17,0.277,0.028
"P29","En blanco",0.501,0.047,0.035,0.404,0.283,0.063
"P29","No sabe",0.237,0.043,0.054,0.183,0.193,0.644
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.866,0.239,0.127,0.38,0.356,0.194
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.319,0.741,0.258,0.25,0.149
"P30","En blanco",0.046,0.246,0.068,0.292,0.217,0.067
"P30","No sabe",0.017,0.196,0.064,0.07,0.177,0.59
"P38","Inflación",0.407,0.289,0.297,0.225,0.225,0.265
"P38","Desempleo",0.067,0.043,0.088,0.025,0.139,0.143
"P38","Corrupción",0.138,0.473,0.469,0.319,0.35,0.282
"P38","Inseguridad",0.145,0.109,0.092,0.127,0.101,0.185
"P38","Precio del dólar",0.056,0.013,0.01,0.044,0.108,0.008
"P38","Pobreza",0.07,0.025,0.002,0.109,0.059,0.051
"P38","Narcotráfico",0.024,0.008,0,0.013,0.018,0.046
"P38","Tarifas",0.009,0.005,0.001,0,0,0
"P38","Otro",0.065,0.02,0.038,0.138,0,0.02
"P38","No sabe",0.019,0.015,0.003,0,0,0
"CORTA_GOBERNADOR","Si",0.084,0.194,0.205,0.162,0.33,0
"CORTA_GOBERNADOR","No",0.916,0.806,0.795,0.838,0.67,1
