"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P10","Unión por la Patria",0.738,0.128,0.118,0.117,0.155,0.123,0.094
"P10","Juntos por el Cambio",0.119,0.732,0.091,0.029,0.075,0.215,0.106
"P10","De los liberales libertarios",0.073,0.096,0.679,0.134,0.332,0.053,0.036
"P10","De la Izquierda",0.01,0.014,0.017,0.584,0.017,0.008,0.028
"P10","Hacemos por nuestro país",0.004,0.006,0.031,0,0.328,0,0.009
"P10","Otro",0.016,0.007,0.014,0.136,0.063,0.277,0.151
"P10","En blanco",0.019,0.004,0.003,0,0.004,0.307,0.158
"P10","No sabe",0.021,0.013,0.047,0,0.026,0.017,0.418
"P26","Totalmente seguro",0.82,0.773,0.759,0.525,0.472,0.63,0.081
"P26","Bastante seguro",0.074,0.107,0.105,0.116,0.171,0.123,0.15
"P26","Algo seguro",0.046,0.07,0.072,0.187,0.235,0.059,0.088
"P26","Para nada seguro",0.06,0.05,0.064,0.172,0.122,0.188,0.681
"P27","Tiene Decidido que va a ir a votar",0.946,0.949,0.924,0.938,0.705,0.595,0.667
"P27","Tiene dudas sobre si va a ir a  votar",0.045,0.037,0.058,0.012,0.281,0.223,0.267
"P27","Tiene Decidido que no va a ir a votar",0.009,0.014,0.018,0.05,0.014,0.182,0.066
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.908,0.113,0.093,0.209,0.288,0.049,0.165
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.045,0.806,0.364,0.275,0.336,0.094,0.179
"P28","En blanco",0.027,0.034,0.363,0.187,0.063,0.771,0.04
"P28","No sabe",0.02,0.047,0.18,0.329,0.313,0.086,0.616
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.219,0.79,0.103,0.225,0.283,0.069,0.266
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.051,0.152,0.791,0.149,0.329,0.266,0.027
"P29","En blanco",0.489,0.026,0.053,0.409,0.177,0.537,0.063
"P29","No sabe",0.241,0.032,0.053,0.217,0.211,0.128,0.644
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.903,0.192,0.072,0.364,0.35,0.029,0.193
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.03,0.28,0.885,0.25,0.291,0.214,0.149
"P30","En blanco",0.052,0.28,0.018,0.342,0.136,0.599,0.067
"P30","No sabe",0.015,0.248,0.025,0.044,0.223,0.158,0.591
"P38","Inflación",0.397,0.288,0.315,0.139,0.171,0.251,0.266
"P38","Desempleo",0.089,0.027,0.065,0.027,0.198,0,0.143
"P38","Corrupción",0.122,0.504,0.464,0.365,0.299,0.411,0.281
"P38","Inseguridad",0.154,0.097,0.099,0.133,0.08,0.014,0.185
"P38","Precio del dólar",0.054,0.014,0.008,0.051,0.134,0.243,0.008
"P38","Pobreza",0.069,0.022,0.01,0.112,0.082,0.081,0.051
"P38","Narcotráfico",0.025,0.005,0,0.014,0.036,0,0.046
"P38","Tarifas",0.009,0.005,0.001,0,0,0,0
"P38","Otro",0.062,0.025,0.035,0.159,0,0,0.02
"P38","No sabe",0.019,0.013,0.003,0,0,0,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.849,0.048,0.097,0,0,0,0
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.066,0.841,0.12,0,0,0,0
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.05,0.077,0.755,0,0,0,0
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.004,0.009,0.006,1,0,0,0
"GOBERNADOR","En blanco",0.031,0.025,0.022,0,1,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,0,1
"CORTA_GOBERNADOR","Si",0.205,0.201,0.305,0,0,0,0
"CORTA_GOBERNADOR","No",0.795,0.799,0.695,1,1,1,1
