"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P10","Unión por la Patria",0.428,0.276,0.312,0.182
"P10","Juntos por el Cambio",0.275,0.338,0.227,0.196
"P10","De los liberales libertarios",0.231,0.189,0.245,0.097
"P10","De la Izquierda",0.022,0.05,0.027,0.076
"P10","Hacemos por nuestro país",0.013,0.035,0.046,0.016
"P10","Otro",0.014,0.021,0.112,0.092
"P10","En blanco",0.009,0.021,0.012,0.135
"P10","No sabe",0.008,0.07,0.019,0.206
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.458,0.318,0.275,0.272
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.271,0.288,0.265,0.142
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.213,0.224,0.219,0.146
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.019,0.032,0.073,0.05
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.018,0.051,0.099,0.039
"P20","En blanco",0.016,0.023,0.016,0.038
"P20","No sabe",0.005,0.064,0.053,0.313
"P27","Tiene Decidido que va a ir a votar",0.963,0.833,0.743,0.721
"P27","Tiene dudas sobre si va a ir a  votar",0.026,0.164,0.137,0.22
"P27","Tiene Decidido que no va a ir a votar",0.011,0.003,0.12,0.059
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.495,0.385,0.319,0.229
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.321,0.444,0.426,0.24
"P28","En blanco",0.118,0.1,0.037,0.173
"P28","No sabe",0.066,0.071,0.218,0.358
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.337,0.415,0.405,0.353
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.255,0.258,0.293,0.153
"P29","En blanco",0.28,0.132,0.125,0.139
"P29","No sabe",0.128,0.195,0.177,0.355
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.508,0.386,0.33,0.395
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.294,0.403,0.326,0.183
"P30","En blanco",0.123,0.106,0.118,0.145
"P30","No sabe",0.075,0.105,0.226,0.277
"P38","Inflación",0.343,0.344,0.319,0.209
"P38","Desempleo",0.059,0.069,0.172,0.077
"P38","Corrupción",0.302,0.342,0.341,0.376
"P38","Inseguridad",0.121,0.124,0.119,0.148
"P38","Precio del dólar",0.036,0.007,0.002,0.114
"P38","Pobreza",0.048,0.079,0.017,0.04
"P38","Narcotráfico",0.016,0,0.011,0.021
"P38","Tarifas",0.006,0.003,0,0
"P38","Otro",0.057,0.006,0.008,0.015
"P38","No sabe",0.012,0.026,0.011,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.438,0.297,0.227,0.199
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.277,0.322,0.25,0.153
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.207,0.185,0.255,0.1
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.025,0.037,0.074,0.054
"GOBERNADOR","En blanco",0.048,0.094,0.14,0.181
"GOBERNADOR","No sabe",0.005,0.065,0.054,0.313
"CORTA_GOBERNADOR","Si",0.132,0.242,0.244,0.164
"CORTA_GOBERNADOR","No",0.868,0.758,0.756,0.836
"P10_imputada","Unión por la Patria",0.43,0.277,0.323,0.269
"P10_imputada","Juntos por el Cambio",0.277,0.376,0.23,0.268
"P10_imputada","De los liberales libertarios",0.232,0.218,0.251,0.117
"P10_imputada","De la Izquierda",0.022,0.05,0.026,0.079
"P10_imputada","Hacemos por nuestro país",0.015,0.035,0.046,0.026
"P10_imputada","Otro",0.014,0.023,0.112,0.102
"P10_imputada","En blanco",0.01,0.021,0.012,0.139
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.459,0.35,0.304,0.399
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.273,0.317,0.29,0.22
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.215,0.224,0.219,0.215
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.019,0.032,0.072,0.061
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.018,0.051,0.099,0.041
"P20_imputada","En blanco",0.016,0.026,0.016,0.064
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.441,0.318,0.24,0.273
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.278,0.343,0.265,0.212
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.208,0.194,0.269,0.138
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.025,0.04,0.078,0.088
"GOBERNADOR_imputada","En blanco",0.048,0.105,0.148,0.289
