"var","categoria","Si","No"
"P10","Unión por la Patria",0.277,0.406
"P10","Juntos por el Cambio",0.28,0.262
"P10","De los liberales libertarios",0.281,0.199
"P10","De la Izquierda",0.023,0.03
"P10","Hacemos por nuestro país",0.03,0.017
"P10","Otro",0.023,0.03
"P10","En blanco",0.026,0.021
"P10","No sabe",0.06,0.035
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.423,0.415
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.254,0.256
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.323,0.186
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0,0.033
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0.034
"P20","En blanco",0,0.024
"P20","No sabe",0,0.052
"P26","Totalmente seguro",0.638,0.76
"P26","Bastante seguro",0.154,0.087
"P26","Algo seguro",0.11,0.062
"P26","Para nada seguro",0.098,0.091
"P27","Tiene Decidido que va a ir a votar",0.89,0.922
"P27","Tiene dudas sobre si va a ir a  votar",0.085,0.06
"P27","Tiene Decidido que no va a ir a votar",0.025,0.018
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.349,0.478
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.437,0.309
"P28","En blanco",0.097,0.115
"P28","No sabe",0.117,0.098
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.371,0.346
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.363,0.22
"P29","En blanco",0.16,0.268
"P29","No sabe",0.106,0.166
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.365,0.502
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.415,0.269
"P30","En blanco",0.12,0.124
"P30","No sabe",0.1,0.105
"P38","Inflación",0.299,0.339
"P38","Desempleo",0.102,0.065
"P38","Corrupción",0.397,0.301
"P38","Inseguridad",0.153,0.119
"P38","Precio del dólar",0.003,0.042
"P38","Pobreza",0.032,0.047
"P38","Narcotráfico",0.008,0.016
"P38","Tarifas",0,0.006
"P38","Otro",0,0.052
"P38","No sabe",0.006,0.013
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.21,0.417
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.337,0.256
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.263,0.185
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.035,0.033
"GOBERNADOR","En blanco",0.155,0.057
"GOBERNADOR","No sabe",0,0.052
