"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.396,0.295,0.177
"P10","Juntos por el Cambio",0.278,0.215,0.17
"P10","De los liberales libertarios",0.214,0.234,0.192
"P10","De la Izquierda",0.031,0.014,0.066
"P10","Hacemos por nuestro país",0.015,0.014,0.106
"P10","Otro",0.024,0.096,0.036
"P10","En blanco",0.015,0.052,0.137
"P10","No sabe",0.027,0.08,0.116
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.429,0.297,0.197
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.271,0.153,0.196
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.211,0.19,0.203
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.027,0.005,0.071
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.02,0.118,0.02
"P20","En blanco",0.011,0.06,0.166
"P20","No sabe",0.031,0.177,0.147
"P26","Totalmente seguro",0.783,0.297,0.358
"P26","Bastante seguro",0.086,0.238,0.011
"P26","Algo seguro",0.059,0.153,0.387
"P26","Para nada seguro",0.072,0.312,0.244
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.467,0.237,0.297
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.334,0.319,0.271
"P28","En blanco",0.113,0.153,0.162
"P28","No sabe",0.086,0.291,0.27
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.354,0.308,0.332
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.244,0.308,0.29
"P29","En blanco",0.259,0.067,0.11
"P29","No sabe",0.143,0.317,0.268
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.493,0.244,0.358
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.289,0.375,0.459
"P30","En blanco",0.121,0.141,0.149
"P30","No sabe",0.097,0.24,0.034
"P38","Inflación",0.333,0.284,0.405
"P38","Desempleo",0.069,0.064,0.051
"P38","Corrupción",0.315,0.312,0.261
"P38","Inseguridad",0.117,0.231,0.138
"P38","Precio del dólar",0.035,0.06,0.056
"P38","Pobreza",0.051,0.006,0.031
"P38","Narcotráfico",0.013,0.029,0.021
"P38","Tarifas",0.005,0.005,0
"P38","Otro",0.049,0.009,0.019
"P38","No sabe",0.013,0,0.018
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.406,0.23,0.137
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.276,0.216,0.138
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.199,0.154,0.302
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.034,0.005,0.071
"GOBERNADOR","En blanco",0.054,0.218,0.205
"GOBERNADOR","No sabe",0.031,0.177,0.147
"CORTA_GOBERNADOR","Si",0.149,0.204,0.2
"CORTA_GOBERNADOR","No",0.851,0.796,0.8
"P10_imputada","Unión por la Patria",0.403,0.337,0.269
"P10_imputada","Juntos por el Cambio",0.29,0.231,0.171
"P10_imputada","De los liberales libertarios",0.218,0.25,0.2
"P10_imputada","De la Izquierda",0.031,0.014,0.066
"P10_imputada","Hacemos por nuestro país",0.018,0.014,0.106
"P10_imputada","Otro",0.025,0.096,0.051
"P10_imputada","En blanco",0.015,0.058,0.137
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.438,0.413,0.274
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.282,0.195,0.219
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.217,0.204,0.243
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.028,0.005,0.078
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.021,0.118,0.02
"P20_imputada","En blanco",0.014,0.065,0.166
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.419,0.277,0.16
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.284,0.262,0.161
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.203,0.185,0.351
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.036,0.006,0.09
"GOBERNADOR_imputada","En blanco",0.058,0.27,0.238
