"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.454,0.445,0.463,0.403,0.491,0.48,0.414,0.523,0.417,0.428,0.777,0.148,0.435,0.388,0.471,0.46,0.5,0.872,0.15,0.089,0.286,0.217
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.43,0.454,0.409,0.482,0.403,0.41,0.439,0.375,0.445,0.474,0.166,0.733,0.405,0.473,0.432,0.466,0.388,0.087,0.68,0.845,0.28,0.567
"En blanco",0.056,0.053,0.058,0.066,0.046,0.048,0.074,0.043,0.068,0.054,0.027,0.056,0.078,0.071,0.038,0.03,0.056,0.018,0.089,0.033,0.182,0.105
"No sabe",0.06,0.048,0.07,0.049,0.06,0.062,0.073,0.059,0.07,0.044,0.03,0.063,0.082,0.068,0.059,0.044,0.056,0.023,0.081,0.033,0.252,0.111
