"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Totalmente de acuerdo",0.254,0.333,0.184,0.366,0.204,0.192,0.269,0.362,0.244,0.14,0.198,0.307,0.28,0.223,0.381,0.212,0.22,0.135,0.307,0.43,0.258,0.233
"Algo de acuerdo",0.082,0.103,0.063,0.171,0.041,0.045,0.082,0.081,0.079,0.087,0.036,0.139,0.02,0.16,0.027,0.035,0.05,0.028,0.074,0.201,0,0.035
"ni de acuerdo ni en desacuerdo",0.259,0.195,0.315,0.126,0.338,0.308,0.223,0.197,0.297,0.28,0.165,0.356,0.272,0.223,0.273,0.33,0.273,0.203,0.345,0.273,0.141,0.335
"En desacuerdo",0.222,0.197,0.244,0.187,0.204,0.302,0.217,0.181,0.245,0.238,0.309,0.17,0.243,0.215,0.211,0.3,0.223,0.326,0.208,0.09,0.224,0.14
"Totalmente en desacuerdo",0.183,0.172,0.194,0.15,0.213,0.153,0.209,0.179,0.135,0.255,0.292,0.028,0.185,0.179,0.108,0.123,0.234,0.308,0.066,0.006,0.377,0.257
