"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.51,0.494,0.526,0.466,0.545,0.527,0.475,0.58,0.481,0.47,0.821,0.166,0.534,0.448,0.524,0.496,0.558,0.908,0.178,0.102,0.552,0.306
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.49,0.506,0.474,0.534,0.455,0.473,0.525,0.42,0.519,0.53,0.179,0.834,0.466,0.552,0.476,0.504,0.442,0.092,0.822,0.898,0.448,0.694
