"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.257,0.244,0.269,0.232,0.229,0.326,0.275,0.269,0.225,0.296,0.505,0.05,0.216,0.24,0.083,0.701,0.17,0.245,0.251,0.194,0.316,0.304
"Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.172,0.159,0.185,0.079,0.168,0.187,0.323,0.121,0.198,0.196,0.052,0.369,0.243,0.163,0.334,0.061,0.061,0.183,0.154,0.201,0.224,0.158
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.255,0.325,0.19,0.317,0.322,0.16,0.104,0.265,0.288,0.184,0.155,0.341,0.199,0.24,0.293,0.055,0.645,0.253,0.272,0.251,0.271,0.156
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.025,0.032,0.05,0.021,0.027,0.015,0.028,0.022,0.042,0.015,0.026,0,0.031,0.006,0.014,0.02,0.053,0.015,0,0.023,0.066
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.119,0.107,0.131,0.137,0.111,0.115,0.119,0.136,0.128,0.083,0.116,0.097,0.176,0.196,0.113,0.053,0.039,0.095,0.153,0.024,0.083,0.121
"Otros",0.068,0.062,0.073,0.069,0.073,0.059,0.065,0.067,0.04,0.118,0.078,0.062,0.066,0.049,0.08,0.035,0.027,0.062,0.057,0.151,0.034,0.115
"En blanco",0.022,0.02,0.024,0.027,0.015,0.033,0.017,0.016,0.025,0.025,0.008,0.015,0.045,0.007,0.022,0.02,0,0.024,0.014,0.065,0.01,0.037
"No sabe",0.078,0.058,0.096,0.089,0.061,0.093,0.082,0.098,0.074,0.056,0.071,0.04,0.055,0.074,0.069,0.061,0.038,0.085,0.084,0.114,0.039,0.043
