"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Mucho",0.376,0.431,0.324,0.3,0.375,0.429,0.461,0.342,0.367,0.447,0.454,0.422,0.237,0.387,0.415,0.488,0.467,0.394,0.35,0.378,0.394,0.447
"Bastante",0.262,0.258,0.266,0.247,0.286,0.236,0.265,0.184,0.297,0.319,0.246,0.345,0.393,0.287,0.325,0.245,0.347,0.245,0.266,0.259,0.275,0.273
"Poco",0.197,0.179,0.213,0.227,0.205,0.17,0.147,0.238,0.189,0.146,0.19,0.161,0.158,0.178,0.142,0.128,0.15,0.185,0.213,0.221,0.168,0.154
"Nada",0.124,0.106,0.142,0.188,0.091,0.135,0.068,0.166,0.116,0.073,0.083,0.06,0.147,0.107,0.096,0.112,0.005,0.15,0.124,0.126,0.09,0.095
"No sabe",0.041,0.026,0.055,0.038,0.043,0.03,0.059,0.07,0.031,0.015,0.027,0.012,0.065,0.041,0.022,0.027,0.031,0.026,0.047,0.016,0.073,0.031
