"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Martín Soria a Diputado Nacional por Unión por la Patria",0.298,0.293,0.303,0.305,0.288,0.325,0.268,0.352,0.245,0.313,0.525,0.094,0.236,0.269,0.179,0.759,0.216,0.287,0.307,0.23,0.283,0.348
"Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.165,0.164,0.165,0.121,0.122,0.221,0.277,0.12,0.191,0.181,0.066,0.358,0.218,0.122,0.317,0.035,0.14,0.175,0.154,0.175,0.239,0.1
"Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.061,0.068,0.054,0.042,0.06,0.054,0.109,0.058,0.05,0.084,0.023,0.13,0.071,0.058,0.1,0,0.031,0.077,0.045,0.028,0.074,0.114
"Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.201,0.251,0.155,0.289,0.253,0.083,0.083,0.199,0.231,0.153,0.138,0.222,0.09,0.14,0.241,0.066,0.483,0.205,0.227,0.272,0.13,0.078
"Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.022,0.021,0.022,0.007,0.023,0.04,0.015,0.019,0.015,0.036,0.019,0.011,0,0.019,0.004,0.057,0.027,0.047,0.008,0.007,0.024,0.032
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.149,0.121,0.175,0.138,0.159,0.166,0.115,0.148,0.175,0.106,0.166,0.107,0.257,0.298,0.07,0.042,0.087,0.124,0.153,0.157,0.132,0.211
"En blanco",0.033,0.031,0.036,0.029,0.035,0.039,0.027,0.038,0.03,0.034,0.017,0.026,0.052,0.02,0.04,0.012,0.016,0.017,0.031,0.041,0.063,0.053
"No sabe",0.071,0.051,0.09,0.069,0.06,0.072,0.106,0.066,0.063,0.093,0.046,0.052,0.076,0.074,0.049,0.029,0,0.068,0.075,0.09,0.055,0.064
