"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P06","Tiene Decidido que va a ir a votar",0.82,0.878,0.764,0.636
"P06","Tiene dudas sobre si va a ir a  votar",0.127,0.101,0.186,0.207
"P06","Tiene Decidido que no va a ir a votar",0.053,0.021,0.05,0.157
"P07","Mucho",0.631,0.387,0.273,0.23
"P07","Bastante",0.15,0.412,0.285,0.157
"P07","Poco",0.098,0.133,0.272,0.275
"P07","Nada",0.084,0.032,0.116,0.301
"P07","No sabe",0.037,0.036,0.054,0.037
"P11","Unión por la Patria",0.275,0.242,0.189,0.126
"P11","Juntos por el Cambio",0.257,0.293,0.202,0.144
"P11","Juntos Somos Río Negro",0.142,0.148,0.132,0.142
"P11","Liberales",0.13,0.121,0.156,0.166
"P11","Izquierda",0.057,0.034,0.063,0.057
"P11","Otro",0.065,0.04,0.043,0.046
"P11","No sabe",0.074,0.122,0.215,0.319
"P12","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.243,0.259,0.221,0.102
"P12","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.116,0.061,0.081,0.041
"P12","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.17,0.234,0.188,0.111
"P12","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.088,0.095,0.07,0.061
"P12","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.081,0.063,0.051,0.047
"P12","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.241,0.213,0.226,0.353
"P12","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.023,0.019,0.021,0.035
"P12","En blanco",0.008,0.012,0.023,0.101
"P12","No sabe",0.03,0.044,0.119,0.149
"P16","Totalmente seguro",0.662,0.553,0.521,0.453
"P16","Bastante seguro",0.115,0.176,0.124,0.142
"P16","Algo seguro",0.081,0.152,0.149,0.114
"P16","Para nada seguro",0.142,0.119,0.206,0.291
"P17","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.366,0.232,0.113,0.046
"P17","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.023,0.057,0,0
"P17","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.101,0.284,0.058,0.186
"P17","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.182,0.084,0.08,0
"P17","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.021,0.126,0.146,0
"P17","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0.053,0,0
"P17","En blanco",0.11,0.096,0.585,0.436
"P17","No sabe",0.197,0.068,0.018,0.332
"P20","Sí",0.59,0.534,0.513,0.491
"P20","No",0.41,0.466,0.487,0.509
"P21","Martín Soria a Diputado Nacional por Unión por la Patria",0.271,0.254,0.217,0.244
"P21","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.212,0.205,0.128,0.051
"P21","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.068,0.095,0.05,0.009
"P21","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.164,0.16,0.159,0.088
"P21","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.135,0.144,0.172,0.158
"P21","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.053,0.018,0.036,0.044
"P21","En blanco",0.034,0.025,0.067,0.037
"P21","No sabe",0.063,0.099,0.171,0.369
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.278,0.315,0.236,0.124
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.233,0.231,0.21,0.158
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.134,0.13,0.082,0.091
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.212,0.204,0.257,0.364
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.023,0.042,0.033
"P25","Otros",0.077,0.021,0.033,0.018
"P25","En blanco",0.005,0.016,0.018,0.095
"P25","No sabe",0.031,0.06,0.122,0.117
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.28,0.291,0.244,0.149
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.195,0.205,0.158,0.068
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.161,0.098,0.105,0.117
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.197,0.244,0.269,0.378
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.052,0.01,0.025,0.035
"P29","Otros",0.067,0.073,0.068,0.057
"P29","En blanco",0.009,0.017,0.024,0.062
"P29","No sabe",0.039,0.062,0.107,0.134
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.405,0.349,0.293,0.146
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.347,0.427,0.348,0.247
"P33","En blanco",0.097,0.08,0.136,0.229
"P33","No sabe",0.151,0.144,0.223,0.378
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.311,0.324,0.332,0.147
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.248,0.231,0.288,0.363
"P34","En blanco",0.249,0.254,0.179,0.231
"P34","No sabe",0.192,0.191,0.201,0.259
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.39,0.329,0.331,0.282
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.355,0.395,0.221,0.149
"P35","En blanco",0.15,0.18,0.214,0.264
"P35","No sabe",0.105,0.096,0.234,0.305
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.343,0.348,0.257,0.183
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.253,0.272,0.269,0.377
"P36","En blanco",0.278,0.254,0.296,0.206
"P36","No sabe",0.126,0.126,0.178,0.234
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.385,0.385,0.31,0.293
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.297,0.371,0.352,0.396
"P37","En blanco",0.137,0.132,0.198,0.113
"P37","No sabe",0.181,0.112,0.14,0.198
"P38","Lo votaría",0.377,0.34,0.309,0.284
"P38","Puede que lo vote",0.133,0.114,0.115,0.156
"P38","Nunca lo votaría",0.406,0.478,0.503,0.512
"P38","No sabe",0.084,0.068,0.073,0.048
"P39","Lo votaría",0.289,0.193,0.176,0.253
"P39","Puede que lo vote",0.108,0.145,0.158,0.119
"P39","Nunca lo votaría",0.519,0.579,0.552,0.52
"P39","No sabe",0.084,0.083,0.114,0.108
"P40","Lo votaría",0.29,0.388,0.277,0.175
"P40","Puede que lo vote",0.12,0.086,0.185,0.145
"P40","Nunca lo votaría",0.475,0.448,0.464,0.616
"P40","No sabe",0.115,0.078,0.074,0.064
"P41","Lo votaría",0.272,0.232,0.164,0.104
"P41","Puede que lo vote",0.166,0.193,0.19,0.063
"P41","Nunca lo votaría",0.476,0.461,0.538,0.681
"P41","No sabe",0.086,0.114,0.108,0.152
"P42","Lo votaría",0.127,0.117,0.143,0.143
"P42","Puede que lo vote",0.151,0.184,0.13,0.073
"P42","Nunca lo votaría",0.555,0.482,0.492,0.437
"P42","No sabe",0.167,0.217,0.235,0.347
"P43","Lo votaría",0.254,0.246,0.27,0.355
"P43","Puede que lo vote",0.148,0.132,0.157,0.081
"P43","Nunca lo votaría",0.526,0.556,0.486,0.484
"P43","No sabe",0.072,0.066,0.087,0.08
"P44","Lo votaría",0.106,0.048,0.105,0.115
"P44","Puede que lo vote",0.148,0.223,0.134,0.132
"P44","Nunca lo votaría",0.639,0.613,0.633,0.667
"P44","No sabe",0.107,0.116,0.128,0.086
"P45","Si",0.5,0.5,0.338,0.252
"P45","No",0.5,0.5,0.662,0.748
