"var","categoria","Unión por la Patria","Juntos por el Cambio","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.06,0.131,0.148,0.881,0.221,0.277,0.187
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.039,0.004,0.005,0.004,0.219,0.1,0.004
"P29","Otros",0.038,0.108,0.079,0.025,0.096,0.192,0.033
"P29","En blanco",0.025,0.028,0.006,0,0.039,0.057,0.029
"P29","No sabe",0.016,0.061,0.088,0.008,0.02,0.024,0.409
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.809,0.046,0.31,0.059,0.307,0.181,0.179
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.063,0.838,0.246,0.432,0.162,0.213,0.258
"P33","En blanco",0.042,0.044,0.117,0.271,0.254,0.192,0.158
"P33","No sabe",0.086,0.072,0.327,0.238,0.277,0.414,0.405
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.178,0.741,0.239,0.085,0.194,0.105,0.189
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.143,0.117,0.893,0.363,0.369,0.171
"P34","En blanco",0.486,0.048,0.297,0.014,0.212,0.159,0.256
"P34","No sabe",0.26,0.068,0.347,0.008,0.231,0.367,0.384
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.827,0.106,0.37,0.045,0.185,0.289,0.162
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.035,0.753,0.265,0.266,0.161,0.229,0.193
"P35","En blanco",0.086,0.068,0.152,0.483,0.4,0.227,0.221
"P35","No sabe",0.052,0.073,0.213,0.206,0.254,0.255,0.424
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.154,0.697,0.305,0.045,0.183,0.264,0.231
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.031,0.152,0.275,0.848,0.313,0.44,0.174
"P36","En blanco",0.6,0.076,0.252,0.077,0.238,0.182,0.263
"P36","No sabe",0.215,0.075,0.168,0.03,0.266,0.114,0.332
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.844,0.082,0.53,0.011,0.157,0.334,0.197
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.04,0.413,0.177,0.916,0.269,0.395,0.261
"P37","En blanco",0.07,0.277,0.114,0.073,0.217,0.024,0.248
"P37","No sabe",0.046,0.228,0.179,0,0.357,0.247,0.294
"P38","Lo votaría",0.822,0.054,0.395,0.047,0.167,0.332,0.224
"P38","Puede que lo vote",0.078,0.05,0.221,0.141,0.132,0.271,0.211
"P38","Nunca lo votaría",0.091,0.823,0.339,0.765,0.463,0.29,0.346
"P38","No sabe",0.009,0.073,0.045,0.047,0.238,0.107,0.219
"P39","Lo votaría",0.593,0.032,0.16,0.009,0.386,0.149,0.129
"P39","Puede que lo vote",0.214,0.022,0.192,0.098,0.103,0.16,0.207
"P39","Nunca lo votaría",0.162,0.897,0.526,0.796,0.398,0.644,0.312
"P39","No sabe",0.031,0.049,0.122,0.097,0.113,0.047,0.352
"P40","Lo votaría",0.075,0.729,0.212,0.251,0.186,0.251,0.138
"P40","Puede que lo vote",0.015,0.092,0.204,0.271,0.022,0.181,0.217
"P40","Nunca lo votaría",0.872,0.109,0.496,0.406,0.667,0.428,0.415
"P40","No sabe",0.038,0.07,0.088,0.072,0.125,0.14,0.23
"P41","Lo votaría",0.032,0.577,0.104,0.089,0.025,0.405,0.088
"P41","Puede que lo vote",0.062,0.275,0.263,0.145,0.035,0.026,0.273
"P41","Nunca lo votaría",0.852,0.08,0.432,0.704,0.657,0.397,0.415
