"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Martín Soria a Diputado Nacional por Unión por la Patria",0.247,0.24,0.253,0.185,0.294,0.259,0.2,0.325,0.178,0.259,0.416,0.115,0.333,0.161,0.191,0.719,0.277,0.286,0.251,0.172,0.151,0.309
"Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.166,0.169,0.163,0.236,0.128,0.162,0.158,0.093,0.233,0.149,0.107,0.289,0.29,0.114,0.271,0.052,0.305,0.134,0.178,0.199,0.245,0.05
"Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.064,0.064,0.064,0.057,0.058,0.038,0.129,0.063,0.06,0.072,0.013,0.149,0.032,0.041,0.101,0,0.037,0.066,0.061,0.018,0.06,0.118
"Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.151,0.226,0.078,0.194,0.162,0.091,0.141,0.123,0.183,0.135,0.108,0.149,0.076,0.103,0.223,0.006,0.197,0.144,0.151,0.266,0.116,0.117
"Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.036,0.036,0.037,0.017,0.037,0.071,0.017,0.037,0.026,0.053,0.038,0.02,0,0.043,0.006,0.088,0.059,0.077,0.017,0.01,0.045,0.051
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.152,0.123,0.179,0.116,0.171,0.182,0.109,0.181,0.158,0.1,0.19,0.133,0.103,0.319,0.084,0.048,0.089,0.132,0.16,0.114,0.169,0.166
"En blanco",0.04,0.037,0.044,0.035,0.039,0.048,0.044,0.036,0.039,0.05,0.017,0.045,0.066,0.045,0.036,0.029,0.036,0.024,0.022,0.055,0.112,0.087
"No sabe",0.144,0.105,0.182,0.16,0.111,0.149,0.202,0.142,0.123,0.182,0.111,0.1,0.1,0.174,0.088,0.058,0,0.137,0.16,0.166,0.102,0.102
