"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.881,0.836,0.866,0.851,0.823,0.878,0.341,0.705
"P06","Tiene dudas sobre si va a ir a  votar",0.099,0.14,0.087,0.106,0.133,0.08,0.547,0.211
"P06","Tiene Decidido que no va a ir a votar",0.02,0.024,0.047,0.043,0.044,0.042,0.112,0.084
"P07","Mucho",0.516,0.62,0.402,0.43,0.444,0.34,0.101,0.153
"P07","Bastante",0.264,0.244,0.365,0.365,0.269,0.298,0.166,0.233
"P07","Poco",0.157,0.06,0.149,0.15,0.179,0.107,0.298,0.253
"P07","Nada",0.062,0.036,0.046,0.055,0.067,0.233,0.405,0.282
"P07","No sabe",0.001,0.04,0.038,0,0.041,0.022,0.03,0.079
"P08","Siempre",0.302,0.385,0.238,0.313,0.251,0.246,0.09,0.124
"P08","Casi siempre",0.353,0.247,0.392,0.339,0.262,0.277,0.11,0.164
"P08","Casi nunca",0.273,0.285,0.273,0.235,0.26,0.244,0.343,0.395
"P08","Nunca, pero esta es una excepción",0.072,0.083,0.097,0.113,0.227,0.233,0.457,0.317
"P11","Unión por la Patria",0.618,0.58,0.035,0.036,0.052,0.017,0.05,0.117
"P11","Juntos por el Cambio",0.063,0.018,0.71,0.622,0.107,0.01,0.088,0.013
"P11","Juntos Somos Río Negro",0.143,0.15,0.124,0.162,0.103,0.15,0.284,0.068
"P11","Liberales",0.015,0.026,0.056,0.041,0.494,0.063,0.015,0.01
"P11","Izquierda",0.033,0.101,0.02,0.004,0.048,0.56,0.027,0.038
"P11","Otro",0.034,0.051,0.007,0.062,0.076,0.035,0.082,0.079
"P11","No sabe",0.094,0.074,0.048,0.073,0.12,0.165,0.454,0.675
"P16","Totalmente seguro",0.678,0.43,0.624,0.46,0.686,0.511,0.213,0.083
"P16","Bastante seguro",0.117,0.219,0.141,0.23,0.153,0.266,0.003,0.046
"P16","Algo seguro",0.156,0.174,0.132,0.147,0.062,0.125,0.168,0.142
"P16","Para nada seguro",0.049,0.177,0.103,0.163,0.099,0.098,0.616,0.729
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.802,0.517,0.005,0.043,0.016,0.036,0,0.052
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.032,0.018,0.82,0.332,0.02,0.019,0.039,0.03
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.12,0.115,0.106,0.27,0.036,0.146,0.315,0.073
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.025,0.093,0.022,0.041,0.867,0,0.025,0.006
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.101,0.015,0.004,0.01,0.697,0.005,0.08
"P25","Otros",0.009,0.101,0.007,0.159,0.019,0.052,0.077,0.066
"P25","En blanco",0.006,0.004,0.023,0.033,0,0,0.252,0.086
"P25","No sabe",0.006,0.051,0.002,0.118,0.032,0.05,0.287,0.607
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.791,0.365,0.05,0.038,0.028,0.092,0.079,0.029
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.052,0.037,0.386,0.654,0.051,0.022,0.01,0.085
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.093,0.137,0.16,0.162,0.038,0.149,0.396,0.181
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.028,0.062,0.153,0.038,0.827,0.037,0.016,0.004
"P29","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.134,0.004,0.003,0.021,0.606,0.007,0.004
"P29","Otros",0.027,0.185,0.126,0.044,0.023,0.065,0.059,0.072
"P29","En blanco",0,0.017,0.031,0.008,0.007,0,0.081,0.134
"P29","No sabe",0.009,0.063,0.09,0.053,0.005,0.029,0.352,0.491
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.93,0.635,0.03,0.117,0.016,0.144,0.086,0.083
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.024,0.069,0.915,0.484,0.388,0.089,0.319,0.102
"P33","En blanco",0,0.118,0.016,0.141,0.302,0.32,0.198,0.13
"P33","No sabe",0.046,0.178,0.039,0.258,0.294,0.447,0.397,0.685
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.25,0.055,0.807,0.408,0.039,0.078,0.207,0.129
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.013,0.186,0.15,0.121,0.823,0.108,0.036,0.042
"P34","En blanco",0.429,0.473,0.034,0.155,0.1,0.482,0.262,0.253
"P34","No sabe",0.308,0.286,0.009,0.316,0.038,0.332,0.495,0.576
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.915,0.629,0.129,0.048,0.038,0.199,0.105,0.083
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.016,0.023,0.736,0.808,0.218,0.081,0.098,0.18
"P35","En blanco",0.02,0.22,0.07,0.088,0.47,0.465,0.336,0.189
"P35","No sabe",0.049,0.128,0.065,0.056,0.274,0.255,0.461,0.548
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.218,0.085,0.661,0.753,0.036,0.077,0.067,0.18
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.011,0.065,0.215,0.158,0.826,0,0.157,0.035
"P36","En blanco",0.549,0.622,0.077,0.011,0.073,0.583,0.5,0.262
"P36","No sabe",0.222,0.228,0.047,0.078,0.065,0.34,0.276,0.523
