"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Siempre",0.231,0.231,0.23,0.215,0.205,0.27,0.279,0.227,0.234,0.231,0.254,0.297,0.175,0.262,0.264,0.168,0.157,0.215,0.21,0.207,0.247,0.38
"Casi siempre",0.273,0.282,0.265,0.177,0.27,0.329,0.408,0.247,0.262,0.337,0.342,0.322,0.157,0.261,0.345,0.383,0.429,0.257,0.291,0.214,0.296,0.245
"Casi nunca",0.302,0.293,0.311,0.292,0.37,0.265,0.174,0.281,0.321,0.298,0.277,0.257,0.562,0.318,0.279,0.296,0.388,0.293,0.313,0.302,0.323,0.244
"Nunca, pero esta es una excepción",0.194,0.194,0.194,0.316,0.155,0.136,0.139,0.245,0.183,0.134,0.127,0.124,0.106,0.159,0.112,0.153,0.026,0.235,0.186,0.277,0.134,0.131
