"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.876,0.832,0.863,0.884,0.748,0.82,0.914,0.281,0.701
"P06","Tiene dudas sobre si va a ir a  votar",0.105,0.143,0.088,0.07,0.24,0.136,0.042,0.551,0.208
"P06","Tiene Decidido que no va a ir a votar",0.019,0.025,0.049,0.046,0.012,0.044,0.044,0.168,0.091
"P07","Mucho",0.527,0.616,0.418,0.424,0.35,0.447,0.315,0.088,0.102
"P07","Bastante",0.251,0.245,0.354,0.368,0.337,0.267,0.304,0.103,0.249
"P07","Poco",0.163,0.061,0.14,0.148,0.239,0.176,0.113,0.182,0.274
"P07","Nada",0.058,0.037,0.048,0.06,0.046,0.068,0.245,0.581,0.305
"P07","No sabe",0.001,0.041,0.04,0,0.028,0.042,0.023,0.046,0.07
"P08","Siempre",0.288,0.387,0.239,0.282,0.341,0.254,0.259,0.077,0.099
"P08","Casi siempre",0.354,0.236,0.378,0.352,0.306,0.257,0.24,0.13,0.166
"P08","Casi nunca",0.282,0.292,0.285,0.243,0.23,0.257,0.256,0.223,0.425
"P08","Nunca, pero esta es una excepción",0.076,0.085,0.098,0.123,0.123,0.232,0.245,0.57,0.31
"P11","Unión por la Patria",0.639,0.58,0.034,0.038,0.143,0.049,0.018,0.029,0.115
"P11","Juntos por el Cambio",0.066,0.018,0.729,0.606,0.149,0.109,0.011,0.131,0.014
"P11","Juntos Somos Río Negro",0.115,0.144,0.101,0.161,0.511,0.093,0.107,0.129,0.036
"P11","Liberales",0.017,0.026,0.059,0.045,0.044,0.502,0.066,0,0.01
"P11","Izquierda",0.035,0.103,0.021,0.004,0.028,0.047,0.588,0.041,0.026
"P11","Otro",0.036,0.053,0.007,0.067,0.003,0.078,0.037,0.118,0.086
"P11","No sabe",0.092,0.076,0.049,0.079,0.122,0.122,0.173,0.552,0.713
"P16","Totalmente seguro",0.687,0.426,0.647,0.487,0.374,0.695,0.485,0.116,0.077
"P16","Bastante seguro",0.116,0.221,0.144,0.246,0.075,0.153,0.28,0.005,0.039
"P16","Algo seguro",0.156,0.172,0.124,0.095,0.269,0.056,0.131,0.106,0.149
"P16","Para nada seguro",0.041,0.181,0.085,0.172,0.282,0.096,0.104,0.773,0.735
"P25","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.84,0.515,0.005,0.048,0.074,0.016,0.036,0,0.05
"P25","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.035,0.018,0.858,0.355,0.058,0.02,0.02,0.028,0.033
"P25","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.079,0.108,0.066,0.208,0.724,0.023,0.149,0.012,0.013
"P25","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.026,0.095,0.023,0.045,0.017,0.879,0,0.039,0.007
"P25","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.104,0.016,0.004,0,0.01,0.707,0.011,0.088
"P25","Otros",0.008,0.103,0.008,0.174,0.041,0.019,0.037,0.125,0.048
"P25","En blanco",0.006,0.005,0.024,0.036,0,0,0,0.506,0.095
"P25","No sabe",0.006,0.052,0,0.13,0.086,0.033,0.051,0.279,0.666
"P29","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.811,0.373,0.052,0.019,0.109,0.029,0.077,0.192,0.022
"P29","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.053,0.038,0.403,0.716,0.016,0.052,0.023,0.025,0.092
"P29","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.072,0.122,0.131,0.104,0.653,0.031,0.152,0.016,0.13
"P29","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.026,0.063,0.158,0.042,0.064,0.831,0.038,0.039,0.004
