"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.219,0.223,0.215,0.207,0.205,0.243,0.243,0.266,0.19,0.204,0.424,0.075,0.175,0.26,0.098,0.508,0.139,0.195,0.216,0.159,0.246,0.311
"Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.077,0.074,0.081,0.076,0.075,0.1,0.054,0.061,0.056,0.141,0.133,0.033,0.065,0.057,0.042,0.289,0.034,0.111,0.07,0.036,0.072,0.069
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.185,0.196,0.174,0.076,0.157,0.288,0.319,0.156,0.193,0.21,0.075,0.403,0.245,0.171,0.341,0.018,0.092,0.195,0.185,0.125,0.237,0.148
"Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.081,0.084,0.077,0.069,0.091,0.071,0.087,0.058,0.091,0.094,0.047,0.148,0.071,0.088,0.128,0,0.009,0.089,0.062,0.149,0.094,0.084
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.247,0.29,0.206,0.334,0.304,0.112,0.118,0.272,0.267,0.174,0.173,0.275,0.212,0.179,0.306,0.068,0.641,0.221,0.268,0.302,0.239,0.165
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.023,0.018,0.028,0.024,0.021,0.032,0.012,0.021,0.019,0.034,0.009,0.005,0,0.015,0.005,0.031,0.019,0.043,0.019,0.007,0.015,0.015
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.061,0.055,0.068,0.062,0.061,0.07,0.05,0.052,0.077,0.047,0.076,0.034,0.15,0.136,0.017,0.021,0.043,0.05,0.064,0.056,0.049,0.1
"En blanco",0.029,0.022,0.035,0.028,0.034,0.018,0.032,0.039,0.017,0.034,0.026,0.01,0.004,0.024,0.016,0.002,0.015,0.017,0.035,0.053,0.015,0.023
"No sabe",0.078,0.038,0.116,0.124,0.052,0.066,0.085,0.075,0.09,0.062,0.037,0.017,0.078,0.07,0.047,0.063,0.008,0.079,0.081,0.113,0.033,0.085
