"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.897,0.832,0.703,0.489,0.65
"P06","Tiene dudas sobre si va a ir a  votar",0.078,0.151,0.233,0.282,0.16
"P06","Tiene Decidido que no va a ir a votar",0.025,0.017,0.064,0.229,0.19
"P08","Siempre",0.385,0.131,0.116,0.159,0.206
"P08","Casi siempre",0.28,0.427,0.187,0.071,0.237
"P08","Casi nunca",0.217,0.326,0.422,0.289,0.387
"P08","Nunca, pero esta es una excepción",0.118,0.116,0.275,0.481,0.17
"P11","Unión por la Patria",0.313,0.197,0.113,0.108,0.056
"P11","Juntos por el Cambio",0.243,0.29,0.226,0.082,0.13
"P11","Juntos Somos Río Negro",0.102,0.161,0.169,0.163,0.216
"P11","Liberales",0.178,0.136,0.134,0.069,0.033
"P11","Izquierda",0.057,0.052,0.035,0.045,0.106
"P11","Otro",0.039,0.05,0.055,0.068,0.036
"P11","No sabe",0.068,0.114,0.268,0.465,0.423
"P12","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.272,0.193,0.216,0.133,0.005
"P12","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.112,0.067,0.028,0.03,0.105
"P12","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.182,0.229,0.156,0.093,0.247
"P12","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.081,0.104,0.072,0.051,0
"P12","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.051,0.073,0.089,0.03,0.056
"P12","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.26,0.231,0.262,0.176,0.342
"P12","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.017,0.025,0.016,0.06,0.018
"P12","En blanco",0.006,0.01,0.032,0.175,0.044
"P12","No sabe",0.019,0.068,0.129,0.252,0.183
"P16","Totalmente seguro",0.71,0.513,0.43,0.319,0.239
"P16","Bastante seguro",0.132,0.206,0.111,0.069,0.018
"P16","Algo seguro",0.078,0.146,0.251,0.081,0.091
"P16","Para nada seguro",0.08,0.135,0.208,0.531,0.652
"P17","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.222,0.278,0.053,0.681,0
"P17","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.061,0.016,0,0,0
"P17","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.039,0.238,0.232,0,0
"P17","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.134,0.106,0.09,0,0
"P17","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.059,0.088,0.124,0.089,0
"P17","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0.038,0.013,0,0,0
"P17","En blanco",0.123,0.25,0.501,0.23,0
"P17","No sabe",0.324,0.011,0,0,1
