"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.862,0.893,0.951,0.768,0.799,0.957,0.64,0.797
"P06","Tiene dudas sobre si va a ir a  votar",0.12,0.093,0.039,0.212,0.161,0.035,0.223,0.112
"P06","Tiene Decidido que no va a ir a votar",0.018,0.014,0.01,0.02,0.04,0.008,0.137,0.091
"P07","Mucho",0.495,0.524,0.354,0.419,0.466,0.437,0.22,0.265
"P07","Bastante",0.262,0.356,0.375,0.272,0.237,0.388,0.236,0.41
"P07","Poco",0.158,0.087,0.122,0.235,0.191,0.055,0.093,0.207
"P07","Nada",0.071,0.03,0.085,0.043,0.055,0.12,0.445,0.089
"P07","No sabe",0.014,0.003,0.064,0.031,0.051,0,0.006,0.029
"P08","Siempre",0.303,0.296,0.276,0.328,0.214,0.364,0.159,0.119
"P08","Casi siempre",0.312,0.396,0.443,0.318,0.276,0.204,0.176,0.227
"P08","Casi nunca",0.284,0.21,0.226,0.255,0.286,0.294,0.46,0.33
"P08","Nunca, pero esta es una excepción",0.101,0.098,0.055,0.099,0.224,0.138,0.205,0.324
"P11","Unión por la Patria",0.609,0.041,0.027,0.146,0.056,0.377,0.089,0.082
"P11","Juntos por el Cambio",0.077,0.74,0.631,0.171,0.084,0,0.192,0.173
"P11","Juntos Somos Río Negro",0.096,0.069,0.093,0.449,0.071,0.148,0.034,0.102
"P11","Liberales",0.06,0.046,0.034,0.089,0.542,0.041,0.131,0.06
"P11","Izquierda",0.029,0.031,0.035,0.026,0.058,0.377,0.017,0.069
"P11","Otro",0.052,0.051,0.101,0.025,0.04,0.031,0.054,0.083
"P11","No sabe",0.077,0.022,0.079,0.094,0.149,0.026,0.483,0.431
"P16","Totalmente seguro",0.619,0.681,0.646,0.5,0.691,0.694,0.353,0.276
"P16","Bastante seguro",0.159,0.164,0.131,0.082,0.157,0.115,0.127,0.103
"P16","Algo seguro",0.14,0.077,0.113,0.228,0.075,0.191,0.073,0.268
"P16","Para nada seguro",0.082,0.078,0.11,0.19,0.077,0,0.447,0.353
