"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.913,1,0.882,0.547,1,0.308,0.617,0.83
"P06","Tiene dudas sobre si va a ir a  votar",0,0,0.118,0.453,0,0.692,0.383,0.17
"P06","Tiene Decidido que no va a ir a votar",0.087,0,0,0,0,0,0,0
"P07","Mucho",0.314,0.748,0.078,0.407,0.221,0.692,0.152,0.839
"P07","Bastante",0.503,0.252,0.611,0.41,0.422,0.308,0.395,0.037
"P07","Poco",0.05,0,0.311,0.183,0.311,0,0.414,0
"P07","Nada",0.133,0,0,0,0.046,0,0.039,0
"P07","No sabe",0,0,0,0,0,0,0,0.124
"P08","Siempre",0.514,0.283,0.2,0.546,0.079,0,0.135,0.505
"P08","Casi siempre",0.338,0.717,0.589,0.263,0.485,1,0.122,0.183
"P08","Casi nunca",0.127,0,0.092,0.191,0.436,0,0.572,0.037
"P08","Nunca, pero esta es una excepción",0.021,0,0.119,0,0,0,0.171,0.275
"P11","Unión por la Patria",0.279,0.465,0.093,0.037,0.142,0,0.118,0.167
"P11","Juntos por el Cambio",0.021,0,0.289,0.737,0,0,0,0
"P11","Juntos Somos Río Negro",0.588,0.535,0.584,0.226,0.564,1,0.658,0.485
"P11","Liberales",0,0,0,0,0.112,0,0.026,0
"P11","Izquierda",0,0,0,0,0.136,0,0,0.124
"P11","Otro",0,0,0,0,0,0,0.018,0
"P11","No sabe",0.112,0,0.034,0,0.046,0,0.18,0.224
"P16","Totalmente seguro",0.488,0.465,0.306,0.15,0.221,1,0.464,0.143
