"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.257,0.262,0.252,0.2,0.244,0.325,0.299,0.286,0.205,0.308,0.503,0.059,0.243,0.23,0.11,0.747,0.177,0.256,0.257,0.145,0.284,0.313
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.216,0.222,0.21,0.099,0.184,0.316,0.374,0.161,0.235,0.26,0.085,0.475,0.271,0.18,0.431,0.017,0.032,0.246,0.189,0.194,0.272,0.232
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.243,0.284,0.205,0.345,0.293,0.119,0.094,0.255,0.279,0.161,0.152,0.299,0.245,0.192,0.283,0.066,0.583,0.215,0.267,0.314,0.236,0.143
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.031,0.027,0.036,0.043,0.03,0.026,0.023,0.033,0.029,0.036,0.017,0.014,0.018,0.051,0.006,0.035,0.054,0.056,0.024,0,0.023,0.041
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.112,0.095,0.128,0.184,0.095,0.09,0.058,0.099,0.14,0.08,0.121,0.079,0.144,0.23,0.046,0.043,0.035,0.099,0.113,0.115,0.103,0.146
"Otros",0.039,0.035,0.042,0.011,0.061,0.032,0.038,0.037,0.017,0.081,0.041,0.039,0.038,0.036,0.047,0.034,0,0.034,0.037,0.063,0.043,0.042
"En blanco",0.024,0.016,0.032,0.048,0.013,0.026,0.007,0.011,0.038,0.016,0.017,0.003,0,0.022,0.009,0.002,0.018,0.007,0.031,0.063,0.007,0.017
"No sabe",0.078,0.059,0.095,0.07,0.08,0.066,0.107,0.118,0.057,0.058,0.064,0.032,0.041,0.059,0.068,0.056,0.101,0.087,0.082,0.106,0.032,0.066
