"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P07","Mucho",0.432,0.188,0.15
"P07","Bastante",0.279,0.253,0.071
"P07","Poco",0.177,0.293,0.202
"P07","Nada",0.078,0.224,0.453
"P07","No sabe",0.034,0.042,0.124
"P08","Siempre",0.241,0.191,0.194
"P08","Casi siempre",0.307,0.18,0.089
"P08","Casi nunca",0.294,0.367,0.236
"P08","Nunca, pero esta es una excepción",0.158,0.262,0.481
"P11","Unión por la Patria",0.242,0.091,0.138
"P11","Juntos por el Cambio",0.26,0.106,0.153
"P11","Juntos Somos Río Negro",0.132,0.212,0.063
"P11","Liberales",0.147,0.142,0.056
"P11","Izquierda",0.049,0.058,0.081
"P11","Otro",0.044,0.067,0.052
"P11","No sabe",0.126,0.324,0.457
"P12","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.234,0.167,0.093
"P12","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.079,0.081,0.044
"P12","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.194,0.118,0.209
"P12","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.087,0.041,0.086
"P12","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.056,0.108,0.017
"P12","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.247,0.244,0.253
"P12","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.026,0.007,0.023
"P12","En blanco",0.01,0.115,0.111
"P12","No sabe",0.067,0.119,0.164
"P16","Totalmente seguro",0.605,0.318,0.422
"P16","Bastante seguro",0.139,0.168,0.068
"P16","Algo seguro",0.112,0.239,0.042
"P16","Para nada seguro",0.144,0.275,0.468
"P17","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.263,0,1
