"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.676,0.723,0.706,0.519,0.454,0.482
"P26","Bastante seguro",0.146,0.129,0.159,0.184,0.163,0.053
"P26","Algo seguro",0.101,0.1,0.088,0.181,0.169,0.174
"P26","Para nada seguro",0.077,0.048,0.047,0.116,0.214,0.291
"P27","Tiene Decidido que va a ir a votar",0.909,0.937,0.905,0.922,0.695,0.714
"P27","Tiene dudas sobre si va a ir a  votar",0.072,0.054,0.087,0.041,0.215,0.071
"P27","Tiene Decidido que no va a ir a votar",0.019,0.009,0.008,0.037,0.09,0.215
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.859,0.109,0.088,0.4,0.244,0.287
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.089,0.815,0.373,0.095,0.501,0.1
"P28","En blanco",0.013,0.026,0.353,0.083,0.174,0.472
"P28","No sabe",0.039,0.05,0.186,0.422,0.081,0.141
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.33,0.825,0.077,0.459,0.41,0.33
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.082,0.105,0.859,0.08,0.179,0.177
"P29","En blanco",0.374,0.037,0.033,0.323,0.183,0.336
"P29","No sabe",0.214,0.033,0.031,0.138,0.228,0.157
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.8,0.178,0.051,0.537,0.212,0.313
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.253,0.841,0.216,0.292,0
"P30","En blanco",0.069,0.387,0.066,0.173,0.393,0.436
"P30","No sabe",0.075,0.182,0.042,0.074,0.103,0.251
"P38","Inflación",0.412,0.353,0.375,0.355,0.297,0.091
"P38","Desempleo",0.109,0.044,0.094,0.034,0.035,0.169
"P38","Corrupción",0.109,0.359,0.38,0.215,0.383,0.363
"P38","Inseguridad",0.104,0.134,0.092,0.065,0.037,0
"P38","Precio del dólar",0.052,0.002,0,0,0,0.046
"P38","Pobreza",0.1,0.029,0.032,0.133,0.164,0.138
"P38","Narcotráfico",0.001,0.009,0,0,0,0
"P38","Tarifas",0.006,0.008,0,0.006,0,0
"P38","Otro",0.086,0.038,0.021,0.192,0.084,0.193
"P38","No sabe",0.021,0.024,0.006,0,0,0
