"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.676,0.039,0.054,0.058
"P10","Juntos por el Cambio",0.136,0.727,0.085,0.132
"P10","De los liberales libertarios",0.077,0.181,0.657,0.407
"P10","De la Izquierda",0.044,0.011,0.096,0.113
"P10","Hacemos por nuestro país",0.025,0.019,0.003,0.102
"P10","Otro",0.01,0.009,0.051,0.049
"P10","En blanco",0.002,0.005,0.017,0.024
"P10","No sabe",0.03,0.009,0.037,0.115
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.705,0.051,0.029,0.063
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.12,0.711,0.097,0.17
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.055,0.178,0.712,0.375
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.054,0.009,0.034,0.16
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.04,0.062,0.034
"P13","En blanco",0.011,0.003,0.055,0.019
"P13","No sabe",0.034,0.008,0.011,0.179
"P16","Union por la Patria",0.669,0.051,0.079,0.169
"P16","Cambiemos",0.133,0.788,0.159,0.224
"P16","Liberales",0.089,0.103,0.611,0.28
"P16","Izquierda",0.049,0.018,0.04,0.078
"P16","No sabe",0.06,0.04,0.111,0.249
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.635,0.067,0.12,0.241
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.137,0.745,0.114,0.211
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.103,0.115,0.58,0.277
"P17","La candidata a Jefe de Gobierno de la izquierda",0.051,0.017,0.02,0.068
"P17","En blanco",0.029,0.028,0.084,0.061
"P17","No sabe",0.045,0.028,0.082,0.142
"P26","Totalmente seguro",0.702,0.73,0.7,0.446
"P26","Bastante seguro",0.118,0.153,0.12,0.177
"P26","Algo seguro",0.122,0.085,0.112,0.158
"P26","Para nada seguro",0.058,0.032,0.068,0.219
"P27","Tiene Decidido que va a ir a votar",0.953,0.932,0.816,0.79
"P27","Tiene dudas sobre si va a ir a  votar",0.038,0.055,0.146,0.185
"P27","Tiene Decidido que no va a ir a votar",0.009,0.013,0.038,0.025
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.384,0.702,0.077,0.254
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.079,0.275,0.686,0.395
"P29","En blanco",0.35,0.014,0.19,0.077
"P29","No sabe",0.187,0.009,0.047,0.274
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.833,0.101,0.041,0.122
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.397,0.664,0.49
"P30","En blanco",0.06,0.345,0.239,0.176
"P30","No sabe",0.052,0.157,0.056,0.212
"P38","Inflación",0.392,0.369,0.321,0.332
"P38","Desempleo",0.099,0.041,0.115,0.098
"P38","Corrupción",0.133,0.366,0.386,0.375
"P38","Inseguridad",0.118,0.124,0.036,0.076
"P38","Precio del dólar",0.037,0.006,0.006,0
"P38","Pobreza",0.116,0.03,0.015,0.051
"P38","Narcotráfico",0.001,0.008,0,0
"P38","Tarifas",0.005,0.006,0,0.007
"P38","Otro",0.071,0.035,0.121,0.052
"P38","No sabe",0.028,0.015,0,0.009
"P10_imputada","Unión por la Patria",0.682,0.041,0.058,0.072
"P10_imputada","Juntos por el Cambio",0.142,0.73,0.091,0.221
"P10_imputada","De los liberales libertarios",0.077,0.182,0.684,0.419
"P10_imputada","De la Izquierda",0.053,0.014,0.096,0.113
"P10_imputada","Hacemos por nuestro país",0.034,0.019,0.003,0.102
"P10_imputada","Otro",0.01,0.009,0.051,0.049
"P10_imputada","En blanco",0.002,0.005,0.017,0.024
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.713,0.053,0.032,0.111
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.133,0.714,0.097,0.212
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.058,0.177,0.716,0.427
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.055,0.009,0.034,0.197
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.03,0.044,0.066,0.034
"P13_imputada","En blanco",0.011,0.003,0.055,0.019
"P16_imputada","Union por la Patria",0.702,0.065,0.109,0.254
"P16_imputada","Cambiemos",0.151,0.812,0.21,0.309
"P16_imputada","Liberales",0.093,0.105,0.631,0.317
"P16_imputada","Izquierda",0.054,0.018,0.05,0.12
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.646,0.071,0.125,0.29
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.141,0.764,0.121,0.24
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.121,0.116,0.65,0.3
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.051,0.017,0.02,0.078
"P17_imputada","En blanco",0.041,0.032,0.084,0.092
