"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","La candidata a Jefe de Gobierno de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.624,0.058,0.123,0.395,0.183,0.148
"P10","Juntos por el Cambio",0.146,0.753,0.144,0.117,0.18,0.147
"P10","De los liberales libertarios",0.114,0.138,0.659,0.163,0.271,0.132
"P10","De la Izquierda",0.06,0.009,0.033,0.325,0.029,0.071
"P10","Hacemos por nuestro país",0.025,0.016,0.021,0,0.033,0.128
"P10","Otro",0.003,0.013,0.016,0,0.12,0.043
"P10","En blanco",0.006,0.006,0.002,0,0.102,0.013
"P10","No sabe",0.022,0.007,0.002,0,0.082,0.318
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.693,0.066,0.114,0.261,0.203,0.2
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.133,0.745,0.129,0.036,0.115,0.171
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.048,0.133,0.716,0.1,0.256,0.256
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.052,0.005,0.007,0.563,0.044,0.074
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.028,0.027,0.027,0,0.154,0.081
"P13","En blanco",0.013,0.009,0.007,0,0.124,0
"P13","No sabe",0.033,0.015,0,0.04,0.104,0.218
"P16","Union por la Patria",0.705,0.086,0.17,0.116,0.082,0.096
"P16","Cambiemos",0.128,0.844,0.211,0.022,0.152,0.156
"P16","Liberales",0.092,0.051,0.603,0.019,0.117,0.145
"P16","Izquierda",0.016,0.005,0.012,0.775,0.015,0.088
"P16","No sabe",0.059,0.014,0.004,0.068,0.634,0.515
"P26","Totalmente seguro",0.675,0.739,0.745,0.529,0.489,0.389
"P26","Bastante seguro",0.14,0.148,0.158,0.149,0.094,0.141
"P26","Algo seguro",0.108,0.087,0.078,0.178,0.197,0.135
"P26","Para nada seguro",0.077,0.026,0.019,0.144,0.22,0.335
"P27","Tiene Decidido que va a ir a votar",0.911,0.951,0.896,0.952,0.673,0.824
"P27","Tiene dudas sobre si va a ir a  votar",0.077,0.036,0.098,0.048,0.195,0.144
"P27","Tiene Decidido que no va a ir a votar",0.012,0.013,0.006,0,0.132,0.032
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.763,0.109,0.197,0.509,0.258,0.301
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.11,0.814,0.302,0.238,0.349,0.256
"P28","En blanco",0.045,0.029,0.351,0.062,0.237,0.173
"P28","No sabe",0.082,0.048,0.15,0.191,0.156,0.27
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.327,0.766,0.179,0.518,0.252,0.235
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.095,0.166,0.706,0.109,0.362,0.428
"P29","En blanco",0.366,0.034,0.072,0.273,0.207,0.181
"P29","No sabe",0.212,0.034,0.043,0.1,0.179,0.156
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.739,0.17,0.168,0.509,0.22,0.327
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.335,0.656,0.233,0.34,0.3
"P30","En blanco",0.102,0.337,0.107,0.213,0.319,0.213
"P30","No sabe",0.083,0.158,0.069,0.045,0.121,0.16
"P38","Inflación",0.393,0.371,0.361,0.345,0.212,0.458
"P38","Desempleo",0.07,0.036,0.138,0.067,0.15,0.159
"P38","Corrupción",0.164,0.382,0.286,0.337,0.224,0.155
"P38","Inseguridad",0.068,0.122,0.16,0,0.128,0.027
"P38","Precio del dólar",0.043,0.004,0,0,0.064,0
"P38","Pobreza",0.114,0.031,0.015,0.205,0.021,0.11
"P38","Narcotráfico",0.003,0.006,0,0,0,0.02
"P38","Tarifas",0.007,0.006,0,0.015,0.011,0
"P38","Otro",0.103,0.027,0.037,0.031,0.19,0.053
"P38","No sabe",0.035,0.015,0.003,0,0,0.018
