"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.708,0.065,0.069,0.094,0.095,0.148,0.045
"P10","Juntos por el Cambio",0.168,0.832,0.104,0.206,0.155,0.093,0.034
"P10","De los liberales libertarios",0.069,0.072,0.73,0.076,0.066,0.044,0.104
"P10","De la Izquierda",0.028,0.016,0.025,0.559,0.066,0.117,0.016
"P10","Hacemos por nuestro país",0.001,0.005,0.025,0.008,0.4,0.121,0.019
"P10","Otro",0.008,0.007,0.013,0.057,0.096,0.157,0.035
"P10","En blanco",0.001,0.001,0.017,0,0.022,0.226,0.22
"P10","No sabe",0.017,0.002,0.017,0,0.1,0.094,0.527
"P16","Union por la Patria",0.713,0.099,0.096,0.237,0.161,0.095,0.12
"P16","Cambiemos",0.137,0.828,0.29,0.049,0.309,0.213,0.122
"P16","Liberales",0.078,0.051,0.51,0.014,0.122,0.097,0
"P16","Izquierda",0.029,0.001,0.025,0.571,0.028,0.018,0.052
"P16","No sabe",0.043,0.021,0.079,0.129,0.38,0.577,0.706
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.713,0.094,0.06,0.338,0.219,0.253,0.267
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.104,0.807,0.253,0.051,0.328,0.267,0.186
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.074,0.057,0.555,0.027,0.131,0.089,0
"P17","La candidata a Jefe de Gobierno de la izquierda",0.032,0.003,0.015,0.436,0,0,0.038
"P17","En blanco",0.033,0.013,0.05,0.045,0.189,0.391,0.133
"P17","No sabe",0.044,0.026,0.067,0.103,0.133,0,0.376
"P26","Totalmente seguro",0.695,0.74,0.731,0.556,0.393,0.49,0.162
"P26","Bastante seguro",0.145,0.13,0.161,0.197,0.184,0.037,0.102
"P26","Algo seguro",0.103,0.1,0.084,0.194,0.19,0.177,0.084
"P26","Para nada seguro",0.057,0.03,0.024,0.053,0.233,0.296,0.652
"P27","Tiene Decidido que va a ir a votar",0.912,0.943,0.913,0.916,0.657,0.727,0.794
"P27","Tiene dudas sobre si va a ir a  votar",0.068,0.048,0.08,0.044,0.242,0.072,0.188
"P27","Tiene Decidido que no va a ir a votar",0.02,0.009,0.007,0.04,0.101,0.201,0.018
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.876,0.1,0.084,0.434,0.196,0.287,0.336
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.089,0.832,0.385,0.104,0.523,0.1,0.114
"P28","En blanco",0.012,0.027,0.362,0.09,0.188,0.472,0.035
"P28","No sabe",0.023,0.041,0.169,0.372,0.093,0.141,0.515
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.337,0.838,0.073,0.467,0.473,0.33,0.166
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.085,0.104,0.88,0.081,0.165,0.177,0.104
"P29","En blanco",0.378,0.035,0.028,0.327,0.2,0.336,0.161
"P29","No sabe",0.2,0.023,0.019,0.125,0.162,0.157,0.569
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.818,0.178,0.052,0.546,0.147,0.313,0.25
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.257,0.856,0.22,0.327,0,0.091
"P30","En blanco",0.067,0.39,0.064,0.176,0.415,0.436,0.2
"P30","No sabe",0.059,0.175,0.028,0.058,0.111,0.251,0.459
"P38","Inflación",0.42,0.354,0.378,0.341,0.337,0.091,0.226
"P38","Desempleo",0.111,0.04,0.096,0.035,0.039,0.169,0.092
"P38","Corrupción",0.097,0.364,0.378,0.219,0.415,0.363,0.296
"P38","Inseguridad",0.108,0.134,0.094,0.066,0.03,0,0.056
"P38","Precio del dólar",0.053,0.002,0,0,0,0.046,0
"P38","Pobreza",0.103,0.028,0.027,0.136,0.084,0.138,0.19
"P38","Narcotráfico",0.001,0.007,0,0,0,0,0.032
"P38","Tarifas",0.006,0.007,0,0.007,0,0,0.014
"P38","Otro",0.082,0.039,0.021,0.196,0.095,0.193,0.067
"P38","No sabe",0.019,0.025,0.006,0,0,0,0.027
