"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.628,0.051,0.069,0.103
"P10","Juntos por el Cambio",0.204,0.361,0.673,0.623
"P10","De los liberales libertarios",0.078,0.504,0.12,0.064
"P10","De la Izquierda",0.046,0.01,0.042,0.042
"P10","Hacemos por nuestro país",0.012,0.038,0.023,0.019
"P10","Otro",0.01,0.011,0.027,0.03
"P10","En blanco",0.002,0.002,0.022,0.012
"P10","No sabe",0.02,0.023,0.024,0.107
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.647,0.048,0.082,0.14
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.207,0.325,0.706,0.606
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.552,0.059,0.049
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.066,0.029,0.033,0.021
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.015,0.037,0.067,0.035
"P13","En blanco",0.012,0,0.025,0.027
"P13","No sabe",0.022,0.009,0.028,0.122
"P16","Union por la Patria",0.669,0.054,0.072,0.101
"P16","Cambiemos",0.167,0.504,0.712,0.635
"P16","Liberales",0.057,0.355,0.113,0.067
"P16","Izquierda",0.056,0.027,0.034,0.008
"P16","No sabe",0.051,0.06,0.069,0.189
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.591,0.068,0.13,0.201
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.206,0.454,0.65,0.577
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.083,0.364,0.084,0.104
"P17","La candidata a Jefe de Gobierno de la izquierda",0.052,0.027,0.035,0.014
"P17","En blanco",0.024,0.042,0.056,0.04
"P17","No sabe",0.044,0.045,0.045,0.064
"P26","Totalmente seguro",0.708,0.713,0.709,0.602
"P26","Bastante seguro",0.123,0.17,0.137,0.134
"P26","Algo seguro",0.131,0.086,0.096,0.108
"P26","Para nada seguro",0.038,0.031,0.058,0.156
"P27","Tiene Decidido que va a ir a votar",0.954,0.932,0.898,0.872
"P27","Tiene dudas sobre si va a ir a  votar",0.039,0.056,0.08,0.119
"P27","Tiene Decidido que no va a ir a votar",0.007,0.012,0.022,0.009
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.82,0.058,0.092,0.153
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.136,0.58,0.722,0.63
"P28","En blanco",0.012,0.222,0.114,0.051
"P28","No sabe",0.032,0.14,0.072,0.166
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.494,0.33,0.67,0.578
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.035,0.633,0.142,0.131
"P29","En blanco",0.314,0.019,0.169,0.018
"P29","No sabe",0.157,0.018,0.019,0.273
"P38","Inflación",0.394,0.416,0.321,0.238
"P38","Desempleo",0.107,0.078,0.031,0.039
"P38","Corrupción",0.113,0.357,0.421,0.393
"P38","Inseguridad",0.125,0.094,0.078,0.164
"P38","Precio del dólar",0.037,0,0.015,0
"P38","Pobreza",0.119,0.013,0.041,0.049
"P38","Narcotráfico",0,0.004,0.002,0.02
"P38","Tarifas",0.005,0,0.009,0.011
"P38","Otro",0.074,0.025,0.068,0.076
"P38","No sabe",0.026,0.013,0.014,0.01
"P10_imputada","Unión por la Patria",0.632,0.051,0.071,0.128
"P10_imputada","Juntos por el Cambio",0.209,0.365,0.687,0.681
"P10_imputada","De los liberales libertarios",0.078,0.518,0.12,0.076
"P10_imputada","De la Izquierda",0.046,0.016,0.05,0.054
"P10_imputada","Hacemos por nuestro país",0.023,0.038,0.023,0.019
"P10_imputada","Otro",0.01,0.011,0.027,0.03
"P10_imputada","En blanco",0.002,0.001,0.022,0.012
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.653,0.049,0.088,0.183
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.212,0.328,0.717,0.649
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.555,0.062,0.076
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.066,0.029,0.033,0.027
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.026,0.039,0.075,0.038
"P13_imputada","En blanco",0.012,0,0.025,0.027
"P16_imputada","Union por la Patria",0.696,0.074,0.099,0.186
"P16_imputada","Cambiemos",0.183,0.522,0.754,0.709
"P16_imputada","Liberales",0.057,0.367,0.113,0.093
"P16_imputada","Izquierda",0.064,0.037,0.034,0.012
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.607,0.075,0.137,0.213
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.208,0.458,0.684,0.611
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.097,0.385,0.084,0.103
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.055,0.027,0.035,0.014
"P17_imputada","En blanco",0.033,0.055,0.06,0.059
