"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Union por la Patria",0.302,0.265,0.331,0.366,0.35,0.24,0.204,0.379,0.262,0.304,0.675,0.114,0.419,0.722,0.754,0.07,0.206,0.117
"Cambiemos",0.482,0.451,0.507,0.298,0.4,0.628,0.691,0.384,0.491,0.509,0.169,0.694,0.461,0.166,0.111,0.873,0.649,0.245
"Liberales",0.17,0.231,0.121,0.276,0.199,0.096,0.071,0.181,0.196,0.147,0.119,0.17,0.103,0.073,0.093,0.056,0.09,0.621
"Izquierda",0.046,0.053,0.041,0.06,0.051,0.036,0.034,0.056,0.051,0.04,0.037,0.022,0.017,0.039,0.042,0.001,0.055,0.017
