"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda"
"P26","Totalmente seguro",0.687,0.684,0.705,0.603
"P26","Bastante seguro",0.105,0.157,0.187,0.124
"P26","Algo seguro",0.115,0.098,0.077,0.143
"P26","Para nada seguro",0.093,0.061,0.031,0.13
"P27","Tiene Decidido que va a ir a votar",0.913,0.916,0.889,0.949
"P27","Tiene dudas sobre si va a ir a  votar",0.059,0.068,0.109,0.033
"P27","Tiene Decidido que no va a ir a votar",0.028,0.016,0.002,0.018
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.782,0.106,0.177,0.418
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.1,0.785,0.273,0.192
"P28","En blanco",0.038,0.047,0.379,0.123
"P28","No sabe",0.08,0.062,0.171,0.267
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.328,0.712,0.172,0.397
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.095,0.212,0.694,0.199
"P29","En blanco",0.346,0.042,0.089,0.313
"P29","No sabe",0.231,0.034,0.045,0.091
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.786,0.135,0.117,0.523
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.343,0.674,0.269
"P30","En blanco",0.07,0.349,0.146,0.175
"P30","No sabe",0.069,0.173,0.063,0.033
"P38","Inflación",0.357,0.362,0.442,0.331
"P38","Desempleo",0.106,0.055,0.072,0.054
"P38","Corrupción",0.133,0.361,0.37,0.301
"P38","Inseguridad",0.124,0.109,0.081,0.021
"P38","Precio del dólar",0.034,0.01,0,0
"P38","Pobreza",0.107,0.036,0.016,0.161
"P38","Narcotráfico",0.001,0.008,0,0
"P38","Tarifas",0.006,0.007,0,0
"P38","Otro",0.099,0.037,0.019,0.132
"P38","No sabe",0.033,0.015,0,0
