"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.487,0.466,0.504,0.311,0.441,0.601,0.64,0.415,0.469,0.525,0.283,0.616,0.526,0.339,0.371,0.807,0.673,0.095
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.265,0.318,0.221,0.461,0.263,0.175,0.148,0.306,0.31,0.219,0.159,0.296,0.246,0.092,0.109,0.14,0.191,0.824
"En blanco",0.151,0.134,0.166,0.138,0.19,0.129,0.121,0.154,0.109,0.18,0.364,0.043,0.162,0.349,0.377,0.031,0.07,0.039
"No sabe",0.097,0.082,0.109,0.09,0.106,0.095,0.091,0.125,0.112,0.076,0.194,0.045,0.066,0.22,0.143,0.022,0.066,0.042
