"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.429,0.416,0.44,0.389,0.462,0.448,0.388,0.499,0.396,0.395,0.763,0.141,0.411,0.338,0.446,0.397,0.5,0.872,0.148,0.09,0.3,0.212
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.455,0.484,0.43,0.497,0.432,0.439,0.465,0.398,0.467,0.507,0.178,0.742,0.427,0.522,0.459,0.526,0.388,0.086,0.683,0.842,0.277,0.567
"En blanco",0.056,0.053,0.058,0.066,0.046,0.049,0.073,0.043,0.068,0.054,0.029,0.055,0.076,0.072,0.037,0.031,0.056,0.018,0.088,0.033,0.175,0.107
"No sabe",0.06,0.047,0.072,0.048,0.06,0.064,0.074,0.06,0.069,0.044,0.03,0.062,0.086,0.068,0.058,0.046,0.056,0.024,0.081,0.035,0.248,0.114
