"var","categoria","Si","No","No sabe"
"P09","Siempre",0.256,0.194,0.212
"P09","Casi siempre",0.301,0.355,0.406
"P09","Casi nunca",0.28,0.299,0.286
"P09","Nunca, pero esta es una excepción",0.163,0.152,0.096
"P10","Muy buena",0.33,0.125,0.157
"P10","Buena",0.313,0.253,0.21
"P10","Ni buena ni mala",0.265,0.477,0.53
"P10","Mala",0.06,0.095,0.027
"P10","Muy mala",0.004,0.037,0.022
"P10","No sabe",0.028,0.013,0.054
"P11","Muy buena",0.468,0.215,0.316
"P11","Buena",0.268,0.383,0.271
"P11","Ni buena ni mala",0.176,0.256,0.327
"P11","Mala",0.067,0.08,0.035
"P11","Muy mala",0.012,0.064,0.013
"P11","No sabe",0.009,0.002,0.038
"P12","Muy de acuerdo",0.175,0.128,0.22
"P12","De acuerdo",0.14,0.179,0.147
"P12","Ni de acuerdo ni en desacuerdo",0.146,0.176,0.17
"P12","En desacuerdo",0.2,0.176,0.178
"P12","Muy en desacuerdo",0.189,0.139,0.147
"P12","No sabe",0.15,0.202,0.138
"P13","Muy buena",0.482,0.027,0.113
"P13","Buena",0.34,0.145,0.292
"P13","Ni buena ni mala",0.16,0.276,0.415
"P13","Mala",0,0.397,0.162
"P13","Muy mala",0.007,0.137,0.012
"P13","No sabe",0.011,0.018,0.006
"P14","Muy buena",0.445,0.055,0.088
"P14","Buena",0.39,0.134,0.294
"P14","Ni buena ni mala",0.123,0.333,0.54
"P14","Mala",0.029,0.3,0.046
"P14","Muy mala",0.004,0.161,0.007
"P14","No sabe",0.009,0.017,0.025
"P15","Muy de acuerdo",0.463,0.641,0.572
"P15","De acuerdo",0.203,0.173,0.138
"P15","Ni de acuerdo ni en desacuerdo",0.235,0.079,0.188
"P15","En desacuerdo",0.088,0.087,0.073
"P15","Muy en desacuerdo",0.006,0.009,0.026
"P15","No sabe",0.005,0.011,0.003
"P16","Al gobierno provincial que se fue",0.541,0.668,0.603
"P16","Al gobierno provincial vigente",0.085,0.04,0.025
"P16","Al gobierno nacional que se fue",0.154,0.223,0.201
"P16","Al gobierno nacional que vigente",0.086,0.041,0.094
"P16","No sabe",0.134,0.028,0.077
"P17","Muy de acuerdo",0.555,0.711,0.594
"P17","De acuerdo",0.148,0.12,0.138
"P17","Ni de acuerdo ni en desacuerdo",0.262,0.084,0.177
"P17","En desacuerdo",0.019,0.048,0.046
"P17","Muy en desacuerdo",0,0.032,0.01
"P17","No sabe",0.016,0.005,0.035
"P18","Si",0.749,0.609,0.677
"P18","No",0.14,0.203,0.033
"P18","No sabe",0.111,0.188,0.29
"P19","Si",0.724,0.366,0.434
"P19","No",0.109,0.344,0.024
"P19","No sabe",0.167,0.29,0.542
"P20","Si",0.95,0.202,0.357
"P20","No",0.03,0.661,0.112
"P20","No sabe",0.02,0.137,0.531
"P22","Muy de acuerdo",0.302,0.427,0.27
"P22","De acuerdo",0.136,0.211,0.146
"P22","Ni de acuerdo ni en desacuerdo",0.141,0.112,0.228
"P22","En desacuerdo",0.209,0.094,0.124
"P22","Muy en desacuerdo",0.18,0.155,0.209
"P22","No sabe",0.032,0.001,0.023
"P23","Muy de acuerdo",0.242,0.442,0.257
"P23","De acuerdo",0.133,0.133,0.172
"P23","Ni de acuerdo ni en desacuerdo",0.145,0.159,0.207
"P23","En desacuerdo",0.241,0.077,0.123
"P23","Muy en desacuerdo",0.225,0.186,0.228
"P23","No sabe",0.014,0.003,0.013
"P24","Muy buena",0.477,0.198,0.253
"P24","Buena",0.268,0.338,0.262
"P24","Ni buena ni mala",0.17,0.275,0.439
"P24","Mala",0.049,0.131,0.033
"P24","Muy mala",0.018,0.051,0.004
"P24","No sabe",0.018,0.007,0.009
"P25","Muy buena",0.537,0.036,0.037
"P25","Buena",0.342,0.114,0.257
"P25","Ni buena ni mala",0.081,0.255,0.616
"P25","Mala",0,0.409,0.084
"P25","Muy mala",0.04,0.183,0.002
"P25","No sabe",0,0.003,0.004
"P26","Muy buena",0.165,0.024,0.008
"P26","Buena",0.241,0.092,0.183
"P26","Ni buena ni mala",0.333,0.228,0.363
"P26","Mala",0.16,0.318,0.357
"P26","Muy mala",0.101,0.335,0.083
"P26","No sabe",0,0.003,0.006
"P27","Muy buena",0.168,0.048,0.012
"P27","Buena",0.197,0.098,0.1
"P27","Ni buena ni mala",0.46,0.301,0.585
"P27","Mala",0.069,0.267,0.206
"P27","Muy mala",0.074,0.266,0.065
"P27","No sabe",0.032,0.02,0.032
"P28","Muy buena",0.256,0.064,0.142
"P28","Buena",0.179,0.083,0.137
"P28","Ni buena ni mala",0.311,0.203,0.364
"P28","Mala",0.14,0.327,0.248
"P28","Muy mala",0.098,0.312,0.085
"P28","No sabe",0.016,0.011,0.024
"P29","Muy buena",0.375,0.154,0.201
"P29","Buena",0.122,0.066,0.082
"P29","Ni buena ni mala",0.105,0.053,0.096
"P29","Mala",0.226,0.266,0.291
"P29","Muy mala",0.172,0.461,0.325
"P29","No sabe",0,0,0.005
"P30","Muy buena",0.131,0.108,0.118
"P30","Buena",0.095,0.22,0.215
"P30","Ni buena ni mala",0.1,0.233,0.199
"P30","Mala",0.379,0.192,0.193
"P30","Muy mala",0.285,0.247,0.26
"P30","No sabe",0.01,0,0.015
"P31","Muy buena",0.247,0.059,0.071
"P31","Buena",0.211,0.154,0.2
"P31","Ni buena ni mala",0.199,0.096,0.216
"P31","Mala",0.147,0.176,0.216
"P31","Muy mala",0.196,0.513,0.295
"P31","No sabe",0,0.002,0.002
"P32","Muy buena",0.283,0.383,0.341
"P32","Buena",0.129,0.202,0.114
"P32","Ni buena ni mala",0.044,0.096,0.217
"P32","Mala",0.294,0.092,0.077
"P32","Muy mala",0.233,0.227,0.246
"P32","No sabe",0.017,0,0.005
"P33","Muy buena",0.221,0.309,0.259
"P33","Buena",0.173,0.277,0.215
"P33","Ni buena ni mala",0.12,0.132,0.14
"P33","Mala",0.23,0.067,0.148
"P33","Muy mala",0.239,0.215,0.238
"P33","No sabe",0.017,0,0
"P34","Muy buena",0.163,0.17,0.173
"P34","Buena",0.196,0.211,0.155
"P34","Ni buena ni mala",0.219,0.32,0.341
"P34","Mala",0.189,0.099,0.106
"P34","Muy mala",0.195,0.191,0.201
"P34","No sabe",0.038,0.009,0.024
