"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","opciones","Neuquén","Otra localidad"
"Muy buena","0.173","0.159","0.188","0.167","0.169","0.199","0.146","0.247","0.163","0.139","0.187","0.258","0.17","0.023","0.288","0.11","6",0.173,0
"Buena","0.247","0.268","0.226","0.199","0.254","0.243","0.295","0.225","0.214","0.292","0.276","0.198","0.321","0.147","0.287","0.195","6",0.247,0
"Ni buena ni mala","0.294","0.285","0.303","0.194","0.283","0.325","0.408","0.361","0.291","0.257","0.283","0.356","0.351","0.209","0.273","0.307","6",0.294,0
"Mala","0.215","0.219","0.211","0.267","0.236","0.191","0.122","0.156","0.238","0.229","0.208","0.13","0.158","0.414","0.129","0.287","6",0.215,0
"Muy mala","0.059","0.062","0.056","0.137","0.057","0.036","0.005","0","0.094","0.061","0.046","0.053","0","0.197","0.023","0.082","6",0.059,0
"No sabe","0.012","0.007","0.016","0.036","0.001","0.006","0.024","0.011","0","0.022","0","0.005","0","0.01","0","0.019","6",0.012,0
"Positiva","0.42","0.427","0.414","0.366","0.423","0.442","0.441","0.472","0.377","0.431","0.463","0.456","0.491","0.17","0.575","0.305","4",0.42,0
"Neutra","0.294","0.285","0.303","0.194","0.283","0.325","0.408","0.361","0.291","0.257","0.283","0.356","0.351","0.209","0.273","0.307","4",0.294,0
"Negativa","0.274","0.281","0.267","0.404","0.293","0.227","0.127","0.156","0.332","0.29","0.254","0.183","0.158","0.611","0.152","0.369","4",0.274,0
"No sabe","0.012","0.007","0.016","0.036","0.001","0.006","0.024","0.011","0","0.022","0","0.005","0","0.01","0","0.019","4",0.012,0
