"var","categoria","Si","No","No sabe"
"P09","Siempre",0.231,0.188,0.228
"P09","Casi siempre",0.37,0.368,0.311
"P09","Casi nunca",0.268,0.288,0.336
"P09","Nunca, pero esta es una excepción",0.131,0.156,0.125
"P10","Muy buena",0.238,0.127,0.176
"P10","Buena",0.318,0.225,0.175
"P10","Ni buena ni mala",0.35,0.463,0.578
"P10","Mala",0.057,0.11,0.017
"P10","Muy mala",0.006,0.052,0.019
"P10","No sabe",0.031,0.023,0.035
"P11","Muy buena",0.393,0.19,0.326
"P11","Buena",0.332,0.387,0.196
"P11","Ni buena ni mala",0.193,0.26,0.377
"P11","Mala",0.068,0.081,0.029
"P11","Muy mala",0.009,0.082,0.017
"P11","No sabe",0.005,0,0.055
"P12","Muy de acuerdo",0.156,0.162,0.201
"P12","De acuerdo",0.135,0.191,0.16
"P12","Ni de acuerdo ni en desacuerdo",0.16,0.17,0.173
"P12","En desacuerdo",0.195,0.162,0.187
"P12","Muy en desacuerdo",0.173,0.153,0.122
"P12","No sabe",0.181,0.162,0.157
"P13","Muy buena",0.334,0.02,0.071
"P13","Buena",0.38,0.089,0.188
"P13","Ni buena ni mala",0.213,0.242,0.503
"P13","Mala",0.061,0.478,0.168
"P13","Muy mala",0.004,0.169,0.034
"P13","No sabe",0.008,0.002,0.036
"P14","Muy buena",0.311,0.046,0.056
"P14","Buena",0.436,0.071,0.143
"P14","Ni buena ni mala",0.219,0.315,0.621
"P14","Mala",0.026,0.373,0.08
"P14","Muy mala",0.007,0.195,0.026
"P14","No sabe",0.001,0,0.074
"P15","Muy de acuerdo",0.578,0.618,0.502
"P15","De acuerdo",0.196,0.156,0.14
"P15","Ni de acuerdo ni en desacuerdo",0.154,0.071,0.268
"P15","En desacuerdo",0.059,0.127,0.068
"P15","Muy en desacuerdo",0.002,0.022,0.022
"P15","No sabe",0.011,0.006,0
"P16","Al gobierno provincial que se fue",0.597,0.654,0.595
"P16","Al gobierno provincial vigente",0.062,0.032,0.039
